dataset,run_id,repeat,fold,model,train_records,test_records,original_predictors,transformed_features,runtime_seconds,accuracy,precision_adverse,recall_adverse,specificity,f1_adverse,balanced_accuracy,mcc,roc_auc,pr_auc,gmean,ks_statistic,tn,fp,fn,tp
German Credit,R5_F2,5,2,SVM,800,200,20,61,0.1886477000080049,0.75,0.7941176470588235,0.38571428571428573,0.9461538461538461,0.5192307692307693,0.6659340659340659,0.42139826604460545,0.8027472527472528,0.7109603779835121,0.6041068241172707,0.4637362637362637,123,7,43,27
German Credit,R5_F2,5,2,KNN,800,200,20,61,0.059476799971889704,0.725,0.7272727272727273,0.34285714285714286,0.9307692307692308,0.46601941747572817,0.6368131868131868,0.35161180321173274,0.7117032967032968,0.570064935064935,0.564907850114405,0.3604395604395605,121,9,46,24
German Credit,R5_F2,5,2,DT,800,200,20,61,0.07973759999731556,0.705,0.5873015873015873,0.5285714285714286,0.8,0.556390977443609,0.6642857142857144,0.3373804660814817,0.6642857142857143,0.47543083900226757,0.6502746672423453,0.32857142857142857,104,26,33,37
German Credit,R5_F2,5,2,RF,800,200,20,61,1.0993489000247791,0.75,0.8125,0.37142857142857144,0.9538461538461539,0.5098039215686274,0.6626373626373627,0.4231958350563017,0.7861538461538461,0.6701801712664448,0.595219047314276,0.4450549450549451,124,6,44,26
German Credit,R5_F2,5,2,XGB,800,200,20,61,0.4698197999969125,0.79,0.8181818181818182,0.5142857142857142,0.9384615384615385,0.631578947368421,0.7263736263736263,0.5213001890835093,0.8090109890109891,0.7047748857845937,0.6947210682262073,0.5120879120879122,122,8,34,36
German Credit,R5_F3,5,3,LR,800,200,20,61,0.14000180002767593,0.73,0.5757575757575758,0.3220338983050847,0.900709219858156,0.41304347826086957,0.6113715590816203,0.2736683990915119,0.7932443803341748,0.5760340184909238,0.5385711664304482,0.5085947830268062,127,14,40,19
German Credit,R5_F3,5,3,SVM,800,200,20,61,0.16328619996784255,0.75,0.6956521739130435,0.2711864406779661,0.950354609929078,0.3902439024390244,0.610770525303522,0.31669355259643184,0.80213968025003,0.6417337853549944,0.5076645388921345,0.5006611371559081,134,7,43,16
German Credit,R5_F3,5,3,KNN,800,200,20,61,0.05763490003300831,0.72,0.5555555555555556,0.2542372881355932,0.9148936170212766,0.3488372093023256,0.584565452578435,0.22571145566713766,0.714388748647674,0.46310292454459506,0.48228629684457486,0.3717994951316264,129,12,44,15
German Credit,R5_F3,5,3,DT,800,200,20,61,0.08233740000287071,0.665,0.41304347826086957,0.3220338983050847,0.8085106382978723,0.3619047619047619,0.5652722683014785,0.14146694886621003,0.5652722683014786,0.3330140014738393,0.5102625134890826,0.13054453660295706,114,27,40,19
German Credit,R5_F3,5,3,RF,800,200,20,61,1.1010229000239633,0.755,0.7272727272727273,0.2711864406779661,0.9574468085106383,0.3950617283950617,0.6143166245943023,0.3332373014379451,0.8198701767039307,0.6690766104184865,0.5095552885982817,0.5354008895299915,135,6,43,16
German Credit,R5_F3,5,3,XGB,800,200,20,61,0.47610899998107925,0.76,0.6571428571428571,0.3898305084745763,0.9148936170212766,0.48936170212765956,0.6523620627479264,0.36573490225046007,0.8291862002644548,0.6643056771153628,0.5972046918130739,0.5637696838562327,129,12,36,23
German Credit,R5_F4,5,4,LR,800,200,20,61,0.14748580002924427,0.745,0.5660377358490566,0.5172413793103449,0.8380281690140845,0.5405405405405406,0.6776347741622146,0.3652746645917875,0.7376153472559496,0.5571448528033415,0.6583789532190165,0.40165128703254005,119,23,28,30
German Credit,R5_F4,5,4,SVM,800,200,20,61,0.17287429998395965,0.745,0.5777777777777777,0.4482758620689655,0.8661971830985915,0.5048543689320388,0.6572365225837785,0.3417192851135135,0.7578921806702282,0.5898250861385894,0.6231334439550092,0.4135502671199611,123,19,32,26
German Credit,R5_F4,5,4,KNN,800,200,20,61,0.07173060002969578,0.705,0.4888888888888889,0.3793103448275862,0.8380281690140845,0.42718446601941745,0.6086692569208354,0.23616892677729312,0.6670713938805245,0.43351115757861286,0.5638020519330903,0.3249150072850899,119,23,36,22
German Credit,R5_F4,5,4,DT,800,200,20,61,0.07501359999878332,0.645,0.4084507042253521,0.5,0.704225352112676,0.4496124031007752,0.602112676056338,0.19366172368940618,0.602112676056338,0.349225352112676,0.5933908290969266,0.20422535211267606,100,42,29,29
German Credit,R5_F4,5,4,RF,800,200,20,61,1.1104003000073135,0.755,0.6153846153846154,0.41379310344827586,0.8943661971830986,0.4948453608247423,0.6540796503156873,0.35292970023538445,0.7615954346770276,0.6019317467864617,0.6083441167231151,0.4079650315687227,127,15,34,24
German Credit,R5_F4,5,4,XGB,800,200,20,61,0.47456820000661537,0.75,0.5769230769230769,0.5172413793103449,0.8450704225352113,0.5454545454545454,0.6811559009227781,0.37480736852608354,0.7822972316658572,0.6525096827013921,0.66113946408189,0.4315201554152502,120,22,28,30
German Credit,R5_F5,5,5,LR,800,200,20,61,0.14748800004599616,0.79,0.6595744680851063,0.543859649122807,0.8881118881118881,0.5961538461538461,0.7159857686173476,0.4599026734031753,0.8349895718316771,0.6535628096868076,0.6949879278450275,0.502269660164397,127,16,26,31
German Credit,R5_F5,5,5,SVM,800,200,20,61,0.17417679994832724,0.765,0.6785714285714286,0.3333333333333333,0.9370629370629371,0.4470588235294118,0.6351981351981352,0.3517733255687274,0.8223530855109802,0.6569229931227725,0.5588866721924154,0.5270518954729481,134,9,38,19
German Credit,R5_F5,5,5,KNN,800,200,20,61,0.05733330000657588,0.77,0.6896551724137931,0.3508771929824561,0.9370629370629371,0.46511627906976744,0.6439700650226966,0.36915655875967435,0.7640166850693166,0.5270973651558901,0.5734056269383301,0.38437001594896336,134,9,37,20
German Credit,R5_F5,5,5,DT,800,200,20,61,0.06069259997457266,0.695,0.46,0.40350877192982454,0.8111888111888111,0.42990654205607476,0.6073487915593179,0.22382158682236544,0.6073487915593179,0.35561403508771927,0.5721204427443678,0.21469758311863574,116,27,34,23
German Credit,R5_F5,5,5,RF,800,200,20,61,1.1192189999856055,0.775,0.8,0.2807017543859649,0.972027972027972,0.4155844155844156,0.6263648632069685,0.380286162869749,0.8227211385106121,0.638566031141659,0.5223504159666031,0.5064409274935591,139,4,41,16
German Credit,R5_F5,5,5,XGB,800,200,20,61,0.47972220001975074,0.765,0.6470588235294118,0.38596491228070173,0.916083916083916,0.4835164835164835,0.6510244141823089,0.36298535176746166,0.8024782235308552,0.6103496393017911,0.5946227781653596,0.5166237271500429,131,12,35,22
Taiwan Credit Card Default,R1_F1,1,1,LR,24001,5999,23,29,0.45410969998920336,0.8139689948324721,0.7146171693735499,0.23674096848578016,0.9738186462324393,0.3556581986143187,0.6052798073591097,0.3360330419100575,0.7309402597929548,0.5003573346343797,0.4801486951336836,0.39306781403046875,4575,123,993,308
Taiwan Credit Card Default,R1_F1,1,1,SVM,24001,5999,23,29,101.64526130002923,0.8246374395732622,0.6936236391912908,0.34281322059953884,0.9580672626649638,0.4588477366255144,0.6504402416322513,0.4008329378555559,0.724652402497473,0.5057079730872129,0.5730952136121541,0.3675381186623644,4501,197,855,446
Taiwan Credit Card Default,R1_F1,1,1,KNN,24001,5999,23,29,1.7160600000061095,0.7912985497582931,0.5287896592244419,0.3458877786318217,0.9146445295870583,0.41821561338289964,0.63026615410944,0.30773202347263967,0.7003266308884445,0.3997368592321911,0.562462767280302,0.3109889599283257,4297,401,851,450
Taiwan Credit Card Default,R1_F1,1,1,DT,24001,5999,23,29,1.8921172000118531,0.732955492582097,0.3899049012435991,0.409684857801691,0.822477650063857,0.3995502248875562,0.616081253932774,0.22809654567517199,0.6159556014972273,0.2877594709116479,0.5804796629611413,0.23216250786554796,3864,834,768,533
Taiwan Credit Card Default,R1_F1,1,1,RF,24001,5999,23,29,7.86658480000915,0.8199699949991666,0.6491228070175439,0.3697156033820138,0.94465730097914,0.47110675808031344,0.6571864521805769,0.3937502721666493,0.77112408865172,0.5387712429897975,0.5909776171909791,0.41061645281211134,4438,260,820,481
Taiwan Credit Card Default,R1_F1,1,1,XGB,24001,5999,23,29,1.6164585999795236,0.8269711618603101,0.6865248226950355,0.372021521906226,0.952958705832269,0.48255234297108673,0.6624901138692475,0.41587763560731567,0.7918201736948589,0.5631620173631597,0.5954167851660787,0.4403096939872364,4477,221,817,484
Taiwan Credit Card Default,R1_F2,1,2,LR,24003,5997,23,29,0.38398669997695833,0.8089044522261131,0.7171945701357466,0.23692077727952168,0.9731702081991844,0.3561797752808989,0.605045492739353,0.3347562266340156,0.7246131617253327,0.5053059052787867,0.48017105509581137,0.38252353081022605,4534,125,1021,317
Taiwan Credit Card Default,R1_F2,1,2,SVM,24003,5997,23,29,100.63310790003743,0.8192429548107387,0.6862170087976539,0.34977578475336324,0.9540673964370037,0.4633663366336634,0.6519215905951834,0.39845573734701684,0.7232071041759508,0.5113800300009119,0.5776760963518839,0.35764425284203294,4445,214,870,468
Taiwan Credit Card Default,R1_F2,1,2,KNN,24003,5997,23,29,1.7415162000106648,0.7898949474737369,0.5434298440979956,0.36472346786248133,0.9119982828933247,0.4364937388193202,0.6383608753779031,0.32287694422353147,0.6999841347299904,0.42058676350691265,0.5767383951337745,0.3054871375812474,4249,410,850,488
Taiwan Credit Card Default,R1_F2,1,2,DT,24003,5997,23,29,1.7511630000080913,0.7283641820910455,0.39688164422395467,0.41853512705530643,0.8173427774200472,0.4074208803201164,0.6179389522376768,0.2315160695108884,0.6194536925012296,0.2964473837761975,0.5848817514636925,0.239503656070463,3808,851,778,560
Taiwan Credit Card Default,R1_F2,1,2,RF,24003,5997,23,29,7.7801615000353195,0.8147407036851759,0.6495388669301713,0.3684603886397608,0.9429062030478643,0.47019551740581783,0.6556832958438126,0.3898906224082417,0.7634606950367854,0.5364837910449208,0.5894264890771854,0.4046601543663501,4393,266,845,493
Taiwan Credit Card Default,R1_F2,1,2,XGB,24003,5997,23,29,1.7855329000158235,0.816741704185426,0.6625850340136055,0.3639760837070254,0.9467696930671818,0.46985045827303423,0.6553728883871036,0.39451230678891414,0.7795171824563801,0.5529774668776057,0.5870277038224817,0.4188484220232406,4411,248,851,487
Taiwan Credit Card Default,R1_F3,1,3,LR,23998,6002,23,29,0.4859551999834366,0.8113962012662446,0.6754032258064516,0.2565084226646248,0.9657155025553663,0.37180910099889014,0.6111119626099956,0.3330178443311861,0.7104828879160786,0.4762278421337143,0.4977089112154337,0.3559528033372379,4535,161,971,335
Taiwan Credit Card Default,R1_F3,1,3,SVM,23998,6002,23,29,102.53306360001443,0.8142285904698434,0.6406480117820325,0.3330781010719755,0.9480408858603067,0.43828715365239296,0.640559493466141,0.3661952371656804,0.6979364504279815,0.4739641949856567,0.5619356351050754,0.33357573876043217,4452,244,871,435
Taiwan Credit Card Default,R1_F3,1,3,KNN,23998,6002,23,29,1.606639500008896,0.7890703098967011,0.5238095238095238,0.33690658499234305,0.9148211243611585,0.41006523765144454,0.6258638546767508,0.29937671133449445,0.7055560791367845,0.39736336744571027,0.5551659759813937,0.32562299281784246,4296,400,866,440
Taiwan Credit Card Default,R1_F3,1,3,DT,23998,6002,23,29,1.7655671000247821,0.7184271909363545,0.37009472259810555,0.41883614088820825,0.8017461669505963,0.39295977011494254,0.6102911539194023,0.21125538767869237,0.6104744254665272,0.2815837963858483,0.5794827612082183,0.22113505743378092,3765,931,759,547
Taiwan Credit Card Default,R1_F3,1,3,RF,23998,6002,23,29,7.797169899975415,0.8167277574141952,0.6307106598984772,0.38055130168453294,0.9380323679727428,0.47468958930276983,0.6592918348286378,0.38923377732298714,0.7636759054657967,0.5279371654278666,0.5974691947324582,0.40642487431876473,4405,291,809,497
Taiwan Credit Card Default,R1_F3,1,3,XGB,23998,6002,23,29,1.6098277000128292,0.8170609796734422,0.6382978723404256,0.3675344563552833,0.9420783645655877,0.46647230320699706,0.6548064104604355,0.3858921969733155,0.7812585602813382,0.5439963994996716,0.5884269364710352,0.4342570393231605,4424,272,826,480
Taiwan Credit Card Default,R1_F4,1,4,LR,24000,6000,23,29,0.38677859999006614,0.8143333333333334,0.744874715261959,0.24604966139954854,0.9760222650396061,0.36990950226244346,0.6110359632195773,0.354121566311819,0.7340458126676631,0.5239641192882074,0.4900509645245232,0.39205452402388685,4559,112,1002,327
Taiwan Credit Card Default,R1_F4,1,4,SVM,24000,6000,23,29,106.80688950000331,0.824,0.7052631578947368,0.35289691497366443,0.9580389638193106,0.4704112337011033,0.6554679393964875,0.41130143773564576,0.7335863876158852,0.5375175148568727,0.5814542069298329,0.38508099299602316,4475,196,860,469
Taiwan Credit Card Default,R1_F4,1,4,KNN,24000,6000,23,29,1.6628191000199877,0.7978333333333333,0.5669745958429562,0.3694507148231753,0.9197174052665382,0.44738041002277906,0.6445840600448568,0.3416889683514795,0.7127305522008829,0.4335321488593679,0.5829153050066866,0.3388565825445221,4296,375,838,491
Taiwan Credit Card Default,R1_F4,1,4,DT,24000,6000,23,29,1.7712870999821462,0.7356666666666667,0.4043186895011169,0.40857787810383744,0.8287304645686149,0.406437125748503,0.6186541713362261,0.23642277204166798,0.6182110162459593,0.29619567223409066,0.5818942642211316,0.2373083426724523,3871,800,786,543
Taiwan Credit Card Default,R1_F4,1,4,RF,24000,6000,23,29,7.700853199989069,0.826,0.6872536136662286,0.3935289691497366,0.9490473132091629,0.5004784688995215,0.6712881411794498,0.4274725073822471,0.7677782755419469,0.5639400668403943,0.6111281460066531,0.42015306973096084,4433,238,806,523
Taiwan Credit Card Default,R1_F4,1,4,XGB,24000,6000,23,29,1.6173612999846227,0.8251666666666667,0.6871657754010695,0.3867569601203913,0.9499036608863198,0.4949446316803081,0.6683303105033556,0.4232009039414193,0.7802620881384087,0.5704539588907159,0.6061203282283346,0.43357385491285994,4437,234,815,514
Taiwan Credit Card Default,R1_F5,1,5,LR,23998,6002,23,29,0.4402348000439815,0.8068977007664112,0.7250554323725056,0.24008810572687225,0.9732758620689655,0.3607280750137893,0.6066819838979189,0.3389961286106639,0.7200034653653349,0.5157870814550756,0.4833962743689969,0.3784587194288318,4516,124,1035,327
Taiwan Credit Card Default,R1_F5,1,5,SVM,23998,6002,23,29,104.46632559999125,0.8138953682105965,0.7024793388429752,0.3120411160058737,0.9612068965517241,0.43213014743263856,0.6366240062787989,0.38014620522770015,0.7130198839181732,0.5099806345237858,0.5476641970336772,0.36734328320421283,4460,180,937,425
Taiwan Credit Card Default,R1_F5,1,5,KNN,23998,6002,23,29,1.6317679000203498,0.7905698100633123,0.5606936416184971,0.35609397944199705,0.9181034482758621,0.4355635383924562,0.6370987138589296,0.3270002493077452,0.7028475334194136,0.42182248579105763,0.5717788999569426,0.3096286520836498,4260,380,877,485
Taiwan Credit Card Default,R1_F5,1,5,DT,23998,6002,23,29,1.7834136000019498,0.7160946351216261,0.3807531380753138,0.4008810572687225,0.8086206896551724,0.3905579399141631,0.6047508734619474,0.2057773497015049,0.6058091548939187,0.2890466742343507,0.5693511368200902,0.21200757000354445,3752,888,816,546
Taiwan Credit Card Default,R1_F5,1,5,RF,23998,6002,23,29,7.70616770000197,0.8128957014328557,0.6558018252933507,0.36930983847283405,0.9431034482758621,0.47252231094410524,0.6562066433743481,0.3919412875426297,0.7769708276368423,0.5592363529215105,0.5901672492996637,0.4336529697706213,4376,264,859,503
Taiwan Credit Card Default,R1_F5,1,5,XGB,23998,6002,23,29,1.654999200021848,0.8135621459513496,0.6708860759493671,0.3502202643171806,0.9495689655172413,0.4602026049204052,0.649894614917211,0.3885616094558854,0.785511924654413,0.5724658794380455,0.5766786749055665,0.4526362094283255,4406,234,885,477
Taiwan Credit Card Default,R2_F1,2,1,LR,24005,5995,23,29,0.3909099000156857,0.810675562969141,0.7052154195011338,0.23632218844984804,0.9722162855310964,0.35401252134319866,0.6042692369904722,0.3306499230579425,0.7204447245696513,0.4938161394584982,0.47932898957114106,0.3792468904911098,4549,130,1005,311
Taiwan Credit Card Default,R2_F1,2,1,SVM,24005,5995,23,29,116.76836559997173,0.8206839032527106,0.6774668630338734,0.3495440729483283,0.953195127163924,0.46115288220551376,0.6513696000561261,0.39540827427184294,0.7226490053534158,0.4955996139270039,0.5772206744940601,0.3564976344541445,4460,219,856,460
Taiwan Credit Card Default,R2_F1,2,1,KNN,24005,5995,23,29,1.7017584000132047,0.7901584653878232,0.5328054298642534,0.35790273556231,0.9117332763410986,0.42818181818181816,0.6348180059517043,0.3147772154610282,0.7022706544341236,0.40963281695482223,0.571237108130824,0.3251038884857714,4266,413,845,471
Taiwan Credit Card Default,R2_F1,2,1,DT,24005,5995,23,29,2.0632852999842726,0.7276063386155129,0.39015939015939016,0.4278115501519757,0.8119256251335756,0.40811888365349763,0.6198685876427756,0.23211625711027453,0.6202918069548282,0.29259855585944816,0.5893650484177925,0.24082949036339696,3799,880,753,563
Taiwan Credit Card Default,R2_F1,2,1,RF,24005,5995,23,29,8.489529500016943,0.8158465387823186,0.6376623376623377,0.3731003039513678,0.9403718743321222,0.4707574304889741,0.656736089141745,0.38780638841948206,0.7661282123904842,0.53385338909274,0.5923284833102593,0.4251479968377105,4400,279,825,491
Taiwan Credit Card Default,R2_F1,2,1,XGB,24005,5995,23,29,1.9019613999989815,0.819349457881568,0.6615811373092927,0.36246200607902734,0.9478521051506732,0.4683357879234168,0.6551570556148503,0.3948828725676545,0.7882423146556009,0.555910351450321,0.5861402353525496,0.4498665381309882,4435,244,839,477
Taiwan Credit Card Default,R2_F2,2,2,LR,23999,6001,23,29,0.4539086999720894,0.8205299116813864,0.7710280373831776,0.25210084033613445,0.9791133844842285,0.3799654576856649,0.6156071124101814,0.3710196986209269,0.7344672465591677,0.5374330716005589,0.49682522783452804,0.3906317467698542,4594,98,979,330
Taiwan Credit Card Default,R2_F2,2,2,SVM,23999,6001,23,29,126.505481900007,0.8285285785702383,0.7140672782874617,0.3567608861726509,0.9601449275362319,0.4758023433520122,0.6584529068544414,0.41998624331545337,0.7299762383446753,0.5353218095459199,0.5852710100474837,0.37361189535102585,4505,187,842,467
