run_id,repeat,fold,threshold_strategy,selected_threshold,training_oof_mcc,training_oof_f1,training_oof_balanced_accuracy,training_oof_recall,training_oof_precision,training_oof_cost_FN2_FP1,training_oof_cost_FN5_FP1,training_oof_cost_FN10_FP1
R4_F1,4,1,MinCost_FN5_FP1,0.16082117620907932,0.33880542541497877,0.5643693107932379,0.6750087634901811,0.9079497907949791,0.40943396226415096,357,423,533
R4_F1,4,1,MinCost_FN10_FP1,0.05154196984522276,0.18278817503613098,0.4891640866873065,0.5564219601876506,0.9916317991631799,0.32465753424657534,497,503,513
R4_F2,4,2,Fixed0.50,0.5,0.3403872720284156,0.5047169811320755,0.6534002524140765,0.4349593495934959,0.601123595505618,349,766,1461
R4_F2,4,2,MaxMCC,0.22430351244114854,0.4137501251771162,0.6160583941605839,0.7230856153326877,0.8577235772357723,0.4806378132118451,298,403,578
R4_F2,4,2,MaxF1,0.23335147372956394,0.4132727069284944,0.6162962962962963,0.7233057438877638,0.8455284552845529,0.48484848484848486,297,411,601
R4_F2,4,2,MaxBalancedAccuracy,0.23335147372956394,0.4132727069284944,0.6162962962962963,0.7233057438877638,0.8455284552845529,0.48484848484848486,297,411,601
R4_F2,4,2,MinCost_FN2_FP1,0.23335147372956394,0.4132727069284944,0.6162962962962963,0.7233057438877638,0.8455284552845529,0.48484848484848486,297,411,601
R4_F2,4,2,MinCost_FN5_FP1,0.22430351244114854,0.4137501251771162,0.6160583941605839,0.7230856153326877,0.8577235772357723,0.4806378132118451,298,403,578
R4_F2,4,2,MinCost_FN10_FP1,0.06366652164350567,0.25098707761653005,0.5207226354941552,0.5918302955592734,0.9959349593495935,0.35251798561151076,452,455,460
R4_F3,4,3,Fixed0.50,0.5,0.39366096859193295,0.5410628019323671,0.6783546158676994,0.47058823529411764,0.6363636363636364,316,694,1324
R4_F3,4,3,MaxMCC,0.4057660796367396,0.42582015012410657,0.5966386554621849,0.7129100750620533,0.5966386554621849,0.5966386554621849,288,576,1056
R4_F3,4,3,MaxF1,0.286301736884616,0.4107294703528792,0.6075085324232082,0.7227040282305093,0.7478991596638656,0.5114942528735632,290,470,770
R4_F3,4,3,MaxBalancedAccuracy,0.286301736884616,0.4107294703528792,0.6075085324232082,0.7227040282305093,0.7478991596638656,0.5114942528735632,290,470,770
R4_F3,4,3,MinCost_FN2_FP1,0.4057660796367396,0.42582015012410657,0.5966386554621849,0.7129100750620533,0.5966386554621849,0.5966386554621849,288,576,1056
R4_F3,4,3,MinCost_FN5_FP1,0.1692629091240547,0.3599305511596506,0.5752688172043011,0.6897933550644457,0.8991596638655462,0.42292490118577075,340,412,532
R4_F3,4,3,MinCost_FN10_FP1,0.06427482457525449,0.25526645778577667,0.5130434782608696,0.5990011663028201,0.9915966386554622,0.3460410557184751,450,456,466
R4_F4,4,4,Fixed0.50,0.5,0.3411521068497626,0.48186528497409326,0.6465449067972133,0.39574468085106385,0.6158940397350994,342,768,1478
R4_F4,4,4,MaxMCC,0.3787465106864585,0.3828261482900772,0.5684647302904564,0.6941442289587648,0.5829787234042553,0.5546558704453441,306,600,1090
R4_F4,4,4,MaxF1,0.2626340653362089,0.37463118765462455,0.5848142164781907,0.7054603652796083,0.7702127659574468,0.4713541666666667,311,473,743
R4_F4,4,4,MaxBalancedAccuracy,0.2626340653362089,0.37463118765462455,0.5848142164781907,0.7054603652796083,0.7702127659574468,0.4713541666666667,311,473,743
R4_F4,4,4,MinCost_FN2_FP1,0.34110479499641455,0.38142176150240265,0.579047619047619,0.7012803615138392,0.6468085106382979,0.5241379310344828,304,553,968
R4_F4,4,4,MinCost_FN5_FP1,0.128020273290685,0.3183731639641581,0.5434782608695652,0.6530596874411598,0.9574468085106383,0.3794266441821248,388,418,468
R4_F4,4,4,MinCost_FN10_FP1,0.128020273290685,0.3183731639641581,0.5434782608695652,0.6530596874411598,0.9574468085106383,0.3794266441821248,388,418,468
R4_F5,4,5,Fixed0.50,0.5,0.3801788630075912,0.5278450363196125,0.6696510560146923,0.45041322314049587,0.6374269005847953,328,727,1392
R4_F5,4,5,MaxMCC,0.3417021778948764,0.4094947507797124,0.6043956043956044,0.716357119582926,0.6818181818181818,0.5427631578947368,293,524,909
R4_F5,4,5,MaxF1,0.26679332495640146,0.4042779869337824,0.60828025477707,0.7198969163778548,0.7892561983471075,0.4948186528497409,297,450,705
R4_F5,4,5,MaxBalancedAccuracy,0.26679332495640146,0.4042779869337824,0.60828025477707,0.7198969163778548,0.7892561983471075,0.4948186528497409,297,450,705
R4_F5,4,5,MinCost_FN2_FP1,0.3417021778948764,0.4094947507797124,0.6043956043956044,0.716357119582926,0.6818181818181818,0.5427631578947368,293,524,909
R4_F5,4,5,MinCost_FN5_FP1,0.13136424866593338,0.30198371685139636,0.5474452554744526,0.6467756746349121,0.9297520661157025,0.3879310344827586,389,440,525
R4_F5,4,5,MinCost_FN10_FP1,0.106360320614984,0.2826460535021599,0.5351787773933102,0.6271883053407981,0.9586776859504132,0.3712,413,443,493
R5_F1,5,1,Fixed0.50,0.5,0.413055937499872,0.557919621749409,0.6869471635806109,0.48360655737704916,0.659217877094972,313,691,1321
R5_F1,5,1,MaxMCC,0.4548454349975244,0.44968092975450713,0.6056644880174292,0.7164907418327633,0.569672131147541,0.6465116279069767,286,601,1126
