dataset,run_id,repeat,fold,threshold_strategy,selected_threshold,threshold,accuracy,precision_adverse,recall_adverse,specificity,f1_adverse,balanced_accuracy,mcc,gmean,tn,fp,fn,tp,cost_FN1_FP1,cost_FN2_FP1,cost_FN5_FP1,cost_FN10_FP1,cost_FN1_FP1_per100,cost_FN2_FP1_per100,cost_FN5_FP1_per100,cost_FN10_FP1_per100,reference_recall_adverse,reference_precision_adverse,reference_f1_adverse,reference_balanced_accuracy,reference_mcc,reference_gmean,reference_cost_FN1_FP1_per100,reference_cost_FN2_FP1_per100,reference_cost_FN5_FP1_per100,reference_cost_FN10_FP1_per100,delta_recall_adverse,delta_precision_adverse,delta_f1_adverse,delta_balanced_accuracy,delta_mcc,delta_gmean,delta_cost_FN1_FP1_per100,delta_cost_FN2_FP1_per100,delta_cost_FN5_FP1_per100,delta_cost_FN10_FP1_per100
German Credit,R2_F4,2,4,MinCost_FN5_FP1,0.14922003318398008,0.14922003318398008,0.555,0.3851851851851852,0.896551724137931,0.4154929577464789,0.538860103626943,0.656022340942205,0.30230921933685845,0.6103367329882531,59,83,6,52,89,95,113,143,44.5,47.5,56.5,71.5,0.4827586206896552,0.6666666666666666,0.56,0.6920835356969403,0.4279816188899131,0.6596686291919382,22.0,37.0,82.0,157.0,0.41379310344827586,-0.28148148148148144,-0.02113989637305702,-0.03606119475473524,-0.12567239955305465,-0.049331896203685166,22.5,10.5,-25.5,-85.5
German Credit,R2_F4,2,4,MinCost_FN10_FP1,0.09367022015216393,0.09367022015216393,0.47,0.34810126582278483,0.9482758620689655,0.2746478873239437,0.5092592592592593,0.6114618746964546,0.24834837303472831,0.5103351468569775,39,103,3,55,106,109,118,133,53.0,54.5,59.0,66.5,0.4827586206896552,0.6666666666666666,0.56,0.6920835356969403,0.4279816188899131,0.6596686291919382,22.0,37.0,82.0,157.0,0.46551724137931033,-0.3185654008438818,-0.05074074074074075,-0.08062166100048562,-0.17963324585518478,-0.1493334823349608,31.0,17.5,-23.0,-90.5
German Credit,R2_F5,2,5,Fixed0.50,0.5,0.5,0.72,0.65,0.38235294117647056,0.8939393939393939,0.48148148148148145,0.6381461675579323,0.3272052564635805,0.5846369441852258,118,14,42,26,56,98,224,434,28.0,49.0,112.0,217.0,0.38235294117647056,0.65,0.48148148148148145,0.6381461675579323,0.3272052564635805,0.5846369441852258,28.0,49.0,112.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
German Credit,R2_F5,2,5,MaxMCC,0.4142474283538864,0.4142474283538864,0.75,0.6551724137931034,0.5588235294117647,0.8484848484848485,0.6031746031746031,0.7036541889483066,0.42521306112568086,0.6885879012026783,112,20,30,38,50,80,170,320,25.0,40.0,85.0,160.0,0.38235294117647056,0.65,0.48148148148148145,0.6381461675579323,0.3272052564635805,0.5846369441852258,28.0,49.0,112.0,217.0,0.17647058823529416,0.005172413793103403,0.12169312169312169,0.06550802139037426,0.09800780466210035,0.1039509570174525,-3.0,-9.0,-27.0,-57.0
German Credit,R2_F5,2,5,MaxF1,0.27237501292611227,0.27237501292611227,0.675,0.5161290322580645,0.7058823529411765,0.6590909090909091,0.5962732919254659,0.6824866310160428,0.3466323632009579,0.6820855090904878,87,45,20,48,65,85,145,245,32.5,42.5,72.5,122.5,0.38235294117647056,0.65,0.48148148148148145,0.6381461675579323,0.3272052564635805,0.5846369441852258,28.0,49.0,112.0,217.0,0.32352941176470595,-0.13387096774193552,0.1147918104439844,0.04434046345811049,0.01942710673737741,0.09744856490526199,4.5,-6.5,-39.5,-94.5
German Credit,R2_F5,2,5,MaxBalancedAccuracy,0.2635239107483551,0.2635239107483551,0.67,0.5104166666666666,0.7205882352941176,0.6439393939393939,0.5975609756097561,0.6822638146167558,0.3456364905778836,0.6811865761413326,85,47,19,49,66,85,142,237,33.0,42.5,71.0,118.5,0.38235294117647056,0.65,0.48148148148148145,0.6381461675579323,0.3272052564635805,0.5846369441852258,28.0,49.0,112.0,217.0,0.3382352941176471,-0.1395833333333334,0.11607949412827462,0.044117647058823484,0.018431234114303086,0.09654963195610677,5.0,-6.5,-41.0,-98.5
German Credit,R2_F5,2,5,MinCost_FN2_FP1,0.4142474283538864,0.4142474283538864,0.75,0.6551724137931034,0.5588235294117647,0.8484848484848485,0.6031746031746031,0.7036541889483066,0.42521306112568086,0.6885879012026783,112,20,30,38,50,80,170,320,25.0,40.0,85.0,160.0,0.38235294117647056,0.65,0.48148148148148145,0.6381461675579323,0.3272052564635805,0.5846369441852258,28.0,49.0,112.0,217.0,0.17647058823529416,0.005172413793103403,0.12169312169312169,0.06550802139037426,0.09800780466210035,0.1039509570174525,-3.0,-9.0,-27.0,-57.0
German Credit,R2_F5,2,5,MinCost_FN5_FP1,0.21523934563482883,0.21523934563482883,0.63,0.47413793103448276,0.8088235294117647,0.5378787878787878,0.5978260869565217,0.6733511586452763,0.33275878410006127,0.6595824585355823,71,61,13,55,74,87,126,191,37.0,43.5,63.0,95.5,0.38235294117647056,0.65,0.48148148148148145,0.6381461675579323,0.3272052564635805,0.5846369441852258,28.0,49.0,112.0,217.0,0.42647058823529416,-0.17586206896551726,0.11634460547504027,0.035204991087343984,0.0055535276364807595,0.07494551435035646,9.0,-5.5,-49.0,-121.5
German Credit,R2_F5,2,5,MinCost_FN10_FP1,0.09031345754332251,0.09031345754332251,0.49,0.39880952380952384,0.9852941176470589,0.23484848484848486,0.5677966101694916,0.6100713012477719,0.2844565171400566,0.48103516572027927,31,101,1,67,102,103,106,111,51.0,51.5,53.0,55.5,0.38235294117647056,0.65,0.48148148148148145,0.6381461675579323,0.3272052564635805,0.5846369441852258,28.0,49.0,112.0,217.0,0.6029411764705883,-0.2511904761904762,0.08631512868801011,-0.02807486631016043,-0.04274873932352391,-0.10360177846494656,23.0,2.5,-59.0,-161.5
German Credit,R3_F1,3,1,Fixed0.50,0.5,0.5,0.795,0.6666666666666666,0.48148148148148145,0.910958904109589,0.5591397849462365,0.6962201927955353,0.4397458605665948,0.6622762586107339,133,13,28,26,41,69,153,293,20.5,34.5,76.5,146.5,0.48148148148148145,0.6666666666666666,0.5591397849462365,0.6962201927955353,0.4397458605665948,0.6622762586107339,20.5,34.5,76.5,146.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
