dataset,run_id,repeat,fold,threshold_strategy,selected_threshold,threshold,accuracy,precision_adverse,recall_adverse,specificity,f1_adverse,balanced_accuracy,mcc,gmean,tn,fp,fn,tp,cost_FN1_FP1,cost_FN2_FP1,cost_FN5_FP1,cost_FN10_FP1,cost_FN1_FP1_per100,cost_FN2_FP1_per100,cost_FN5_FP1_per100,cost_FN10_FP1_per100
German Credit,R2_F3,2,3,MaxMCC,0.3911527299009214,0.3911527299009214,0.71,0.5466666666666666,0.6307692307692307,0.7481481481481481,0.5857142857142857,0.6894586894586894,0.3665915488969939,0.6869562081449092,101,34,24,41,58,82,154,274,29.0,41.0,77.0,137.0
German Credit,R2_F3,2,3,MaxF1,0.38535330561586933,0.38535330561586933,0.71,0.5454545454545454,0.6461538461538462,0.7407407407407407,0.5915492957746479,0.6934472934472935,0.37240739623236485,0.6918326955503611,100,35,23,42,58,81,150,265,29.0,40.5,75.0,132.5
German Credit,R2_F3,2,3,MaxBalancedAccuracy,0.37764364603673783,0.37764364603673783,0.715,0.5512820512820513,0.6615384615384615,0.7407407407407407,0.6013986013986014,0.7011396011396012,0.3862993044129254,0.7000203497245562,100,35,22,43,57,79,145,255,28.5,39.5,72.5,127.5
German Credit,R2_F3,2,3,MinCost_FN2_FP1,0.3911527299009214,0.3911527299009214,0.71,0.5466666666666666,0.6307692307692307,0.7481481481481481,0.5857142857142857,0.6894586894586894,0.3665915488969939,0.6869562081449092,101,34,24,41,58,82,154,274,29.0,41.0,77.0,137.0
German Credit,R2_F3,2,3,MinCost_FN5_FP1,0.1635534383849564,0.1635534383849564,0.595,0.4375,0.8615384615384616,0.4666666666666667,0.5803108808290155,0.6641025641025642,0.32025630761017426,0.6340751391209737,63,72,9,56,81,90,117,162,40.5,45.0,58.5,81.0
German Credit,R2_F3,2,3,MinCost_FN10_FP1,0.07514768073825483,0.07514768073825483,0.48,0.3803680981595092,0.9538461538461539,0.2518518518518518,0.543859649122807,0.6028490028490029,0.2481184042837968,0.49013051346342457,34,101,3,62,104,107,116,131,52.0,53.5,58.0,65.5
German Credit,R2_F4,2,4,Fixed0.50,0.5,0.5,0.78,0.6666666666666666,0.4827586206896552,0.9014084507042254,0.56,0.6920835356969403,0.4279816188899131,0.6596686291919382,128,14,30,28,44,74,164,314,22.0,37.0,82.0,157.0
German Credit,R2_F4,2,4,MaxMCC,0.5053282208439034,0.5053282208439034,0.785,0.6829268292682927,0.4827586206896552,0.9084507042253521,0.5656565656565656,0.6956046624575036,0.43972066550453637,0.6622404464666719,129,13,30,28,43,73,163,313,21.5,36.5,81.5,156.5
German Credit,R2_F4,2,4,MaxF1,0.24662162882158528,0.24662162882158528,0.675,0.4666666666666667,0.8448275862068966,0.6056338028169014,0.6012269938650306,0.7252306945118989,0.4093165344709486,0.715301435591392,86,56,9,49,65,74,101,146,32.5,37.0,50.5,73.0
German Credit,R2_F4,2,4,MaxBalancedAccuracy,0.24662162882158528,0.24662162882158528,0.675,0.4666666666666667,0.8448275862068966,0.6056338028169014,0.6012269938650306,0.7252306945118989,0.4093165344709486,0.715301435591392,86,56,9,49,65,74,101,146,32.5,37.0,50.5,73.0
German Credit,R2_F4,2,4,MinCost_FN2_FP1,0.3506029717098704,0.3506029717098704,0.755,0.56,0.7241379310344828,0.7676056338028169,0.631578947368421,0.7458717824186498,0.4609047841037382,0.7455550653790669,109,33,16,42,49,65,113,193,24.5,32.5,56.5,96.5
German Credit,R2_F4,2,4,MinCost_FN5_FP1,0.14922003318398008,0.14922003318398008,0.555,0.3851851851851852,0.896551724137931,0.4154929577464789,0.538860103626943,0.656022340942205,0.30230921933685845,0.6103367329882531,59,83,6,52,89,95,113,143,44.5,47.5,56.5,71.5
German Credit,R2_F4,2,4,MinCost_FN10_FP1,0.09367022015216393,0.09367022015216393,0.47,0.34810126582278483,0.9482758620689655,0.2746478873239437,0.5092592592592593,0.6114618746964546,0.24834837303472831,0.5103351468569775,39,103,3,55,106,109,118,133,53.0,54.5,59.0,66.5
German Credit,R2_F5,2,5,Fixed0.50,0.5,0.5,0.72,0.65,0.38235294117647056,0.8939393939393939,0.48148148148148145,0.6381461675579323,0.3272052564635805,0.5846369441852258,118,14,42,26,56,98,224,434,28.0,49.0,112.0,217.0
German Credit,R2_F5,2,5,MaxMCC,0.4142474283538864,0.4142474283538864,0.75,0.6551724137931034,0.5588235294117647,0.8484848484848485,0.6031746031746031,0.7036541889483066,0.42521306112568086,0.6885879012026783,112,20,30,38,50,80,170,320,25.0,40.0,85.0,160.0
German Credit,R2_F5,2,5,MaxF1,0.27237501292611227,0.27237501292611227,0.675,0.5161290322580645,0.7058823529411765,0.6590909090909091,0.5962732919254659,0.6824866310160428,0.3466323632009579,0.6820855090904878,87,45,20,48,65,85,145,245,32.5,42.5,72.5,122.5
German Credit,R2_F5,2,5,MaxBalancedAccuracy,0.2635239107483551,0.2635239107483551,0.67,0.5104166666666666,0.7205882352941176,0.6439393939393939,0.5975609756097561,0.6822638146167558,0.3456364905778836,0.6811865761413326,85,47,19,49,66,85,142,237,33.0,42.5,71.0,118.5
German Credit,R2_F5,2,5,MinCost_FN2_FP1,0.4142474283538864,0.4142474283538864,0.75,0.6551724137931034,0.5588235294117647,0.8484848484848485,0.6031746031746031,0.7036541889483066,0.42521306112568086,0.6885879012026783,112,20,30,38,50,80,170,320,25.0,40.0,85.0,160.0
German Credit,R2_F5,2,5,MinCost_FN5_FP1,0.21523934563482883,0.21523934563482883,0.63,0.47413793103448276,0.8088235294117647,0.5378787878787878,0.5978260869565217,0.6733511586452763,0.33275878410006127,0.6595824585355823,71,61,13,55,74,87,126,191,37.0,43.5,63.0,95.5
German Credit,R2_F5,2,5,MinCost_FN10_FP1,0.09031345754332251,0.09031345754332251,0.49,0.39880952380952384,0.9852941176470589,0.23484848484848486,0.5677966101694916,0.6100713012477719,0.2844565171400566,0.48103516572027927,31,101,1,67,102,103,106,111,51.0,51.5,53.0,55.5
German Credit,R3_F1,3,1,Fixed0.50,0.5,0.5,0.795,0.6666666666666666,0.48148148148148145,0.910958904109589,0.5591397849462365,0.6962201927955353,0.4397458605665948,0.6622762586107339,133,13,28,26,41,69,153,293,20.5,34.5,76.5,146.5
German Credit,R3_F1,3,1,MaxMCC,0.3417218257397753,0.3417218257397753,0.73,0.5,0.7407407407407407,0.726027397260274,0.5970149253731343,0.7333840690005073,0.4229985652856547,0.7333471702029315,106,40,14,40,54,68,110,180,27.0,34.0,55.0,90.0
German Credit,R3_F1,3,1,MaxF1,0.3417218257397753,0.3417218257397753,0.73,0.5,0.7407407407407407,0.726027397260274,0.5970149253731343,0.7333840690005073,0.4229985652856547,0.7333471702029315,106,40,14,40,54,68,110,180,27.0,34.0,55.0,90.0
German Credit,R3_F1,3,1,MaxBalancedAccuracy,0.3417218257397753,0.3417218257397753,0.73,0.5,0.7407407407407407,0.726027397260274,0.5970149253731343,0.7333840690005073,0.4229985652856547,0.7333471702029315,106,40,14,40,54,68,110,180,27.0,34.0,55.0,90.0
German Credit,R3_F1,3,1,MinCost_FN2_FP1,0.3417218257397753,0.3417218257397753,0.73,0.5,0.7407407407407407,0.726027397260274,0.5970149253731343,0.7333840690005073,0.4229985652856547,0.7333471702029315,106,40,14,40,54,68,110,180,27.0,34.0,55.0,90.0
German Credit,R3_F1,3,1,MinCost_FN5_FP1,0.1790984730795535,0.1790984730795535,0.585,0.3875968992248062,0.9259259259259259,0.4589041095890411,0.546448087431694,0.6924150177574835,0.35704112243976655,0.6518521401226244,67,79,4,50,83,87,99,119,41.5,43.5,49.5,59.5
