dataset,feature_regime,weight_strategy,Scale_Pos_Weight_Mean,Source_Features,ROC_AUC,PR_AUC,Recall,Precision,F1,Balanced_Accuracy,MCC,GMean,KS,Cost_1_1,Cost_2_1,Cost_5_1,Cost_10_1,Runtime_Seconds
German Credit,AllFeatures,Cost5,11.679023168696519,20.0,0.7840004140913455,0.6234808885392671,0.7682413948070171,0.4826791553742003,0.5910891273765577,0.7077563763845837,0.38082825684543303,0.7042116947858059,0.47180649897897176,31.66,38.64,59.58,94.48,0.2863743760017678
German Credit,AllFeatures,Unweighted,1.0,20.0,0.7903688101613544,0.6323657062783401,0.4783380353625389,0.6401457596137183,0.5443340129289268,0.6816761326602924,0.39882139986686044,0.6485086510656459,0.47877099270714374,23.68,39.3,86.16,164.26,0.2742824919964187
German Credit,FrozenChi2Top75,Balanced,2.335804633739304,15.0,0.78727461176675,0.619311532627381,0.6412510394580334,0.5654138509863951,0.5980783463437936,0.7149828226774517,0.4159444882001301,0.7095942838169994,0.48524303486429415,25.56,36.32,68.6,122.4,0.2729155999957584
German Credit,FrozenChi2Top75,Cost2,4.671609267478608,15.0,0.7835453223007954,0.6140728807390498,0.7187581274654748,0.5197509267258895,0.6007874738426277,0.7172111531093813,0.4039490961587655,0.715940101877862,0.47609175633439915,28.38,36.84,62.22,104.52,0.2726337919966318
German Credit,FrozenChi2Top75,Cost5,11.679023168696519,15.0,0.7812190192045629,0.6147380426476847,0.7838722941258731,0.4746789595212156,0.5894164506307585,0.705837829069091,0.37721267026489064,0.7005580324609645,0.4701823750194791,32.56,39.06,58.56,91.06,0.27372837599599736
German Credit,FrozenChi2Top75,Unweighted,1.0,15.0,0.7884336394167986,0.6222831394108276,0.49057614116399195,0.6329473999637026,0.5475793502837392,0.6839532576528906,0.3987271330932572,0.6535942436099149,0.4857727254782616,23.92,39.22,85.12,161.62,0.27005513600772246
Taiwan Credit Card Default,AllFeatures,Balanced,3.5208463086832915,23.0,0.7829795523494706,0.5600948540821908,0.6288990687805145,0.4712812579344183,0.5387066840100898,0.71421007541132,0.3898686770514188,0.7090410953556738,0.4347858612537134,23.82260204183121,32.0319770265306,56.66010198062875,97.70697690412568,0.9732552440022119
Taiwan Credit Card Default,AllFeatures,Cost2,7.041692617366583,23.0,0.7821274174764608,0.559146963475434,0.8238945307298547,0.33458821894045565,0.475870522124098,0.6792391533698592,0.2987807948654855,0.6636069525165634,0.4331265300946104,40.143269320644414,44.03996154741633,55.73003822773207,75.21349936159163,0.9848210359923542
Taiwan Credit Card Default,AllFeatures,Cost5,17.604231543416457,23.0,0.7798818877724404,0.5569090066608209,0.9531891237797998,0.25457697670647017,0.4018067926065689,0.5802102986285557,0.17657574836322268,0.4443060492265112,0.43218412813916524,62.778710782596,63.81539052407775,66.92542974852299,72.10882845593174,0.9891944359987974
Taiwan Credit Card Default,AllFeatures,Unweighted,1.0,23.0,0.7832339217930203,0.5605248823378762,0.3679639111534876,0.6715468985833306,0.4753331436545322,0.6584168767164347,0.4029107729166171,0.5908051363678616,0.4365583339729703,17.96400247455927,31.946001806121362,73.89199980080764,143.8019964586181,0.9361437360011041
Taiwan Credit Card Default,FrozenChi2Top75,Balanced,3.5208463086832915,18.0,0.7825514537327791,0.5592416058709261,0.6298677476757738,0.47073667619787796,0.5386829120573539,0.7143057940762289,0.38974797282761864,0.7092316017327892,0.43548714562918045,23.86191794635816,32.0499673664665,56.61411562679151,97.55436272733319,0.8586382679990493
Taiwan Credit Card Default,FrozenChi2Top75,Cost2,7.041692617366583,18.0,0.7816270447240781,0.5580229773913605,0.828580882861119,0.33133599735961355,0.4733425571624181,0.6768272159318869,0.2952438863158832,0.6595480715004695,0.4337328368793756,40.780654419242786,44.57403485150503,55.954176148291765,74.92107830960299,0.8598516719951295
Taiwan Credit Card Default,FrozenChi2Top75,Cost5,17.604231543416457,18.0,0.7799591980013899,0.5567709798598844,0.9563108369953776,0.2538140258028417,0.4011323544618286,0.5788654392106521,0.17574966292019387,0.4387612553387942,0.4312990557175854,63.16205637280712,64.12940299240418,67.03144285119531,71.86817594918053,0.8441269440040924
Taiwan Credit Card Default,FrozenChi2Top75,Unweighted,1.0,18.0,0.782617406583378,0.560104906950744,0.36699902438811244,0.6749375347025065,0.47538452864681974,0.6583923573567593,0.4041849419642982,0.5903258312886553,0.43616588577045334,17.914005132112877,31.917332240779906,73.92731356678101,143.94394911011617,0.8629175120079889
