dataset,run_id,repeat,fold,feature_regime,weight_strategy,scale_pos_weight,source_features,transformed_features,feature_selection_runtime_seconds,model_runtime_seconds,accuracy,precision_adverse,recall_adverse,specificity,f1_adverse,balanced_accuracy,mcc,roc_auc,pr_auc,gmean,ks_statistic,tn,fp,fn,tp,cost_FN1_FP1_per100,cost_FN2_FP1_per100,cost_FN5_FP1_per100,cost_FN10_FP1_per100
Australian Credit Approval,R1_F2,1,2,AllFeatures,Cost5,4.139072847682119,14,42,0.0,0.26083980000112206,0.855072463768116,0.8674698795180723,0.8888888888888888,0.8070175438596491,0.8780487804878049,0.8479532163742689,0.6998587509534344,0.9369720597790773,0.9461171854359403,0.8469645375546981,0.7569850552306693,46,11,9,72,14.492753623188406,21.014492753623188,40.57971014492754,73.18840579710145
Australian Credit Approval,R1_F2,1,2,FrozenChi2Top75,Unweighted,1.0,11,37,0.0381385000073351,0.23950819997116923,0.8478260869565217,0.8846153846153846,0.8518518518518519,0.8421052631578947,0.8679245283018868,0.8469785575048733,0.6892704238533526,0.9315572882824344,0.9451552333715687,0.8469645375546981,0.7621832358674463,48,9,12,69,15.217391304347826,23.91304347826087,50.0,93.47826086956522
Australian Credit Approval,R1_F2,1,2,FrozenChi2Top75,Balanced,0.8278145695364238,11,37,0.0381385000073351,0.2355550000211224,0.8478260869565217,0.8846153846153846,0.8518518518518519,0.8421052631578947,0.8679245283018868,0.8469785575048733,0.6892704238533526,0.9293913796837774,0.9400560244806402,0.8469645375546981,0.7498375568551008,48,9,12,69,15.217391304347826,23.91304347826087,50.0,93.47826086956522
Australian Credit Approval,R1_F2,1,2,FrozenChi2Top75,Cost2,1.6556291390728477,11,37,0.0381385000073351,0.24067049997393042,0.8478260869565217,0.8846153846153846,0.8518518518518519,0.8421052631578947,0.8679245283018868,0.8469785575048733,0.6892704238533526,0.9309075157028373,0.9433425901672345,0.8469645375546981,0.7569850552306693,48,9,12,69,15.217391304347826,23.91304347826087,50.0,93.47826086956522
Australian Credit Approval,R1_F2,1,2,FrozenChi2Top75,Cost5,4.139072847682119,11,37,0.0381385000073351,0.24034009996103123,0.855072463768116,0.8588235294117647,0.9012345679012346,0.7894736842105263,0.8795180722891566,0.8453541260558805,0.6992414815334496,0.9233268356075374,0.9317988195111551,0.8435051716847203,0.7446393762183235,45,12,8,73,14.492753623188406,20.28985507246377,37.68115942028985,66.66666666666667
Australian Credit Approval,R1_F3,1,3,AllFeatures,Unweighted,1.0,14,42,0.0,0.2592112999991514,0.8695652173913043,0.9078947368421053,0.8625,0.8793103448275862,0.8846153846153846,0.8709051724137931,0.7361210464400549,0.934051724137931,0.9433906687929983,0.8708646119884498,0.7698275862068966,51,7,11,69,13.043478260869565,21.014492753623188,44.927536231884055,84.78260869565217
Australian Credit Approval,R1_F3,1,3,AllFeatures,Balanced,0.8217821782178217,14,42,0.0,0.25472670001909137,0.8768115942028986,0.9090909090909091,0.875,0.8793103448275862,0.89171974522293,0.8771551724137931,0.7497194432170575,0.9323275862068965,0.9423723558851604,0.8771525247778392,0.7620689655172415,51,7,10,70,12.318840579710145,19.565217391304348,41.30434782608695,77.53623188405797
Australian Credit Approval,R1_F3,1,3,AllFeatures,Cost2,1.6435643564356435,14,42,0.0,0.2618271000101231,0.8768115942028986,0.8888888888888888,0.9,0.8448275862068966,0.8944099378881988,0.8724137931034484,0.7466804942112601,0.9336206896551724,0.9435879678985717,0.8719775384642697,0.7685344827586207,49,9,8,72,12.318840579710145,18.115942028985508,35.507246376811594,64.4927536231884
Australian Credit Approval,R1_F3,1,3,AllFeatures,Cost5,4.108910891089109,14,42,0.0,0.2659872999647632,0.8623188405797102,0.8505747126436781,0.925,0.7758620689655172,0.8862275449101796,0.8504310344827586,0.7167155585435772,0.9299568965517242,0.9383863465496625,0.8471554838358206,0.7560344827586206,45,13,6,74,13.768115942028986,18.115942028985508,31.159420289855074,52.89855072463768
Australian Credit Approval,R1_F3,1,3,FrozenChi2Top75,Unweighted,1.0,11,37,0.037980400025844574,0.24115429999073967,0.8768115942028986,0.8888888888888888,0.9,0.8448275862068966,0.8944099378881988,0.8724137931034484,0.7466804942112601,0.9344827586206896,0.9487628443437309,0.8719775384642697,0.7793103448275862,49,9,8,72,12.318840579710145,18.115942028985508,35.507246376811594,64.4927536231884
