dataset,run_id,repeat,fold,selector,subset,subset_fraction,selected_source_features,selected_transformed_features,feature_reduction_pct,selector_runtime_seconds_for_fold,xgb_runtime_seconds,accuracy,precision_adverse,recall_adverse,specificity,f1_adverse,balanced_accuracy,mcc,roc_auc,pr_auc,gmean,ks_statistic,tn,fp,fn,tp
German Credit,R2_F2,2,2,RF,Top25,0.25,5,5,75.0,1.0191132000181824,0.22979539999505505,0.725,0.36363636363636365,0.2608695652173913,0.8636363636363636,0.3037974683544304,0.5622529644268774,0.14116079752645114,0.637492941840768,0.3509011843309935,0.47465402419841235,0.23037831733483904,133,21,34,12
German Credit,R2_F2,2,2,RF,Top50,0.5,10,21,50.0,1.0191132000181824,0.3021986000239849,0.78,0.5238095238095238,0.4782608695652174,0.8701298701298701,0.5,0.6741953698475438,0.3599587130499609,0.7618577075098815,0.5212229457459425,0.6450961698250746,0.4127611518915867,134,20,24,22
German Credit,R2_F2,2,2,RF,Top75,0.75,15,37,25.0,1.0191132000181824,0.36289779999060556,0.75,0.4523809523809524,0.41304347826086957,0.8506493506493507,0.4318181818181818,0.6318464144551101,0.2724484910767127,0.7819028797289668,0.5016197745400942,0.5927521965986781,0.47967250141163187,131,23,27,19
German Credit,R2_F2,2,2,RFE,Top25,0.25,5,22,75.0,1.0191132000181824,0.2593931000446901,0.75,0.45652173913043476,0.45652173913043476,0.8376623376623377,0.45652173913043476,0.6470920383963862,0.2941840767927724,0.7862789384528515,0.4638556961626133,0.6183939417504637,0.5059288537549407,129,25,25,21
German Credit,R2_F2,2,2,RFE,Top50,0.5,10,37,50.0,1.0191132000181824,0.30206850002286956,0.8,0.575,0.5,0.8896103896103896,0.5348837209302325,0.6948051948051948,0.40990179375001584,0.7794325239977413,0.581867991970632,0.6669371745563407,0.40739695087521177,137,17,23,23
German Credit,R2_F2,2,2,RFE,Top75,0.75,15,52,25.0,1.0191132000181824,0.35620390000985935,0.765,0.4883720930232558,0.45652173913043476,0.8571428571428571,0.47191011235955055,0.6568322981366459,0.3213073974032018,0.7964426877470355,0.5276215140977536,0.6255432421712243,0.5036702428006776,132,22,25,21
German Credit,R2_F2,2,2,EqualConsensus,Top25,0.25,5,13,75.0,1.0191132000181824,0.2863134000217542,0.77,0.5,0.4782608695652174,0.8571428571428571,0.4888888888888889,0.6677018633540373,0.3407363937332399,0.7989130434782609,0.5266962409511983,0.6402639207379702,0.4929418407679277,132,22,24,22
German Credit,R2_F2,2,2,EqualConsensus,Top50,0.5,10,29,50.0,1.0191132000181824,0.32411250000586733,0.785,0.5319148936170213,0.5434782608695652,0.8571428571428571,0.5376344086021505,0.7003105590062111,0.39762938409038,0.8059006211180124,0.6328790299050376,0.6825236327899351,0.4757199322416713,132,22,21,25
German Credit,R2_F2,2,2,EqualConsensus,Top75,0.75,15,52,25.0,1.0191132000181824,0.352902400016319,0.765,0.4883720930232558,0.45652173913043476,0.8571428571428571,0.47191011235955055,0.6568322981366459,0.3213073974032018,0.7964426877470355,0.5276215140977536,0.6255432421712243,0.5036702428006776,132,22,25,21
German Credit,R2_F3,2,3,Chi2,Top25,0.25,5,18,75.0,0.9701675000251271,0.2832555000204593,0.675,0.5,0.38461538461538464,0.8148148148148148,0.43478260869565216,0.5997150997150997,0.21571674297647797,0.6871225071225071,0.5464268503976923,0.559812748506421,0.3327635327635328,110,25,40,25
German Credit,R2_F3,2,3,Chi2,Top50,0.5,10,41,50.0,0.9701675000251271,0.31593969999812543,0.745,0.6521739130434783,0.46153846153846156,0.8814814814814815,0.5405405405405406,0.6715099715099715,0.381771634006757,0.7752706552706553,0.6247169882009294,0.637838229363533,0.4398860398860399,119,16,35,30
