dataset,run_id,repeat,fold,selector,subset,subset_fraction,selected_source_features,total_source_features,feature_reduction_pct,selected_features
German Credit,R3_F5,3,5,EqualConsensus,Top50,0.5,10,20,50.0,amount;status;duration;credit_history;installment_rate;housing;number_credits;savings;foreign_worker;property
German Credit,R3_F5,3,5,EqualConsensus,Top75,0.75,15,20,25.0,amount;status;duration;credit_history;installment_rate;housing;number_credits;savings;foreign_worker;property;age;employment_duration;other_installment_plans;purpose;personal_status_sex
German Credit,R4_F1,4,1,Chi2,Top25,0.25,5,20,75.0,status;duration;housing;credit_history;savings
German Credit,R4_F1,4,1,Chi2,Top50,0.5,10,20,50.0,status;duration;housing;credit_history;savings;other_installment_plans;amount;purpose;employment_duration;property
German Credit,R4_F1,4,1,Chi2,Top75,0.75,15,20,25.0,status;duration;housing;credit_history;savings;other_installment_plans;amount;purpose;employment_duration;property;foreign_worker;other_debtors;age;personal_status_sex;telephone
German Credit,R4_F1,4,1,MI,Top25,0.25,5,20,75.0,present_residence;duration;amount;status;housing
German Credit,R4_F1,4,1,MI,Top50,0.5,10,20,50.0,present_residence;duration;amount;status;housing;credit_history;other_installment_plans;foreign_worker;savings;purpose
German Credit,R4_F1,4,1,MI,Top75,0.75,15,20,25.0,present_residence;duration;amount;status;housing;credit_history;other_installment_plans;foreign_worker;savings;purpose;employment_duration;property;personal_status_sex;other_debtors;telephone
German Credit,R4_F1,4,1,L1,Top25,0.25,5,20,75.0,amount;status;installment_rate;duration;foreign_worker
German Credit,R4_F1,4,1,L1,Top50,0.5,10,20,50.0,amount;status;installment_rate;duration;foreign_worker;number_credits;credit_history;age;other_debtors;savings
German Credit,R4_F1,4,1,L1,Top75,0.75,15,20,25.0,amount;status;installment_rate;duration;foreign_worker;number_credits;credit_history;age;other_debtors;savings;purpose;telephone;employment_duration;housing;other_installment_plans
German Credit,R4_F1,4,1,RF,Top25,0.25,5,20,75.0,amount;age;duration;installment_rate;present_residence
German Credit,R4_F1,4,1,RF,Top50,0.5,10,20,50.0,amount;age;duration;installment_rate;present_residence;number_credits;status;telephone;property;other_installment_plans
German Credit,R4_F1,4,1,RF,Top75,0.75,15,20,25.0,amount;age;duration;installment_rate;present_residence;number_credits;status;telephone;property;other_installment_plans;credit_history;employment_duration;personal_status_sex;people_liable;job
German Credit,R4_F1,4,1,RFE,Top25,0.25,5,20,75.0,foreign_worker;amount;status;credit_history;purpose
German Credit,R4_F1,4,1,RFE,Top50,0.5,10,20,50.0,foreign_worker;amount;status;credit_history;purpose;savings;other_debtors;duration;installment_rate;number_credits
German Credit,R4_F1,4,1,RFE,Top75,0.75,15,20,25.0,foreign_worker;amount;status;credit_history;purpose;savings;other_debtors;duration;installment_rate;number_credits;other_installment_plans;housing;age;telephone;employment_duration
German Credit,R4_F1,4,1,EqualConsensus,Top25,0.25,5,20,75.0,amount;status;duration;credit_history;foreign_worker
German Credit,R4_F1,4,1,EqualConsensus,Top50,0.5,10,20,50.0,amount;status;duration;credit_history;foreign_worker;savings;other_installment_plans;housing;installment_rate;purpose
German Credit,R4_F1,4,1,EqualConsensus,Top75,0.75,15,20,25.0,amount;status;duration;credit_history;foreign_worker;savings;other_installment_plans;housing;installment_rate;purpose;age;number_credits;employment_duration;other_debtors;telephone
German Credit,R4_F2,4,2,Chi2,Top25,0.25,5,20,75.0,status;savings;duration;housing;credit_history
German Credit,R4_F2,4,2,Chi2,Top50,0.5,10,20,50.0,status;savings;duration;housing;credit_history;amount;other_installment_plans;installment_rate;employment_duration;foreign_worker
German Credit,R4_F2,4,2,Chi2,Top75,0.75,15,20,25.0,status;savings;duration;housing;credit_history;amount;other_installment_plans;installment_rate;employment_duration;foreign_worker;purpose;property;other_debtors;personal_status_sex;age
German Credit,R4_F2,4,2,MI,Top25,0.25,5,20,75.0,present_residence;duration;amount;installment_rate;age
German Credit,R4_F2,4,2,MI,Top50,0.5,10,20,50.0,present_residence;duration;amount;installment_rate;age;status;savings;foreign_worker;housing;credit_history
German Credit,R4_F2,4,2,MI,Top75,0.75,15,20,25.0,present_residence;duration;amount;installment_rate;age;status;savings;foreign_worker;housing;credit_history;other_installment_plans;property;employment_duration;purpose;personal_status_sex
German Credit,R4_F2,4,2,L1,Top25,0.25,5,20,75.0,installment_rate;amount;duration;savings;credit_history
German Credit,R4_F2,4,2,L1,Top50,0.5,10,20,50.0,installment_rate;amount;duration;savings;credit_history;status;age;foreign_worker;purpose;other_installment_plans
German Credit,R4_F2,4,2,L1,Top75,0.75,15,20,25.0,installment_rate;amount;duration;savings;credit_history;status;age;foreign_worker;purpose;other_installment_plans;people_liable;employment_duration;personal_status_sex;housing;number_credits
German Credit,R4_F2,4,2,RF,Top25,0.25,5,20,75.0,amount;duration;age;installment_rate;present_residence
German Credit,R4_F2,4,2,RF,Top50,0.5,10,20,50.0,amount;duration;age;installment_rate;present_residence;number_credits;status;property;other_installment_plans;telephone
German Credit,R4_F2,4,2,RF,Top75,0.75,15,20,25.0,amount;duration;age;installment_rate;present_residence;number_credits;status;property;other_installment_plans;telephone;employment_duration;housing;job;credit_history;people_liable
German Credit,R4_F2,4,2,RFE,Top25,0.25,5,20,75.0,foreign_worker;purpose;credit_history;amount;duration
German Credit,R4_F2,4,2,RFE,Top50,0.5,10,20,50.0,foreign_worker;purpose;credit_history;amount;duration;installment_rate;status;savings;housing;other_debtors
German Credit,R4_F2,4,2,RFE,Top75,0.75,15,20,25.0,foreign_worker;purpose;credit_history;amount;duration;installment_rate;status;savings;housing;other_debtors;other_installment_plans;property;personal_status_sex;telephone;age
German Credit,R4_F2,4,2,EqualConsensus,Top25,0.25,5,20,75.0,duration;amount;installment_rate;status;credit_history
German Credit,R4_F2,4,2,EqualConsensus,Top50,0.5,10,20,50.0,duration;amount;installment_rate;status;credit_history;savings;age;foreign_worker;other_installment_plans;housing
German Credit,R4_F2,4,2,EqualConsensus,Top75,0.75,15,20,25.0,duration;amount;installment_rate;status;credit_history;savings;age;foreign_worker;other_installment_plans;housing;purpose;employment_duration;property;present_residence;personal_status_sex
German Credit,R4_F3,4,3,Chi2,Top25,0.25,5,20,75.0,status;duration;other_installment_plans;savings;housing
