dataset,run_id,repeat,fold,selector,subset,subset_fraction,selected_source_features,selected_transformed_features,feature_reduction_pct,selector_runtime_seconds_for_fold,xgb_runtime_seconds,accuracy,precision_adverse,recall_adverse,specificity,f1_adverse,balanced_accuracy,mcc,roc_auc,pr_auc,gmean,ks_statistic,tn,fp,fn,tp,baseline_roc_auc,baseline_pr_auc,baseline_recall_adverse,baseline_f1_adverse,baseline_balanced_accuracy,baseline_mcc,baseline_gmean,baseline_ks_statistic,delta_roc_auc,delta_pr_auc,delta_recall_adverse,delta_f1_adverse,delta_balanced_accuracy,delta_mcc,delta_gmean,delta_ks_statistic
German Credit,R1_F2,1,2,MI,Top25,0.25,5,8,75.0,0.8768827000167221,0.2371234000311233,0.725,0.43137254901960786,0.4583333333333333,0.8092105263157895,0.4444444444444444,0.6337719298245614,0.2621556236299369,0.695860745614035,0.4298850709740381,0.609005876732513,0.3717105263157895,123,29,26,22,0.7420504385964911,0.476023150179116,0.4166666666666667,0.4597701149425287,0.6458333333333334,0.3144010367213984,0.60380736442456,0.4320175438596491,-0.04618969298245612,-0.0461380792050779,0.04166666666666663,-0.015325670498084254,-0.01206140350877194,-0.05224541309146152,0.005198512307953096,-0.06030701754385959
German Credit,R1_F2,1,2,MI,Top50,0.5,10,24,50.0,0.8768827000167221,0.2544726000051014,0.765,0.5111111111111111,0.4791666666666667,0.8552631578947368,0.4946236559139785,0.6672149122807017,0.34203874771168186,0.7101151315789473,0.5047126125814664,0.6401668505094809,0.38815789473684215,130,22,25,23,0.7420504385964911,0.476023150179116,0.4166666666666667,0.4597701149425287,0.6458333333333334,0.3144010367213984,0.60380736442456,0.4320175438596491,-0.03193530701754377,0.028689462402350374,0.0625,0.034853540971449826,0.021381578947368363,0.02763771099028345,0.0363594860849209,-0.04385964912280693
German Credit,R1_F2,1,2,MI,Top75,0.75,15,48,25.0,0.8768827000167221,0.2965272999717854,0.77,0.5217391304347826,0.5,0.8552631578947368,0.5106382978723404,0.6776315789473684,0.3605398786970459,0.752467105263158,0.5063509391460814,0.6539354547257462,0.4287280701754386,130,22,24,24,0.7420504385964911,0.476023150179116,0.4166666666666667,0.4597701149425287,0.6458333333333334,0.3144010367213984,0.60380736442456,0.4320175438596491,0.010416666666666852,0.03032778896696542,0.08333333333333331,0.05086818292981171,0.03179824561403499,0.04613884197564749,0.05012809030118626,-0.0032894736842104533
German Credit,R1_F2,1,2,L1,Top25,0.25,5,12,75.0,0.8768827000167221,0.25709259998984635,0.75,0.48148148148148145,0.5416666666666666,0.8157894736842105,0.5098039215686274,0.6787280701754386,0.34386808225730703,0.6947642543859649,0.413984922445079,0.6647450375236212,0.3629385964912281,124,28,22,26,0.7420504385964911,0.476023150179116,0.4166666666666667,0.4597701149425287,0.6458333333333334,0.3144010367213984,0.60380736442456,0.4320175438596491,-0.047286184210526216,-0.062038227734037,0.12499999999999994,0.05003380662609874,0.0328947368421052,0.02946704553590862,0.060937673099061285,-0.06907894736842096
German Credit,R1_F2,1,2,L1,Top50,0.5,10,33,50.0,0.8768827000167221,0.2858686000108719,0.78,0.5434782608695652,0.5208333333333334,0.8618421052631579,0.5319148936170213,0.6913377192982456,0.3883593137816945,0.7484923245614036,0.47773687515215,0.6699821613231416,0.4649122807017544,131,21,23,25,0.7420504385964911,0.476023150179116,0.4166666666666667,0.4597701149425287,0.6458333333333334,0.3144010367213984,0.60380736442456,0.4320175438596491,0.006441885964912464,0.0017137249730340143,0.10416666666666669,0.0721447786744926,0.04550438596491224,0.07395827706029612,0.06617479689858163,0.03289473684210531
German Credit,R1_F2,1,2,L1,Top75,0.75,15,48,25.0,0.8768827000167221,0.29029589996207505,0.77,0.5227272727272727,0.4791666666666667,0.8618421052631579,0.5,0.6705043859649122,0.3515760851814769,0.7349232456140351,0.4435219313892669,0.642624313866142,0.39473684210526316,131,21,25,23,0.7420504385964911,0.476023150179116,0.4166666666666667,0.4597701149425287,0.6458333333333334,0.3144010367213984,0.60380736442456,0.4320175438596491,-0.00712719298245601,-0.03250121878984913,0.0625,0.040229885057471326,0.02467105263157887,0.03717504846007852,0.038816949441582094,-0.037280701754385914
German Credit,R1_F2,1,2,RF,Top25,0.25,5,5,75.0,0.8768827000167221,0.28034840000327677,0.695,0.3333333333333333,0.2708333333333333,0.8289473684210527,0.2988505747126437,0.549890350877193,0.10755824940468896,0.6472039473684211,0.3566378487329043,0.47382125210607473,0.3114035087719298,126,26,35,13,0.7420504385964911,0.476023150179116,0.4166666666666667,0.4597701149425287,0.6458333333333334,0.3144010367213984,0.60380736442456,0.4320175438596491,-0.09484649122806998,-0.11938530144621173,-0.14583333333333337,-0.16091954022988497,-0.09594298245614041,-0.20684278731670946,-0.12998611231848523,-0.12061403508771928
German Credit,R1_F2,1,2,RF,Top50,0.5,10,21,50.0,0.8768827000167221,0.3326223000185564,0.73,0.4318181818181818,0.3958333333333333,0.8355263157894737,0.41304347826086957,0.6156798245614035,0.23852911245431394,0.7214912280701754,0.4718667964947205,0.5750905725767609,0.40789473684210525,127,25,29,19,0.7420504385964911,0.476023150179116,0.4166666666666667,0.4597701149425287,0.6458333333333334,0.3144010367213984,0.60380736442456,0.4320175438596491,-0.020559210526315708,-0.004156353684395486,-0.02083333333333337,-0.046726636681659106,-0.030153508771929904,-0.07587192426708447,-0.028716791847799072,-0.024122807017543824
German Credit,R1_F2,1,2,RF,Top75,0.75,15,42,25.0,0.8768827000167221,0.29838999995263293,0.765,0.5116279069767442,0.4583333333333333,0.8618421052631579,0.4835164835164835,0.6600877192982456,0.3328483219361364,0.7112116228070176,0.44939987585777785,0.6284989776541253,0.34429824561403505,131,21,26,22,0.7420504385964911,0.476023150179116,0.4166666666666667,0.4597701149425287,0.6458333333333334,0.3144010367213984,0.60380736442456,0.4320175438596491,-0.03083881578947356,-0.026623274321338153,0.04166666666666663,0.023746368573954846,0.014254385964912242,0.018447285214737985,0.024691613229565368,-0.08771929824561403
German Credit,R1_F2,1,2,RFE,Top25,0.25,5,13,75.0,0.8768827000167221,0.24557619995903224,0.77,0.52,0.5416666666666666,0.8421052631578947,0.5306122448979592,0.6918859649122806,0.3785166493051126,0.7266310307017544,0.484921233001291,0.6753816335059704,0.4484649122807018,128,24,22,26,0.7420504385964911,0.476023150179116,0.4166666666666667,0.4597701149425287,0.6458333333333334,0.3144010367213984,0.60380736442456,0.4320175438596491,-0.015419407894736725,0.008898082822174969,0.12499999999999994,0.07084212995543054,0.046052631578947234,0.06411561258371418,0.0715742690814104,0.01644736842105271
