dataset,run_id,source_feature,selected
Australian Credit Approval,R1_F5,a11,0
Australian Credit Approval,R1_F5,a12,1
Australian Credit Approval,R1_F5,a2,1
Australian Credit Approval,R1_F5,a3,1
Australian Credit Approval,R1_F5,a7,1
Australian Credit Approval,R1_F5,a10,1
Australian Credit Approval,R1_F5,a13,0
Australian Credit Approval,R1_F5,a14,1
Australian Credit Approval,R2_F1,a1,0
Australian Credit Approval,R2_F1,a4,1
Australian Credit Approval,R2_F1,a5,1
Australian Credit Approval,R2_F1,a6,1
Australian Credit Approval,R2_F1,a8,1
Australian Credit Approval,R2_F1,a9,1
Australian Credit Approval,R2_F1,a11,0
Australian Credit Approval,R2_F1,a12,1
Australian Credit Approval,R2_F1,a2,1
Australian Credit Approval,R2_F1,a3,1
Australian Credit Approval,R2_F1,a7,1
Australian Credit Approval,R2_F1,a10,1
Australian Credit Approval,R2_F1,a13,0
Australian Credit Approval,R2_F1,a14,1
Australian Credit Approval,R2_F2,a1,0
Australian Credit Approval,R2_F2,a4,1
Australian Credit Approval,R2_F2,a5,1
Australian Credit Approval,R2_F2,a6,1
Australian Credit Approval,R2_F2,a8,1
Australian Credit Approval,R2_F2,a9,1
Australian Credit Approval,R2_F2,a11,0
Australian Credit Approval,R2_F2,a12,1
Australian Credit Approval,R2_F2,a2,1
Australian Credit Approval,R2_F2,a3,1
Australian Credit Approval,R2_F2,a7,1
Australian Credit Approval,R2_F2,a10,1
Australian Credit Approval,R2_F2,a13,0
Australian Credit Approval,R2_F2,a14,1
Australian Credit Approval,R2_F3,a1,0
Australian Credit Approval,R2_F3,a4,1
Australian Credit Approval,R2_F3,a5,1
Australian Credit Approval,R2_F3,a6,1
Australian Credit Approval,R2_F3,a8,1
Australian Credit Approval,R2_F3,a9,1
Australian Credit Approval,R2_F3,a11,0
Australian Credit Approval,R2_F3,a12,1
Australian Credit Approval,R2_F3,a2,1
Australian Credit Approval,R2_F3,a3,1
Australian Credit Approval,R2_F3,a7,1
Australian Credit Approval,R2_F3,a10,1
Australian Credit Approval,R2_F3,a13,0
Australian Credit Approval,R2_F3,a14,1
Australian Credit Approval,R2_F4,a1,0
Australian Credit Approval,R2_F4,a4,1
Australian Credit Approval,R2_F4,a5,1
Australian Credit Approval,R2_F4,a6,1
Australian Credit Approval,R2_F4,a8,1
Australian Credit Approval,R2_F4,a9,1
Australian Credit Approval,R2_F4,a11,0
Australian Credit Approval,R2_F4,a12,1
Australian Credit Approval,R2_F4,a2,1
Australian Credit Approval,R2_F4,a3,1
Australian Credit Approval,R2_F4,a7,1
Australian Credit Approval,R2_F4,a10,1
Australian Credit Approval,R2_F4,a13,0
Australian Credit Approval,R2_F4,a14,1
Australian Credit Approval,R2_F5,a1,0
Australian Credit Approval,R2_F5,a4,1
Australian Credit Approval,R2_F5,a5,1
Australian Credit Approval,R2_F5,a6,1
Australian Credit Approval,R2_F5,a8,1
Australian Credit Approval,R2_F5,a9,1
Australian Credit Approval,R2_F5,a11,0
Australian Credit Approval,R2_F5,a12,0
Australian Credit Approval,R2_F5,a2,1
Australian Credit Approval,R2_F5,a3,1
Australian Credit Approval,R2_F5,a7,1
Australian Credit Approval,R2_F5,a10,1
Australian Credit Approval,R2_F5,a13,1
Australian Credit Approval,R2_F5,a14,1
Australian Credit Approval,R3_F1,a1,0
Australian Credit Approval,R3_F1,a4,1
Australian Credit Approval,R3_F1,a5,1
Australian Credit Approval,R3_F1,a6,1
Australian Credit Approval,R3_F1,a8,1
Australian Credit Approval,R3_F1,a9,1
Australian Credit Approval,R3_F1,a11,0
Australian Credit Approval,R3_F1,a12,1
Australian Credit Approval,R3_F1,a2,1
Australian Credit Approval,R3_F1,a3,1
Australian Credit Approval,R3_F1,a7,1
Australian Credit Approval,R3_F1,a10,1
Australian Credit Approval,R3_F1,a13,0
Australian Credit Approval,R3_F1,a14,1
Australian Credit Approval,R3_F2,a1,0
Australian Credit Approval,R3_F2,a4,1
Australian Credit Approval,R3_F2,a5,1
Australian Credit Approval,R3_F2,a6,1
Australian Credit Approval,R3_F2,a8,1
Australian Credit Approval,R3_F2,a9,1
Australian Credit Approval,R3_F2,a11,0
Australian Credit Approval,R3_F2,a12,1
Australian Credit Approval,R3_F2,a2,1
Australian Credit Approval,R3_F2,a3,1
Australian Credit Approval,R3_F2,a7,1
Australian Credit Approval,R3_F2,a10,1
Australian Credit Approval,R3_F2,a13,0
Australian Credit Approval,R3_F2,a14,1
Australian Credit Approval,R3_F3,a1,0
Australian Credit Approval,R3_F3,a4,1
Australian Credit Approval,R3_F3,a5,1
Australian Credit Approval,R3_F3,a6,1
Australian Credit Approval,R3_F3,a8,1
Australian Credit Approval,R3_F3,a9,1
Australian Credit Approval,R3_F3,a11,0
Australian Credit Approval,R3_F3,a12,1
Australian Credit Approval,R3_F3,a2,1
Australian Credit Approval,R3_F3,a3,1
Australian Credit Approval,R3_F3,a7,1
Australian Credit Approval,R3_F3,a10,1
Australian Credit Approval,R3_F3,a13,0
Australian Credit Approval,R3_F3,a14,1
Australian Credit Approval,R3_F4,a1,0
Australian Credit Approval,R3_F4,a4,1
Australian Credit Approval,R3_F4,a5,1
Australian Credit Approval,R3_F4,a6,1
Australian Credit Approval,R3_F4,a8,1
Australian Credit Approval,R3_F4,a9,1
Australian Credit Approval,R3_F4,a11,0
Australian Credit Approval,R3_F4,a12,1
Australian Credit Approval,R3_F4,a2,1
Australian Credit Approval,R3_F4,a3,1
Australian Credit Approval,R3_F4,a7,1
Australian Credit Approval,R3_F4,a10,1
Australian Credit Approval,R3_F4,a13,0
Australian Credit Approval,R3_F4,a14,1
Australian Credit Approval,R3_F5,a1,0
Australian Credit Approval,R3_F5,a4,1
Australian Credit Approval,R3_F5,a5,1
Australian Credit Approval,R3_F5,a6,1
Australian Credit Approval,R3_F5,a8,1
Australian Credit Approval,R3_F5,a9,1
Australian Credit Approval,R3_F5,a11,0
Australian Credit Approval,R3_F5,a12,1
Australian Credit Approval,R3_F5,a2,1
Australian Credit Approval,R3_F5,a3,1
Australian Credit Approval,R3_F5,a7,1
Australian Credit Approval,R3_F5,a10,1
Australian Credit Approval,R3_F5,a13,0
Australian Credit Approval,R3_F5,a14,1
Australian Credit Approval,R4_F1,a1,0
Australian Credit Approval,R4_F1,a4,1
Australian Credit Approval,R4_F1,a5,1
Australian Credit Approval,R4_F1,a6,1
Australian Credit Approval,R4_F1,a8,1
Australian Credit Approval,R4_F1,a9,1
Australian Credit Approval,R4_F1,a11,1
Australian Credit Approval,R4_F1,a12,0
Australian Credit Approval,R4_F1,a2,1
Australian Credit Approval,R4_F1,a3,1
Australian Credit Approval,R4_F1,a7,1
Australian Credit Approval,R4_F1,a10,1
Australian Credit Approval,R4_F1,a13,0
Australian Credit Approval,R4_F1,a14,1
Australian Credit Approval,R4_F2,a1,0
Australian Credit Approval,R4_F2,a4,1
Australian Credit Approval,R4_F2,a5,1
Australian Credit Approval,R4_F2,a6,1
Australian Credit Approval,R4_F2,a8,1
Australian Credit Approval,R4_F2,a9,1
Australian Credit Approval,R4_F2,a11,0
Australian Credit Approval,R4_F2,a12,1
Australian Credit Approval,R4_F2,a2,1
Australian Credit Approval,R4_F2,a3,1
Australian Credit Approval,R4_F2,a7,1
Australian Credit Approval,R4_F2,a10,1
Australian Credit Approval,R4_F2,a13,0
Australian Credit Approval,R4_F2,a14,1
Australian Credit Approval,R4_F3,a1,0
Australian Credit Approval,R4_F3,a4,1
Australian Credit Approval,R4_F3,a5,1
Australian Credit Approval,R4_F3,a6,1
Australian Credit Approval,R4_F3,a8,1
Australian Credit Approval,R4_F3,a9,1
Australian Credit Approval,R4_F3,a11,0
Australian Credit Approval,R4_F3,a12,1
Australian Credit Approval,R4_F3,a2,1
