Top_Order,dataset,source_feature,Selection_Frequency,ROC_AUC_Drop_Mean,PR_AUC_Drop_Mean,MCC_Drop_Mean,Balanced_Accuracy_Drop_Mean,Brier_Increase_Mean,LogLoss_Increase_Mean,Permutation_Rank,Mean_Absolute_SHAP,SHAP_Share_Mean,SHAP_Rank
4,Australian Credit Approval,a3,1.0,0.005931780733758035,0.008492807306163084,0.008021432425966677,0.00412726083842984,0.004043882084869626,0.012314782410146835,4.0,0.5176020324230194,0.08836246460676193,5.0
5,Australian Credit Approval,a5,1.0,0.003200950146580581,0.007987852434732134,0.007691268763681773,0.005334232361527618,0.002352360317412123,0.007483655976929536,5.0,0.5618027222156524,0.09607856318354607,3.0
6,Australian Credit Approval,a4,1.0,0.0022442309705079906,0.0024661385378647225,0.01087908291955273,0.005386209545877326,0.002498539874616916,0.005917975428292285,6.0,0.28040038466453554,0.04786608412861824,8.0
7,Australian Credit Approval,a9,1.0,0.002116700287507342,-0.0018104654055254772,0.016848303747110053,0.008938716313236117,0.002168789055394523,0.003875770470507332,7.0,0.026415561847388743,0.004525689552538097,11.0
8,Australian Credit Approval,a7,1.0,0.0017213979400620403,0.003781994103125194,-0.0008340104306345833,0.0009998582799633465,0.0015243310761321855,0.006040280549109815,8.0,0.5180707597732543,0.08848008632659912,4.0
9,Australian Credit Approval,a12,0.88,0.00048505503100592046,0.0010497051604010724,-0.0009143555840692105,-0.00048782546917275127,0.0006411177917964698,0.0019033045112340058,9.0,0.0597512549161911,0.010215672198683023,10.0
10,Australian Credit Approval,a13,0.04,6.960950764006757e-05,4.037380155860859e-05,0.0006909815205135414,0.00036332767402376745,0.00012283117426881813,0.00038005558966449396,10.0,0.017193844318389894,0.003072967827320099,12.0
1,Taiwan Credit Card Default,pay_0,1.0,0.08053583722685057,0.19757410390687344,0.18383861855396536,0.08649523815717278,0.029473592514824936,0.06893109206851059,1.0,0.5119741106033325,0.25800183057785037,1.0
2,Taiwan Credit Card Default,limit_bal,1.0,0.015485345116129446,0.0127544721835761,0.00895989854578755,0.008665196774590102,0.0020769218709428463,0.007023598074798609,2.0,0.21979327976703644,0.1107541236281395,2.0
3,Taiwan Credit Card Default,bill_amt1,0.76,0.01338885122479512,0.013439041734421262,0.00393558114398839,0.006227542540860467,0.0020453741078048705,0.0071137079546695955,3.0,0.14880019605159758,0.0748695808649063,3.0
4,Taiwan Credit Card Default,pay_amt1,1.0,0.007178654279624964,0.006089886470292798,0.002839136879772681,0.00780081005516579,0.0011555531354255392,0.00377924014133143,4.0,0.10503126710653304,0.052898446023464205,5.0
5,Taiwan Credit Card Default,pay_amt3,1.0,0.0068283912851784855,0.0061802947744990285,0.0019156317696215736,0.006056188233324869,0.0009737210139015475,0.003233221636424285,5.0,0.0981913784146309,0.049481656849384305,7.0
6,Taiwan Credit Card Default,pay_amt4,1.0,0.006100797688346281,0.005540822050605898,0.0030002604278128496,0.00689369286762545,0.0009473497646434696,0.0030370179727894865,6.0,0.0844629806280136,0.042576373517513276,9.0
7,Taiwan Credit Card Default,pay_amt2,1.0,0.005605920040660128,0.004318326906847855,0.004104441030727085,0.007089378920231737,0.0009391867561550008,0.0029424283428837955,7.0,0.09896601855754852,0.0498975045979023,6.0
8,Taiwan Credit Card Default,pay_2,1.0,0.005491875151911161,0.011522807424684057,0.011585421040225252,0.009114368310727592,0.001897340556595624,0.0049281469403231635,8.0,0.10607070237398147,0.053460257202386854,4.0
9,Taiwan Credit Card Default,pay_3,1.0,0.004416495540732415,0.007983532793108213,0.007360215501492644,0.0055846665054563645,0.0013702586480937124,0.003546929770853639,9.0,0.09060713827610016,0.04564624041318893,8.0
10,Taiwan Credit Card Default,education,1.0,0.003448513263829908,0.004062891588005,0.0019080675113120327,0.0015500600348162736,0.0006298176217222015,0.002050401207711982,10.0,0.05536129146814346,0.02790195696055889,12.0
