dataset,run_id,repeat,fold,selector,retained_fraction,total_source_features,selected_source_features,selected_transformed_features,feature_reduction_pct,selector_runtime_seconds,xgb_runtime_seconds,accuracy,precision_adverse,recall_adverse,specificity,f1_adverse,balanced_accuracy,mcc,roc_auc,pr_auc,gmean,ks_statistic,tn,fp,fn,tp
Australian Credit Approval,R3_F1,3,1,GroupAware_Chi2,0.75,14,11,37,21.42857142857143,0.044415000011213124,0.28127480001421645,0.8115942028985508,0.8026315789473685,0.8472222222222222,0.7727272727272727,0.8243243243243243,0.8099747474747474,0.6225752987168809,0.9143518518518519,0.934252866616817,0.809117863584606,0.6994949494949495,51,15,11,61
Australian Credit Approval,R3_F2,3,2,GroupAware_Chi2,0.75,14,11,37,21.42857142857143,0.04450850002467632,0.2862662000115961,0.8768115942028986,0.9041095890410958,0.868421052631579,0.8870967741935484,0.8859060402684564,0.8777589134125636,0.7528860472241714,0.9168081494057725,0.913704725513597,0.8777092425349293,0.7584889643463497,55,7,10,66
Australian Credit Approval,R3_F3,3,3,GroupAware_Chi2,0.75,14,11,37,21.42857142857143,0.04400669998722151,0.2838712999946438,0.8478260869565217,0.8571428571428571,0.868421052631579,0.8225806451612904,0.8627450980392157,0.8455008488964346,0.6921041848489684,0.9410016977928692,0.9567910137246585,0.8451901263889274,0.7775891341256367,51,11,10,66
Australian Credit Approval,R3_F4,3,4,GroupAware_Chi2,0.75,14,11,37,21.42857142857143,0.045263700012583286,0.28775339998537675,0.9057971014492754,0.9066666666666666,0.918918918918919,0.890625,0.912751677852349,0.9047719594594594,0.8104856973673661,0.9343327702702703,0.9357990946574605,0.9046613521988005,0.809543918918919,57,7,6,68
Australian Credit Approval,R3_F5,3,5,GroupAware_Chi2,0.75,14,11,37,21.42857142857143,0.04452769999625161,0.2877256000065245,0.855072463768116,0.8823529411764706,0.8823529411764706,0.8113207547169812,0.8823529411764706,0.8468368479467259,0.6936736958934517,0.9223085460599334,0.911521061525927,0.8460917528034665,0.7480577136514983,43,10,10,75
Australian Credit Approval,R4_F1,4,1,GroupAware_Chi2,0.75,14,11,36,21.42857142857143,0.043647500046063215,0.2965119000291452,0.8478260869565217,0.8441558441558441,0.8783783783783784,0.8125,0.8609271523178808,0.8454391891891893,0.6937406901793864,0.9330658783783784,0.9432364545740992,0.844797272978809,0.7440878378378378,52,12,9,65
Australian Credit Approval,R4_F2,4,2,GroupAware_Chi2,0.75,14,11,37,21.42857142857143,0.04600400000344962,0.29111200000625104,0.8188405797101449,0.8428571428571429,0.8082191780821918,0.8307692307692308,0.8251748251748252,0.8194942044257113,0.6379808049517419,0.916754478398314,0.9345259148711199,0.8194166369242709,0.6935721812434141,54,11,14,59
Australian Credit Approval,R4_F3,4,3,GroupAware_Chi2,0.75,14,11,37,21.42857142857143,0.04385069996351376,0.2869768000091426,0.8623188405797102,0.8714285714285714,0.8591549295774648,0.8656716417910447,0.8652482269503546,0.8624132856842548,0.7245981236332452,0.9209585873449654,0.8969670805702847,0.8624071303277782,0.7397519445028379,58,9,10,61
Australian Credit Approval,R4_F4,4,4,GroupAware_Chi2,0.75,14,11,37,21.42857142857143,0.043970200000330806,0.2904971000389196,0.8405797101449275,0.9047619047619048,0.8444444444444444,0.8333333333333334,0.8735632183908046,0.8388888888888889,0.661443382776228,0.9148148148148147,0.9510771158752658,0.8388704928078611,0.7236111111111111,40,8,14,76
Australian Credit Approval,R4_F5,4,5,GroupAware_Chi2,0.75,14,11,37,21.42857142857143,0.05001269996864721,0.3096408999990672,0.9202898550724637,0.9102564102564102,0.9466666666666667,0.8888888888888888,0.9281045751633987,0.9177777777777778,0.8395630392448782,0.9377777777777778,0.9251308342477232,0.9173229973577908,0.8463492063492064,56,7,4,71
