dataset,run_id,repeat,fold,selector,retained_fraction,total_source_features,selected_source_features,selected_transformed_features,feature_reduction_pct,selector_runtime_seconds,xgb_runtime_seconds,accuracy,precision_adverse,recall_adverse,specificity,f1_adverse,balanced_accuracy,mcc,roc_auc,pr_auc,gmean,ks_statistic,tn,fp,fn,tp,baseline_roc_auc,baseline_pr_auc,baseline_recall_adverse,baseline_precision_adverse,baseline_f1_adverse,baseline_balanced_accuracy,baseline_mcc,baseline_gmean,baseline_ks_statistic,delta_roc_auc,delta_pr_auc,delta_recall_adverse,delta_precision_adverse,delta_f1_adverse,delta_balanced_accuracy,delta_mcc,delta_gmean,delta_ks_statistic
Australian Credit Approval,R3_F5,3,5,GroupAware_Chi2,0.75,14,11,37,21.42857142857143,0.04452769999625161,0.2877256000065245,0.855072463768116,0.8823529411764706,0.8823529411764706,0.8113207547169812,0.8823529411764706,0.8468368479467259,0.6936736958934517,0.9223085460599334,0.911521061525927,0.8460917528034665,0.7480577136514983,43,10,10,75,0.925860155382908,0.9278972082706792,0.9058823529411764,0.9166666666666666,0.9112426035502958,0.8869034406215317,0.7711581666508851,0.8867003517950548,0.7784683684794673,-0.0035516093229746026,-0.016376146744752185,-0.0235294117647058,-0.03431372549019607,-0.028889662373825287,-0.040066592674805834,-0.07748447075743337,-0.04060859899158831,-0.030410654827969008
Australian Credit Approval,R4_F1,4,1,GroupAware_Chi2,0.75,14,11,36,21.42857142857143,0.043647500046063215,0.2965119000291452,0.8478260869565217,0.8441558441558441,0.8783783783783784,0.8125,0.8609271523178808,0.8454391891891893,0.6937406901793864,0.9330658783783784,0.9432364545740992,0.844797272978809,0.7440878378378378,52,12,9,65,0.9275760135135136,0.9310625099846452,0.8783783783783784,0.8666666666666667,0.87248322147651,0.8610641891891893,0.7229684624403735,0.8608900956316996,0.7356418918918919,0.005489864864864802,0.012173944589453978,0.0,-0.022510822510822592,-0.011556069158629279,-0.015625,-0.02922777226098705,-0.01609282265289058,0.008445945945945943
Australian Credit Approval,R4_F2,4,2,GroupAware_Chi2,0.75,14,11,37,21.42857142857143,0.04600400000344962,0.29111200000625104,0.8188405797101449,0.8428571428571429,0.8082191780821918,0.8307692307692308,0.8251748251748252,0.8194942044257113,0.6379808049517419,0.916754478398314,0.9345259148711199,0.8194166369242709,0.6935721812434141,54,11,14,59,0.9209694415173868,0.9316777725536864,0.8082191780821918,0.8428571428571429,0.8251748251748252,0.8194942044257113,0.6379808049517419,0.8194166369242709,0.6870389884088515,-0.004214963119072768,0.0028481423174334664,0.0,0.0,0.0,0.0,0.0,0.0,0.006533192834562662
Australian Credit Approval,R4_F3,4,3,GroupAware_Chi2,0.75,14,11,37,21.42857142857143,0.04385069996351376,0.2869768000091426,0.8623188405797102,0.8714285714285714,0.8591549295774648,0.8656716417910447,0.8652482269503546,0.8624132856842548,0.7245981236332452,0.9209585873449654,0.8969670805702847,0.8624071303277782,0.7397519445028379,58,9,10,61,0.9373554761404248,0.9140967947129034,0.8732394366197183,0.8985507246376812,0.8857142857142857,0.88438091233971,0.7684388154951274,0.8843107291159588,0.8391843598906874,-0.01639688879545942,-0.017129714142618657,-0.014084507042253502,-0.02712215320910971,-0.02046605876393104,-0.021967626655455152,-0.04384069186188222,-0.0219035987881806,-0.09943241538784953
Australian Credit Approval,R4_F4,4,4,GroupAware_Chi2,0.75,14,11,37,21.42857142857143,0.043970200000330806,0.2904971000389196,0.8405797101449275,0.9047619047619048,0.8444444444444444,0.8333333333333334,0.8735632183908046,0.8388888888888889,0.661443382776228,0.9148148148148147,0.9510771158752658,0.8388704928078611,0.7236111111111111,40,8,14,76,0.929398148148148,0.9537115532534974,0.9,0.9418604651162792,0.9204545454545454,0.8979166666666667,0.7821915167482881,0.8979142498033985,0.8055555555555555,-0.014583333333333282,-0.0026344373782316577,-0.05555555555555558,-0.03709856035437442,-0.04689132706374077,-0.05902777777777779,-0.12074813397206008,-0.05904375699553743,-0.08194444444444438
Australian Credit Approval,R4_F5,4,5,GroupAware_Chi2,0.75,14,11,37,21.42857142857143,0.05001269996864721,0.3096408999990672,0.9202898550724637,0.9102564102564102,0.9466666666666667,0.8888888888888888,0.9281045751633987,0.9177777777777778,0.8395630392448782,0.9377777777777778,0.9251308342477232,0.9173229973577908,0.8463492063492064,56,7,4,71,0.9396825396825398,0.9321453060556004,0.96,0.9230769230769232,0.9411764705882352,0.9323809523809524,0.8689094676683313,0.931971796017148,0.8647619047619047,-0.0019047619047619646,-0.007014471807877176,-0.013333333333333308,-0.012820512820512997,-0.013071895424836444,-0.014603174603174618,-0.02934642842345314,-0.014648798659357198,-0.018412698412698325
Australian Credit Approval,R5_F1,5,1,GroupAware_Chi2,0.75,14,11,37,21.42857142857143,0.04770880000432953,0.3002932999515906,0.8478260869565217,0.8552631578947368,0.8666666666666667,0.8253968253968254,0.8609271523178808,0.846031746031746,0.6930175061314634,0.9358730158730159,0.9523909271792562,0.845780063222062,0.7473015873015874,52,11,10,65,0.9373544973544972,0.9545037603642232,0.8533333333333334,0.8311688311688312,0.8421052631578947,0.8234920634920635,0.6489096792387729,0.8229511997978235,0.7549206349206349,-0.001481481481481306,-0.0021128331849670223,0.013333333333333308,0.024094326725905613,0.01882188915998606,0.022539682539682526,0.04410782689269055,0.02282886342423851,-0.007619047619047525
Australian Credit Approval,R5_F2,5,2,GroupAware_Chi2,0.75,14,11,37,21.42857142857143,0.0444924000184983,0.28953179996460676,0.8478260869565217,0.8625,0.8734177215189873,0.8135593220338984,0.8679245283018868,0.8434885217764428,0.6885298702383348,0.920188800686548,0.9362548292274124,0.8429573710285589,0.7337481227204463,48,11,10,69,0.9341343059429308,0.9431835506223878,0.8860759493670886,0.8860759493670886,0.8860759493670886,0.8667667882428662,0.7335335764857327,0.8665516842621291,0.7461918043338339,-0.013945505256382829,-0.006928721394975357,-0.012658227848101222,-0.02357594936708851,-0.018151421065201734,-0.023278266466423392,-0.04500370624739791,-0.023594313233570197,-0.012443681613387603
Australian Credit Approval,R5_F3,5,3,GroupAware_Chi2,0.75,14,11,37,21.42857142857143,0.04490749997785315,0.30030949995853007,0.8768115942028986,0.8783783783783784,0.8904109589041096,0.8615384615384616,0.8843537414965986,0.8759747102212856,0.7526635602947612,0.9264488935721812,0.9128673031724052,0.8758557459257963,0.7740779768177029,56,9,8,65,0.9382507903055848,0.927839598869692,0.863013698630137,0.8873239436619719,0.875,0.8699683877766069,0.7390029046187614,0.8699405887929961,0.7673340358271865,-0.011801896733403594,-0.014972295697286864,0.0273972602739726,-0.00894556528359347,0.009353741496598622,0.006006322444678691,0.013660655675999833,0.0059151571328002195,0.0067439409905163394
Australian Credit Approval,R5_F4,5,4,GroupAware_Chi2,0.75,14,11,37,21.42857142857143,0.044238500006031245,0.29921520000789315,0.8840579710144928,0.9,0.9,0.8620689655172413,0.9,0.8810344827586207,0.7620689655172413,0.9247844827586207,0.9429989917486925,0.8808303292720552,0.7870689655172414,50,8,8,72,0.923060344827586,0.9385635397495186,0.9,0.9113924050632912,0.9056603773584906,0.8896551724137931,0.7775527828800183,0.8895950260342217,0.7965517241379311,0.0017241379310346527,0.004435451999173945,0.0,-0.0113924050632912,-0.005660377358490565,-0.008620689655172376,-0.01548381736277693,-0.008764696762166513,-0.009482758620689702
Australian Credit Approval,R5_F5,5,5,GroupAware_Chi2,0.75,14,11,37,21.42857142857143,0.05076689994893968,0.34577919996809214,0.8478260869565217,0.8985507246376812,0.8157894736842105,0.8870967741935484,0.8551724137931035,0.8514431239388794,0.699259856097678,0.9223259762308997,0.911465761401939,0.8506963092234007,0.7920203735144312,55,7,14,62,0.9265704584040748,0.9051533102051724,0.881578947368421,0.9178082191780822,0.8993288590604027,0.8924023769100169,0.7820709557963443,0.8923367389543064,0.8374363327674024,-0.004244482173175079,0.0063124511967666,-0.06578947368421051,-0.019257494540401043,-0.04415644526729923,-0.04095925297113745,-0.08281109969866629,-0.04164042973090576,-0.04541595925297115
Taiwan Credit Card Default,R1_F1,1,1,GroupAware_Chi2,0.75,23,18,24,21.739130434782606,0.13463210000190884,0.8600386999896728,0.8244707451241874,0.6771428571428572,0.36433512682551883,0.951894423158791,0.4737631184407796,0.658114774992155,0.40593044490911195,0.7897674415560745,0.5580176741346131,0.5889045554128973,0.43288294788467074,4472,226,827,474,0.7918201736948589,0.5631620173631597,0.372021521906226,0.6865248226950355,0.4825523429710867,0.6624901138692475,0.4158776356073156,0.5954167851660787,0.4403096939872364,-0.00205273213878443,-0.005144343228546622,-0.007686395080707176,-0.009381965552178295,-0.00878922453030706,-0.004375338877092516,-0.009947190698203656,-0.006512229753181331,-0.007426746102565662
