dataset,run_id,repeat,fold,feature_regime,training_regime,selected_outer_source_features,selected_outer_features,base_model_runtime_seconds,meta_runtime_seconds,ensemble_type,accuracy,precision_adverse,recall_adverse,specificity,f1_adverse,balanced_accuracy,mcc,roc_auc,pr_auc,gmean,ks_statistic,tn,fp,fn,tp,cost_FN1_FP1_per100,cost_FN2_FP1_per100,cost_FN5_FP1_per100,cost_FN10_FP1_per100
German Credit,R1_F3,1,3,FrozenChi2Top75,Unweighted,15,status;duration;credit_history;savings;housing;other_installment_plans;amount;property;purpose;employment_duration;age;personal_status_sex;foreign_worker;installment_rate;telephone,0.9258742000092752,0.01094760000705719,SoftVote,0.75,0.6756756756756757,0.3968253968253968,0.9124087591240876,0.5,0.6546170779747422,0.36993323579215404,0.7877418607345615,0.6657110546891136,0.6017200078993418,0.46958637469586373,125,12,38,25,25.0,44.0,101.0,196.0
German Credit,R1_F3,1,3,FrozenChi2Top75,Unweighted,15,status;duration;credit_history;savings;housing;other_installment_plans;amount;property;purpose;employment_duration;age;personal_status_sex;foreign_worker;installment_rate;telephone,0.9258742000092752,0.01094760000705719,Stack,0.75,0.6756756756756757,0.3968253968253968,0.9124087591240876,0.5,0.6546170779747422,0.36993323579215404,0.7936507936507936,0.6748816085421498,0.6017200078993418,0.4673850075309929,125,12,38,25,25.0,44.0,101.0,196.0
German Credit,R1_F3,1,3,FrozenChi2Top75,Balanced,15,status;duration;credit_history;savings;housing;other_installment_plans;amount;property;purpose;employment_duration;age;personal_status_sex;foreign_worker;installment_rate;telephone,0.9651248000445776,0.009811400028411299,SoftVote,0.76,0.631578947368421,0.5714285714285714,0.8467153284671532,0.6,0.7090719499478624,0.43027971984653157,0.7880894450237516,0.662621900775157,0.6955841649668708,0.4708608504228943,116,21,27,36,24.0,37.5,78.0,145.5
German Credit,R1_F3,1,3,FrozenChi2Top75,Balanced,15,status;duration;credit_history;savings;housing;other_installment_plans;amount;property;purpose;employment_duration;age;personal_status_sex;foreign_worker;installment_rate;telephone,0.9651248000445776,0.009811400028411299,Stack,0.73,0.5542168674698795,0.7301587301587301,0.7299270072992701,0.6301369863013698,0.7300428687290001,0.43374786658215153,0.7909859807670028,0.6592617956080518,0.7300428595351078,0.4686594832580234,100,37,17,46,27.0,35.5,61.0,103.5
German Credit,R1_F4,1,4,AllFeatures,Unweighted,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable,1.0077239000238478,0.011734800005797297,SoftVote,0.74,0.7105263157894737,0.39705882352941174,0.9166666666666666,0.5094339622641509,0.6568627450980392,0.3788278707002149,0.7722816399286987,0.67912505914382,0.6032997499048828,0.42201426024955435,121,11,41,27,26.0,46.5,108.0,210.5
German Credit,R1_F4,1,4,AllFeatures,Unweighted,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable,1.0077239000238478,0.011734800005797297,Stack,0.74,0.7,0.4117647058823529,0.9090909090909091,0.5185185185185185,0.660427807486631,0.37998029782867415,0.7632575757575758,0.6602085571452201,0.6118264057738428,0.3992869875222816,120,12,40,28,26.0,46.0,106.0,206.0
German Credit,R1_F4,1,4,AllFeatures,Balanced,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable,0.9922729999525473,0.0114853999693878,SoftVote,0.75,0.65,0.5735294117647058,0.8409090909090909,0.609375,0.7072192513368984,0.42841224443765613,0.7706105169340464,0.6742276070466572,0.6944682111203395,0.42245989304812837,111,21,29,39,25.0,39.5,83.0,155.5
German Credit,R1_F4,1,4,AllFeatures,Balanced,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable,0.9922729999525473,0.0114853999693878,Stack,0.705,0.5616438356164384,0.6029411764705882,0.7575757575757576,0.5815602836879432,0.6802584670231728,0.3547348040542657,0.7633689839572193,0.6582326678000779,0.6758502929927044,0.4006238859180036,100,32,27,41,29.5,43.0,83.5,151.0
German Credit,R1_F4,1,4,FrozenChi2Top75,Unweighted,15,status;housing;savings;credit_history;duration;amount;employment_duration;property;personal_status_sex;age;other_installment_plans;purpose;other_debtors;foreign_worker;telephone,0.9639742000144906,0.011430999962612987,SoftVote,0.75,0.7368421052631579,0.4117647058823529,0.9242424242424242,0.5283018867924528,0.6680035650623886,0.40573325924426423,0.7618092691622104,0.6409782590307056,0.6169038903931265,0.4157754010695187,122,10,40,28,25.0,45.0,105.0,205.0
German Credit,R1_F4,1,4,FrozenChi2Top75,Unweighted,15,status;housing;savings;credit_history;duration;amount;employment_duration;property;personal_status_sex;age;other_installment_plans;purpose;other_debtors;foreign_worker;telephone,0.9639742000144906,0.011430999962612987,Stack,0.74,0.7105263157894737,0.39705882352941174,0.9166666666666666,0.5094339622641509,0.6568627450980392,0.3788278707002149,0.7556818181818182,0.6274484040717948,0.6032997499048828,0.40819964349376114,121,11,41,27,26.0,46.5,108.0,210.5
German Credit,R1_F4,1,4,FrozenChi2Top75,Balanced,15,status;housing;savings;credit_history;duration;amount;employment_duration;property;personal_status_sex;age;other_installment_plans;purpose;other_debtors;foreign_worker;telephone,0.9684563000337221,0.012137600046116859,SoftVote,0.75,0.6607142857142857,0.5441176470588235,0.8560606060606061,0.5967741935483871,0.7000891265597148,0.42220137804328717,0.7571301247771836,0.6442694729163634,0.682493723567805,0.42290552584670227,113,19,31,37,25.0,40.5,87.0,164.5
German Credit,R1_F4,1,4,FrozenChi2Top75,Balanced,15,status;housing;savings;credit_history;duration;amount;employment_duration;property;personal_status_sex;age;other_installment_plans;purpose;other_debtors;foreign_worker;telephone,0.9684563000337221,0.012137600046116859,Stack,0.69,0.5394736842105263,0.6029411764705882,0.7348484848484849,0.5694444444444444,0.6688948306595366,0.3296629467167489,0.7496657754010695,0.6290429327678642,0.6656353430987381,0.4211229946524064,97,35,27,41,31.0,44.5,85.0,152.5
German Credit,R1_F5,1,5,AllFeatures,Unweighted,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable,1.0133590000332333,0.010776000039186329,SoftVote,0.76,0.56,0.5185185185185185,0.8493150684931506,0.5384615384615384,0.6839167935058346,0.37713258540975403,0.8001014713343481,0.6050861974233941,0.6636155446269493,0.5106544901065448,124,22,26,28,24.0,37.0,76.0,141.0
German Credit,R1_F5,1,5,AllFeatures,Unweighted,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable,1.0133590000332333,0.010776000039186329,Stack,0.755,0.5510204081632653,0.5,0.8493150684931506,0.5242718446601942,0.6746575342465753,0.36058205911873953,0.8012430238457635,0.603770078188211,0.6516575283433587,0.5030441400304414,124,22,27,27,24.5,38.0,78.5,146.0
German Credit,R1_F5,1,5,AllFeatures,Balanced,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable,1.006329099938739,0.011478699976578355,SoftVote,0.74,0.5142857142857142,0.6666666666666666,0.7671232876712328,0.5806451612903226,0.7168949771689497,0.4037681910079693,0.7938863521055302,0.5893736289996994,0.7151332219343157,0.5058346017250127,112,34,18,36,26.0,35.0,62.0,107.0
German Credit,R1_F5,1,5,AllFeatures,Balanced,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable,1.006329099938739,0.011478699976578355,Stack,0.715,0.4823529411764706,0.7592592592592593,0.6986301369863014,0.5899280575539568,0.7289446981227803,0.4112212141927953,0.7942668696093353,0.6069427436229268,0.7283140808088321,0.482496194824962,102,44,13,41,28.5,35.0,54.5,87.0
German Credit,R1_F5,1,5,FrozenChi2Top75,Unweighted,15,status;duration;housing;credit_history;other_installment_plans;savings;amount;property;installment_rate;foreign_worker;purpose;employment_duration;other_debtors;personal_status_sex;age,0.9783823000034317,0.008533099957276136,SoftVote,0.775,0.5849056603773585,0.5740740740740741,0.8493150684931506,0.5794392523364486,0.7116945712836124,0.42590861262538904,0.791349568746829,0.579520328068384,0.6982619576794687,0.471588026382547,124,22,23,31,22.5,34.0,68.5,126.0
German Credit,R1_F5,1,5,FrozenChi2Top75,Unweighted,15,status;duration;housing;credit_history;other_installment_plans;savings;amount;property;installment_rate;foreign_worker;purpose;employment_duration;other_debtors;personal_status_sex;age,0.9783823000034317,0.008533099957276136,Stack,0.77,0.5740740740740741,0.5740740740740741,0.8424657534246576,0.5740740740740741,0.7082699137493658,0.4165398274987316,0.7914764079147641,0.5821795102151611,0.6954406857068239,0.46752917300862507,123,23,23,31,23.0,34.5,69.0,126.5
German Credit,R1_F5,1,5,FrozenChi2Top75,Balanced,15,status;duration;housing;credit_history;other_installment_plans;savings;amount;property;installment_rate;foreign_worker;purpose;employment_duration;other_debtors;personal_status_sex;age,0.9776725999545306,0.00933119998080656,SoftVote,0.75,0.5285714285714286,0.6851851851851852,0.773972602739726,0.5967741935483871,0.7295788939624557,0.42738036592071604,0.7957889396245561,0.5885740627605509,0.7282269983572972,0.4708269913749366,113,33,17,37,25.0,33.5,59.0,101.5
German Credit,R1_F5,1,5,FrozenChi2Top75,Balanced,15,status;duration;housing;credit_history;other_installment_plans;savings;amount;property;installment_rate;foreign_worker;purpose;employment_duration;other_debtors;personal_status_sex;age,0.9776725999545306,0.00933119998080656,Stack,0.705,0.47126436781609193,0.7592592592592593,0.684931506849315,0.5815602836879432,0.7220953830542871,0.39778095482154424,0.7960426179604261,0.5890749193463416,0.7211383976281801,0.4736174530695078,100,46,13,41,29.5,36.0,55.5,88.0
German Credit,R2_F1,2,1,AllFeatures,Unweighted,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable,1.0133860999485478,0.00925999996252358,SoftVote,0.79,0.7692307692307693,0.47619047619047616,0.9343065693430657,0.5882352941176471,0.7052485227667709,0.48127727156370037,0.8158961881589619,0.7297572252013856,0.66701416039194,0.5296025952960259,128,9,33,30,21.0,37.5,87.0,169.5
German Credit,R2_F1,2,1,AllFeatures,Unweighted,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable,1.0133860999485478,0.00925999996252358,Stack,0.785,0.7631578947368421,0.4603174603174603,0.9343065693430657,0.5742574257425742,0.697312014830263,0.46726664387220407,0.8150851581508516,0.729224830666074,0.6558030399120753,0.5296025952960259,128,9,34,29,21.5,38.5,89.5,174.5
German Credit,R2_F1,2,1,AllFeatures,Balanced,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable,1.0083078000461683,0.009192500030621886,SoftVote,0.76,0.6153846153846154,0.6349206349206349,0.8175182481751825,0.625,0.7262194415479086,0.44871120776728257,0.8142741281427411,0.7276294974470146,0.7204576359443989,0.5159309465878809,112,25,23,40,24.0,35.5,70.0,127.5
