run_id,feature_regime,training_regime,meta_intercept,coef_LR,coef_RF,coef_XGB
R2_F1,AllFeatures,Balanced,-1.8990131989597663,1.4610114166645136,2.0464622941433297,1.3003575963027287
R2_F1,FrozenChi2Top75,Unweighted,-2.406970406440601,1.486093604070058,1.8712595090726114,1.3601170363840547
R2_F1,FrozenChi2Top75,Balanced,-1.823564990902,1.704661266988496,1.3346401311236211,1.4125018735643113
R2_F2,AllFeatures,Unweighted,-2.5586552152194004,1.5243455339825243,2.5573007761621507,1.0688249566187817
R2_F2,AllFeatures,Balanced,-1.9141437575474642,1.816366555331513,1.6149827839418889,1.178007129334575
R2_F2,FrozenChi2Top75,Unweighted,-2.34171648565185,1.6975442360522293,1.4310928755032173,1.3860921435504585
R2_F2,FrozenChi2Top75,Balanced,-1.8357883926836753,1.611455049976764,1.4224514305554838,1.3231515721474814
R2_F3,AllFeatures,Unweighted,-2.5143699622629017,1.3166282440943196,1.8715660288793516,1.813923043569164
R2_F3,AllFeatures,Balanced,-1.8701244797756358,1.5111374634434072,1.347670381975438,1.7659992337228696
R2_F3,FrozenChi2Top75,Unweighted,-2.473646439744927,1.264356891075116,2.0224147265594365,1.596093211368621
R2_F3,FrozenChi2Top75,Balanced,-1.82373914884389,1.4188503878348921,1.8596582026302282,1.3410812718051142
R2_F4,AllFeatures,Unweighted,-2.477895823337084,1.7351807976819509,2.3181840103159455,0.7721924130612756
R2_F4,AllFeatures,Balanced,-1.906488771825607,1.7259163587266768,2.324485422046622,0.7219349043512922
R2_F4,FrozenChi2Top75,Unweighted,-2.4199824403940595,1.633717689033462,2.2170434272559194,0.8055914498720106
R2_F4,FrozenChi2Top75,Balanced,-1.8656446936857005,1.6076123905620974,2.2972050075926638,0.7487136537310979
R2_F5,AllFeatures,Unweighted,-2.6036427462492857,1.593841070423525,2.134267997398212,1.5805606641142622
R2_F5,AllFeatures,Balanced,-2.03349558554516,1.4694157006989084,2.2579870878832105,1.5024072186412327
R2_F5,FrozenChi2Top75,Unweighted,-2.4784447485522145,1.6084192220644287,1.5042185514064494,1.8192203486594967
R2_F5,FrozenChi2Top75,Balanced,-1.9165877200088661,1.889716468490498,1.0256663643180348,1.6761177643181535
R3_F1,AllFeatures,Unweighted,-2.563657273887781,1.1852819217905983,2.0988952531967455,1.9144097427720792
R3_F1,AllFeatures,Balanced,-1.993154342900825,1.1282198541550466,1.9036237672969685,1.9524354935995085
R3_F1,FrozenChi2Top75,Unweighted,-2.4407457995302377,1.4398021785381847,1.5742579001227472,1.7977882204552027
R3_F1,FrozenChi2Top75,Balanced,-1.9005498695307368,1.5526844333575607,1.0744219099797079,1.8484012501856797
R3_F2,AllFeatures,Unweighted,-2.4728927709501023,1.4777434993422252,1.969886064216959,1.407516125026159
R3_F2,AllFeatures,Balanced,-1.8638258604177285,1.177589935214283,2.1698510695904276,1.4935352037507386
R3_F2,FrozenChi2Top75,Unweighted,-2.333229831966466,1.4555485316711436,1.2972487212697237,1.6787821733797674
R3_F2,FrozenChi2Top75,Balanced,-1.717621649001858,1.305523661565107,1.0041145233637943,1.8586224661799609
R3_F3,AllFeatures,Unweighted,-2.4701931139195072,1.1337737561342365,2.2084262111490127,1.5501634797331607
R3_F3,AllFeatures,Balanced,-1.9124805077330385,1.2146118727817443,2.23352609192766,1.3711101848077307
R3_F3,FrozenChi2Top75,Unweighted,-2.411780600321305,1.2089906053159132,2.096446544275587,1.4109125813194883
R3_F3,FrozenChi2Top75,Balanced,-1.8246498180115978,1.3605844391860678,1.676539981451037,1.4096513547800285
R3_F4,AllFeatures,Unweighted,-2.5544395845311128,1.5706703040326115,2.2196222115203725,1.3793202066055323
R3_F4,AllFeatures,Balanced,-2.0290204623954224,2.019837003922967,2.266101105395452,0.8582426450894853
R3_F4,FrozenChi2Top75,Unweighted,-2.4526428603251045,1.6188044152887502,1.8951497304623355,1.2933269576103805
R3_F4,FrozenChi2Top75,Balanced,-1.9465095960387966,2.0866470552439016,1.8370262502687726,0.8695407568125012
R3_F5,AllFeatures,Unweighted,-2.494757916746203,1.1467378250652316,2.2465698513125063,1.6003650200418282
R3_F5,AllFeatures,Balanced,-1.8791170738362553,1.3657597118226175,1.989421179764691,1.4419753874971382
R3_F5,FrozenChi2Top75,Unweighted,-2.4156811012909447,1.8027845793271182,1.6668617571073299,1.249678317412058
R3_F5,FrozenChi2Top75,Balanced,-1.8784696483761993,2.154104315071167,1.3783970907946566,0.9496670092598012
R4_F1,AllFeatures,Unweighted,-2.486404619250146,1.1798237695727267,2.184388497742875,1.5752731199953505
R4_F1,AllFeatures,Balanced,-1.8772608635910322,1.0539161896056413,2.122740678329431,1.6312548129462192
R4_F1,FrozenChi2Top75,Unweighted,-2.392003384672923,1.614012624685878,1.4203038429186685,1.5974828060598967
R4_F1,FrozenChi2Top75,Balanced,-1.8646919723123598,1.6053361014871421,1.1100873381214689,1.720688679589737
R4_F2,AllFeatures,Unweighted,-2.413798953659246,1.0033794069362811,2.1430212051151627,1.6129584422694312
R4_F2,AllFeatures,Balanced,-1.8911060528595025,1.1676156966688682,2.325249160228056,1.362333103696119
R4_F2,FrozenChi2Top75,Unweighted,-2.3840477143260013,1.2930168558948796,1.961481843972361,1.360338067541596
R4_F2,FrozenChi2Top75,Balanced,-1.8105257806907695,1.642519500197835,1.4979237118429733,1.2124255130362287
R4_F3,AllFeatures,Unweighted,-2.5449453964951285,1.5858700774013867,2.7271365004837906,0.7303747247307111
R4_F3,AllFeatures,Balanced,-1.9590725146017678,1.6059248573940763,3.1150611649339255,0.40464487910706476
R4_F3,FrozenChi2Top75,Unweighted,-2.4349166052009927,1.8777310295968739,2.041983516073554,0.7941799136566371
R4_F3,FrozenChi2Top75,Balanced,-1.8440586253871192,1.926998792343438,2.2794780117386364,0.3931210303667413
R4_F4,AllFeatures,Unweighted,-2.4311618085952538,1.1948727579480398,2.016797431248229,1.5853668504293066
R4_F4,AllFeatures,Balanced,-1.760667001908787,1.5272391270036942,1.4911195143115783,1.4142642281895001
R4_F4,FrozenChi2Top75,Unweighted,-2.331541140406844,1.276446060704629,1.4230946383687686,1.8284956799807888
