run_id,inner_fold,feature_regime,training_regime,selected_source_features,selected_features
R1_F2,2,FrozenChi2Top75,Balanced,15,status;duration;housing;credit_history;savings;amount;other_installment_plans;purpose;employment_duration;telephone;property;other_debtors;personal_status_sex;foreign_worker;number_credits
R1_F2,3,FrozenChi2Top75,Balanced,15,status;duration;credit_history;other_installment_plans;amount;savings;housing;property;employment_duration;personal_status_sex;number_credits;purpose;age;foreign_worker;telephone
R1_F2,4,FrozenChi2Top75,Balanced,15,status;duration;amount;credit_history;housing;installment_rate;other_installment_plans;savings;telephone;property;foreign_worker;employment_duration;purpose;number_credits;age
R1_F2,5,FrozenChi2Top75,Balanced,15,duration;status;savings;housing;property;credit_history;employment_duration;amount;other_debtors;purpose;number_credits;installment_rate;personal_status_sex;other_installment_plans;foreign_worker
R1_F3,1,AllFeatures,Unweighted,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable
R1_F3,2,AllFeatures,Unweighted,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable
R1_F3,3,AllFeatures,Unweighted,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable
R1_F3,4,AllFeatures,Unweighted,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable
R1_F3,5,AllFeatures,Unweighted,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable
R1_F3,1,AllFeatures,Balanced,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable
R1_F3,2,AllFeatures,Balanced,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable
R1_F3,3,AllFeatures,Balanced,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable
R1_F3,4,AllFeatures,Balanced,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable
R1_F3,5,AllFeatures,Balanced,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable
R1_F3,1,FrozenChi2Top75,Unweighted,15,status;housing;credit_history;other_installment_plans;duration;savings;amount;purpose;property;foreign_worker;personal_status_sex;employment_duration;age;telephone;installment_rate
R1_F3,2,FrozenChi2Top75,Unweighted,15,status;duration;savings;housing;other_installment_plans;credit_history;property;amount;foreign_worker;age;purpose;personal_status_sex;installment_rate;employment_duration;people_liable
R1_F3,3,FrozenChi2Top75,Unweighted,15,status;other_installment_plans;duration;credit_history;savings;housing;amount;property;personal_status_sex;employment_duration;age;purpose;foreign_worker;installment_rate;telephone
R1_F3,4,FrozenChi2Top75,Unweighted,15,status;credit_history;savings;duration;housing;employment_duration;other_installment_plans;age;amount;purpose;property;foreign_worker;number_credits;personal_status_sex;job
R1_F3,5,FrozenChi2Top75,Unweighted,15,status;duration;credit_history;savings;property;installment_rate;housing;personal_status_sex;employment_duration;purpose;other_installment_plans;amount;age;foreign_worker;telephone
R1_F3,1,FrozenChi2Top75,Balanced,15,status;housing;credit_history;other_installment_plans;duration;savings;amount;purpose;property;foreign_worker;personal_status_sex;employment_duration;age;telephone;installment_rate
R1_F3,2,FrozenChi2Top75,Balanced,15,status;duration;savings;housing;other_installment_plans;credit_history;property;amount;foreign_worker;age;purpose;personal_status_sex;installment_rate;employment_duration;people_liable
R1_F3,3,FrozenChi2Top75,Balanced,15,status;other_installment_plans;duration;credit_history;savings;housing;amount;property;personal_status_sex;employment_duration;age;purpose;foreign_worker;installment_rate;telephone
R1_F3,4,FrozenChi2Top75,Balanced,15,status;credit_history;savings;duration;housing;employment_duration;other_installment_plans;age;amount;purpose;property;foreign_worker;number_credits;personal_status_sex;job
