dataset,run_id,repeat,fold,threshold_strategy,selected_threshold,threshold,accuracy,precision_adverse,recall_adverse,specificity,f1_adverse,balanced_accuracy,mcc,gmean,tn,fp,fn,tp,cost_FN1_FP1,cost_FN2_FP1,cost_FN5_FP1,cost_FN10_FP1,cost_FN1_FP1_per100,cost_FN2_FP1_per100,cost_FN5_FP1_per100,cost_FN10_FP1_per100,reference_recall_adverse,reference_precision_adverse,reference_f1_adverse,reference_balanced_accuracy,reference_mcc,reference_gmean,reference_cost_FN1_FP1_per100,reference_cost_FN2_FP1_per100,reference_cost_FN5_FP1_per100,reference_cost_FN10_FP1_per100,delta_recall_adverse,delta_precision_adverse,delta_f1_adverse,delta_balanced_accuracy,delta_mcc,delta_gmean,delta_cost_FN1_FP1_per100,delta_cost_FN2_FP1_per100,delta_cost_FN5_FP1_per100,delta_cost_FN10_FP1_per100
Australian Credit Approval,R3_F1,3,1,Fixed0.50,0.5,0.5,0.8333333333333334,0.855072463768116,0.8194444444444444,0.8484848484848485,0.8368794326241135,0.8339646464646464,0.6672976811635084,0.8338382308854609,56,10,13,59,23,36,75,140,16.666666666666668,26.08695652173913,54.34782608695652,101.44927536231884,0.8194444444444444,0.855072463768116,0.8368794326241135,0.8339646464646464,0.6672976811635084,0.8338382308854609,16.666666666666668,26.08695652173913,54.34782608695652,101.44927536231884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australian Credit Approval,R3_F1,3,1,MinCost_FN2_FP1,0.29847462535731406,0.29847462535731406,0.7898550724637681,0.7529411764705882,0.8888888888888888,0.6818181818181818,0.8152866242038217,0.7853535353535352,0.5861436596392653,0.7784989441615229,45,21,8,64,29,37,61,101,21.014492753623188,26.81159420289855,44.20289855072464,73.18840579710145,0.8194444444444444,0.855072463768116,0.8368794326241135,0.8339646464646464,0.6672976811635084,0.8338382308854609,16.666666666666668,26.08695652173913,54.34782608695652,101.44927536231884,0.06944444444444442,-0.10213128729752774,-0.021592808420291765,-0.04861111111111116,-0.08115402152424311,-0.055339286723938064,4.34782608695652,0.7246376811594217,-10.144927536231883,-28.26086956521739
Australian Credit Approval,R3_F2,3,2,Fixed0.50,0.5,0.5,0.8695652173913043,0.9027777777777778,0.8552631578947368,0.8870967741935484,0.8783783783783784,0.8711799660441426,0.7392289188430581,0.8710345506666245,55,7,11,65,18,29,62,117,13.043478260869565,21.014492753623188,44.927536231884055,84.78260869565217,0.8552631578947368,0.9027777777777778,0.8783783783783784,0.8711799660441426,0.7392289188430581,0.8710345506666245,13.043478260869565,21.014492753623188,44.927536231884055,84.78260869565217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australian Credit Approval,R3_F2,3,2,MinCost_FN2_FP1,0.3715813670568993,0.3715813670568993,0.8623188405797102,0.8701298701298701,0.881578947368421,0.8387096774193549,0.8758169934640523,0.8601443123938879,0.7214378388751225,0.8598771973759176,52,10,9,67,19,28,55,100,13.768115942028986,20.28985507246377,39.85507246376812,72.46376811594203,0.8552631578947368,0.9027777777777778,0.8783783783783784,0.8711799660441426,0.7392289188430581,0.8710345506666245,13.043478260869565,21.014492753623188,44.927536231884055,84.78260869565217,0.02631578947368418,-0.032647907647907703,-0.0025613849143261147,-0.011035653650254718,-0.017791079967935608,-0.011157353290706884,0.7246376811594217,-0.7246376811594182,-5.072463768115938,-12.318840579710141
Australian Credit Approval,R3_F3,3,3,Fixed0.50,0.5,0.5,0.8695652173913043,0.881578947368421,0.881578947368421,0.8548387096774194,0.881578947368421,0.8682088285229201,0.7364176570458404,0.8681058747913175,53,9,9,67,18,27,54,99,13.043478260869565,19.565217391304348,39.130434782608695,71.73913043478261,0.881578947368421,0.881578947368421,0.881578947368421,0.8682088285229201,0.7364176570458404,0.8681058747913175,13.043478260869565,19.565217391304348,39.130434782608695,71.73913043478261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australian Credit Approval,R3_F3,3,3,MinCost_FN2_FP1,0.38681410935686045,0.38681410935686045,0.8695652173913043,0.8536585365853658,0.9210526315789473,0.8064516129032258,0.8860759493670886,0.8637521222410866,0.7369486585691832,0.8618493953734624,50,12,6,70,18,24,42,72,13.043478260869565,17.391304347826086,30.434782608695652,52.17391304347826,0.881578947368421,0.881578947368421,0.881578947368421,0.8682088285229201,0.7364176570458404,0.8681058747913175,13.043478260869565,19.565217391304348,39.130434782608695,71.73913043478261,0.03947368421052633,-0.027920410783055183,0.004497001998667538,-0.004456706281833589,0.0005310015233428445,-0.006256479417855121,0.0,-2.1739130434782616,-8.695652173913043,-19.56521739130435
Australian Credit Approval,R3_F4,3,4,Fixed0.50,0.5,0.5,0.8840579710144928,0.881578947368421,0.9054054054054054,0.859375,0.8933333333333333,0.8823902027027026,0.7667255897395466,0.8820900012301864,55,9,7,67,16,23,44,79,11.594202898550725,16.666666666666668,31.884057971014492,57.2463768115942,0.9054054054054054,0.881578947368421,0.8933333333333333,0.8823902027027026,0.7667255897395466,0.8820900012301864,11.594202898550725,16.666666666666668,31.884057971014492,57.2463768115942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australian Credit Approval,R3_F4,3,4,MinCost_FN2_FP1,0.269844085365491,0.269844085365491,0.8478260869565217,0.8117647058823529,0.9324324324324325,0.75,0.8679245283018868,0.8412162162162162,0.6997100432637001,0.8362561355974163,48,16,5,69,21,26,41,66,15.217391304347826,18.840579710144926,29.71014492753623,47.82608695652174,0.9054054054054054,0.881578947368421,0.8933333333333333,0.8823902027027026,0.7667255897395466,0.8820900012301864,11.594202898550725,16.666666666666668,31.884057971014492,57.2463768115942,0.027027027027027084,-0.06981424148606807,-0.02540880503144649,-0.0411739864864864,-0.06701554647584651,-0.04583386563277014,3.6231884057971016,2.173913043478258,-2.1739130434782616,-9.420289855072461
Australian Credit Approval,R3_F5,3,5,Fixed0.50,0.5,0.5,0.855072463768116,0.9012345679012346,0.8588235294117647,0.8490566037735849,0.8795180722891566,0.8539400665926749,0.6992414815334496,0.8539261028468426,45,8,12,73,20,32,68,128,14.492753623188406,23.18840579710145,49.27536231884058,92.7536231884058,0.8588235294117647,0.9012345679012346,0.8795180722891566,0.8539400665926749,0.6992414815334496,0.8539261028468426,14.492753623188406,23.18840579710145,49.27536231884058,92.7536231884058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australian Credit Approval,R3_F5,3,5,MinCost_FN2_FP1,0.3242030729508312,0.3242030729508312,0.8840579710144928,0.8709677419354839,0.9529411764705882,0.7735849056603774,0.9101123595505618,0.8632630410654828,0.7537908761861088,0.8585924004438247,41,12,4,81,16,20,32,52,11.594202898550725,14.492753623188406,23.18840579710145,37.68115942028985,0.8588235294117647,0.9012345679012346,0.8795180722891566,0.8539400665926749,0.6992414815334496,0.8539261028468426,14.492753623188406,23.18840579710145,49.27536231884058,92.7536231884058,0.09411764705882353,-0.0302668259657507,0.03059428726140523,0.009322974472807943,0.05454939465265929,0.004666297596982116,-2.8985507246376816,-8.695652173913043,-26.08695652173913,-55.072463768115945
Australian Credit Approval,R4_F1,4,1,Fixed0.50,0.5,0.5,0.855072463768116,0.8648648648648649,0.8648648648648649,0.84375,0.8648648648648649,0.8543074324324325,0.7086148648648649,0.8542421961772492,54,10,10,64,20,30,60,110,14.492753623188406,21.73913043478261,43.47826086956522,79.71014492753623,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8543074324324325,0.7086148648648649,0.8542421961772492,14.492753623188406,21.73913043478261,43.47826086956522,79.71014492753623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australian Credit Approval,R4_F1,4,1,MinCost_FN2_FP1,0.2518584112362157,0.2518584112362157,0.8333333333333334,0.7865168539325843,0.9459459459459459,0.703125,0.8588957055214724,0.824535472972973,0.67640214003352,0.815547817876575,45,19,4,70,23,27,39,59,16.666666666666668,19.565217391304348,28.26086956521739,42.7536231884058,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8543074324324325,0.7086148648648649,0.8542421961772492,14.492753623188406,21.73913043478261,43.47826086956522,79.71014492753623,0.08108108108108103,-0.07834801093228061,-0.005969159343392483,-0.02977195945945943,-0.03221272483134496,-0.038694378300674126,2.1739130434782616,-2.1739130434782616,-15.217391304347828,-36.95652173913044
Australian Credit Approval,R4_F2,4,2,Fixed0.50,0.5,0.5,0.8188405797101449,0.8636363636363636,0.7808219178082192,0.8615384615384616,0.8201438848920863,0.8211801896733404,0.6418870860183381,0.8201878527532606,56,9,16,57,25,41,89,169,18.115942028985508,29.71014492753623,64.4927536231884,122.46376811594203,0.7808219178082192,0.8636363636363636,0.8201438848920863,0.8211801896733404,0.6418870860183381,0.8201878527532606,18.115942028985508,29.71014492753623,64.4927536231884,122.46376811594203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australian Credit Approval,R4_F2,4,2,MinCost_FN2_FP1,0.3413342670334825,0.3413342670334825,0.7971014492753623,0.7848101265822784,0.8493150684931506,0.7384615384615385,0.8157894736842105,0.7938883034773445,0.5930493775504402,0.7919510793717116,48,17,11,62,28,39,72,127,20.28985507246377,28.26086956521739,52.17391304347826,92.02898550724638,0.7808219178082192,0.8636363636363636,0.8201438848920863,0.8211801896733404,0.6418870860183381,0.8201878527532606,18.115942028985508,29.71014492753623,64.4927536231884,122.46376811594203,0.06849315068493145,-0.0788262370540852,-0.00435441120787583,-0.027291886195995874,-0.04883770846789792,-0.028236773381548952,2.1739130434782616,-1.44927536231884,-12.318840579710148,-30.434782608695656
Australian Credit Approval,R4_F3,4,3,Fixed0.50,0.5,0.5,0.8768115942028986,0.8970588235294118,0.8591549295774648,0.8955223880597015,0.8776978417266187,0.8773386588185832,0.7544394616715052,0.8771502005064331,60,7,10,61,17,27,57,107,12.318840579710145,19.565217391304348,41.30434782608695,77.53623188405797,0.8591549295774648,0.8970588235294118,0.8776978417266187,0.8773386588185832,0.7544394616715052,0.8771502005064331,12.318840579710145,19.565217391304348,41.30434782608695,77.53623188405797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
