dataset,run_id,repeat,fold,threshold_strategy,selected_threshold,threshold,accuracy,precision_adverse,recall_adverse,specificity,f1_adverse,balanced_accuracy,mcc,gmean,tn,fp,fn,tp,cost_FN1_FP1,cost_FN2_FP1,cost_FN5_FP1,cost_FN10_FP1,cost_FN1_FP1_per100,cost_FN2_FP1_per100,cost_FN5_FP1_per100,cost_FN10_FP1_per100
Australian Credit Approval,R2_F1,2,1,MinCost_FN2_FP1,0.4320401245507586,0.4320401245507586,0.8333333333333334,0.8125,0.8904109589041096,0.7692307692307693,0.8496732026143791,0.8298208640674394,0.6670635937899404,0.827605888602368,50,15,8,65,23,31,55,95,16.666666666666668,22.463768115942027,39.85507246376812,68.84057971014492
Australian Credit Approval,R2_F2,2,2,Fixed0.50,0.5,0.5,0.8478260869565217,0.9342105263157895,0.8160919540229885,0.9019607843137255,0.8711656441717791,0.8590263691683571,0.6967843957280077,0.857952760309503,46,5,16,71,21,37,85,165,15.217391304347826,26.81159420289855,61.594202898550726,119.56521739130434
Australian Credit Approval,R2_F2,2,2,MinCost_FN2_FP1,0.3697259909766666,0.3697259909766666,0.8623188405797102,0.925,0.8505747126436781,0.8823529411764706,0.8862275449101796,0.8664638269100744,0.7167155585435772,0.8663181282828385,45,6,13,74,19,32,71,136,13.768115942028986,23.18840579710145,51.44927536231884,98.55072463768116
Australian Credit Approval,R2_F3,2,3,Fixed0.50,0.5,0.5,0.8623188405797102,0.8840579710144928,0.8472222222222222,0.8787878787878788,0.8652482269503546,0.8630050505050505,0.7253235664820743,0.8628607184990051,58,8,11,61,19,30,63,118,13.768115942028986,21.73913043478261,45.65217391304348,85.5072463768116
Australian Credit Approval,R2_F3,2,3,MinCost_FN2_FP1,0.30366640665748246,0.30366640665748246,0.8405797101449275,0.8048780487804879,0.9166666666666666,0.7575757575757576,0.8571428571428571,0.8371212121212122,0.6858882322135353,0.8333333333333334,50,16,6,66,22,28,46,76,15.942028985507246,20.28985507246377,33.333333333333336,55.072463768115945
Australian Credit Approval,R2_F4,2,4,Fixed0.50,0.5,0.5,0.8768115942028986,0.8918918918918919,0.88,0.873015873015873,0.8859060402684564,0.8765079365079365,0.7521408740827044,0.8765009801785554,55,8,9,66,17,26,53,98,12.318840579710145,18.840579710144926,38.405797101449274,71.01449275362319
Australian Credit Approval,R2_F4,2,4,MinCost_FN2_FP1,0.2775407834091117,0.2775407834091117,0.8333333333333334,0.7888888888888889,0.9466666666666667,0.6984126984126984,0.8606060606060606,0.8225396825396825,0.6746401483798578,0.8131199303694512,44,19,4,71,23,27,39,59,16.666666666666668,19.565217391304348,28.26086956521739,42.7536231884058
Australian Credit Approval,R2_F5,2,5,Fixed0.50,0.5,0.5,0.9202898550724637,0.922077922077922,0.9342105263157895,0.9032258064516129,0.9281045751633987,0.9187181663837012,0.8387724549797387,0.918587533132888,56,6,5,71,11,16,31,56,7.971014492753623,11.594202898550725,22.463768115942027,40.57971014492754
Australian Credit Approval,R2_F5,2,5,MinCost_FN2_FP1,0.31641692642968655,0.31641692642968655,0.8985507246376812,0.8604651162790697,0.9736842105263158,0.8064516129032258,0.9135802469135802,0.8900679117147707,0.8007961276396814,0.8861315940859752,50,12,2,74,14,16,22,32,10.144927536231885,11.594202898550725,15.942028985507246,23.18840579710145
Australian Credit Approval,R3_F1,3,1,Fixed0.50,0.5,0.5,0.8333333333333334,0.855072463768116,0.8194444444444444,0.8484848484848485,0.8368794326241135,0.8339646464646464,0.6672976811635084,0.8338382308854609,56,10,13,59,23,36,75,140,16.666666666666668,26.08695652173913,54.34782608695652,101.44927536231884
Australian Credit Approval,R3_F1,3,1,MinCost_FN2_FP1,0.29847462535731406,0.29847462535731406,0.7898550724637681,0.7529411764705882,0.8888888888888888,0.6818181818181818,0.8152866242038217,0.7853535353535352,0.5861436596392653,0.7784989441615229,45,21,8,64,29,37,61,101,21.014492753623188,26.81159420289855,44.20289855072464,73.18840579710145
Australian Credit Approval,R3_F2,3,2,Fixed0.50,0.5,0.5,0.8695652173913043,0.9027777777777778,0.8552631578947368,0.8870967741935484,0.8783783783783784,0.8711799660441426,0.7392289188430581,0.8710345506666245,55,7,11,65,18,29,62,117,13.043478260869565,21.014492753623188,44.927536231884055,84.78260869565217
Australian Credit Approval,R3_F2,3,2,MinCost_FN2_FP1,0.3715813670568993,0.3715813670568993,0.8623188405797102,0.8701298701298701,0.881578947368421,0.8387096774193549,0.8758169934640523,0.8601443123938879,0.7214378388751225,0.8598771973759176,52,10,9,67,19,28,55,100,13.768115942028986,20.28985507246377,39.85507246376812,72.46376811594203
Australian Credit Approval,R3_F3,3,3,Fixed0.50,0.5,0.5,0.8695652173913043,0.881578947368421,0.881578947368421,0.8548387096774194,0.881578947368421,0.8682088285229201,0.7364176570458404,0.8681058747913175,53,9,9,67,18,27,54,99,13.043478260869565,19.565217391304348,39.130434782608695,71.73913043478261
Australian Credit Approval,R3_F3,3,3,MinCost_FN2_FP1,0.38681410935686045,0.38681410935686045,0.8695652173913043,0.8536585365853658,0.9210526315789473,0.8064516129032258,0.8860759493670886,0.8637521222410866,0.7369486585691832,0.8618493953734624,50,12,6,70,18,24,42,72,13.043478260869565,17.391304347826086,30.434782608695652,52.17391304347826
Australian Credit Approval,R3_F4,3,4,Fixed0.50,0.5,0.5,0.8840579710144928,0.881578947368421,0.9054054054054054,0.859375,0.8933333333333333,0.8823902027027026,0.7667255897395466,0.8820900012301864,55,9,7,67,16,23,44,79,11.594202898550725,16.666666666666668,31.884057971014492,57.2463768115942
Australian Credit Approval,R3_F4,3,4,MinCost_FN2_FP1,0.269844085365491,0.269844085365491,0.8478260869565217,0.8117647058823529,0.9324324324324325,0.75,0.8679245283018868,0.8412162162162162,0.6997100432637001,0.8362561355974163,48,16,5,69,21,26,41,66,15.217391304347826,18.840579710144926,29.71014492753623,47.82608695652174
Australian Credit Approval,R3_F5,3,5,Fixed0.50,0.5,0.5,0.855072463768116,0.9012345679012346,0.8588235294117647,0.8490566037735849,0.8795180722891566,0.8539400665926749,0.6992414815334496,0.8539261028468426,45,8,12,73,20,32,68,128,14.492753623188406,23.18840579710145,49.27536231884058,92.7536231884058
Australian Credit Approval,R3_F5,3,5,MinCost_FN2_FP1,0.3242030729508312,0.3242030729508312,0.8840579710144928,0.8709677419354839,0.9529411764705882,0.7735849056603774,0.9101123595505618,0.8632630410654828,0.7537908761861088,0.8585924004438247,41,12,4,81,16,20,32,52,11.594202898550725,14.492753623188406,23.18840579710145,37.68115942028985
Australian Credit Approval,R4_F1,4,1,Fixed0.50,0.5,0.5,0.855072463768116,0.8648648648648649,0.8648648648648649,0.84375,0.8648648648648649,0.8543074324324325,0.7086148648648649,0.8542421961772492,54,10,10,64,20,30,60,110,14.492753623188406,21.73913043478261,43.47826086956522,79.71014492753623
Australian Credit Approval,R4_F1,4,1,MinCost_FN2_FP1,0.2518584112362157,0.2518584112362157,0.8333333333333334,0.7865168539325843,0.9459459459459459,0.703125,0.8588957055214724,0.824535472972973,0.67640214003352,0.815547817876575,45,19,4,70,23,27,39,59,16.666666666666668,19.565217391304348,28.26086956521739,42.7536231884058
Australian Credit Approval,R4_F2,4,2,Fixed0.50,0.5,0.5,0.8188405797101449,0.8636363636363636,0.7808219178082192,0.8615384615384616,0.8201438848920863,0.8211801896733404,0.6418870860183381,0.8201878527532606,56,9,16,57,25,41,89,169,18.115942028985508,29.71014492753623,64.4927536231884,122.46376811594203
Australian Credit Approval,R4_F2,4,2,MinCost_FN2_FP1,0.3413342670334825,0.3413342670334825,0.7971014492753623,0.7848101265822784,0.8493150684931506,0.7384615384615385,0.8157894736842105,0.7938883034773445,0.5930493775504402,0.7919510793717116,48,17,11,62,28,39,72,127,20.28985507246377,28.26086956521739,52.17391304347826,92.02898550724638
Australian Credit Approval,R4_F3,4,3,Fixed0.50,0.5,0.5,0.8768115942028986,0.8970588235294118,0.8591549295774648,0.8955223880597015,0.8776978417266187,0.8773386588185832,0.7544394616715052,0.8771502005064331,60,7,10,61,17,27,57,107,12.318840579710145,19.565217391304348,41.30434782608695,77.53623188405797
Australian Credit Approval,R4_F3,4,3,MinCost_FN2_FP1,0.345583857627931,0.345583857627931,0.8695652173913043,0.8533333333333334,0.9014084507042254,0.835820895522388,0.8767123287671232,0.8686146731133066,0.7397215717036736,0.8679954023490297,56,11,7,64,18,25,46,81,13.043478260869565,18.115942028985508,33.333333333333336,58.69565217391305
Australian Credit Approval,R4_F4,4,4,Fixed0.50,0.5,0.5,0.8768115942028986,0.9294117647058824,0.8777777777777778,0.875,0.9028571428571428,0.8763888888888889,0.7371591589346116,0.8763877883423271,42,6,11,79,17,28,61,116,12.318840579710145,20.28985507246377,44.20289855072464,84.05797101449275
Australian Credit Approval,R4_F4,4,4,MinCost_FN2_FP1,0.2999519286657462,0.2999519286657462,0.855072463768116,0.8645833333333334,0.9222222222222223,0.7291666666666666,0.8924731182795699,0.8256944444444445,0.6742515569407586,0.8200327455069729,35,13,7,83,20,27,48,83,14.492753623188406,19.565217391304348,34.78260869565217,60.14492753623188
Australian Credit Approval,R4_F5,4,5,Fixed0.50,0.5,0.5,0.9202898550724637,0.9324324324324325,0.92,0.9206349206349206,0.9261744966442953,0.9203174603174603,0.839658109009697,0.9203174055640407,58,5,6,69,11,17,35,65,7.971014492753623,12.318840579710145,25.36231884057971,47.10144927536232
Australian Credit Approval,R4_F5,4,5,MinCost_FN2_FP1,0.3504372231654671,0.3504372231654671,0.8913043478260869,0.8658536585365854,0.9466666666666667,0.8253968253968254,0.9044585987261147,0.886031746031746,0.7831644826825697,0.8839545584336682,52,11,4,71,15,19,31,51,10.869565217391305,13.768115942028986,22.463768115942027,36.95652173913044
Australian Credit Approval,R5_F1,5,1,Fixed0.50,0.5,0.5,0.8043478260869565,0.8076923076923077,0.84,0.7619047619047619,0.8235294117647058,0.8009523809523809,0.6047916118572527,0.7999999999999999,48,15,12,63,27,39,75,135,19.565217391304348,28.26086956521739,54.34782608695652,97.82608695652173
Australian Credit Approval,R5_F1,5,1,MinCost_FN2_FP1,0.4301807929850511,0.4301807929850511,0.8260869565217391,0.8148148148148148,0.88,0.7619047619047619,0.8461538461538461,0.8209523809523809,0.6493690216213965,0.8188261051506543,48,15,9,66,24,33,60,105,17.391304347826086,23.91304347826087,43.47826086956522,76.08695652173913
Australian Credit Approval,R5_F2,5,2,Fixed0.50,0.5,0.5,0.8695652173913043,0.9066666666666666,0.8607594936708861,0.8813559322033898,0.8831168831168831,0.871057712937138,0.7370723235746327,0.8709968346367406,52,7,11,68,18,29,62,117,13.043478260869565,21.014492753623188,44.927536231884055,84.78260869565217
Australian Credit Approval,R5_F2,5,2,MinCost_FN2_FP1,0.3247613080242025,0.3247613080242025,0.8405797101449275,0.8202247191011236,0.9240506329113924,0.7288135593220338,0.8690476190476191,0.8264320961167131,0.674946512351025,0.8206464712444269,43,16,6,73,22,28,46,76,15.942028985507246,20.28985507246377,33.333333333333336,55.072463768115945
Australian Credit Approval,R5_F3,5,3,Fixed0.50,0.5,0.5,0.8985507246376812,0.9154929577464789,0.8904109589041096,0.9076923076923077,0.9027777777777778,0.8990516332982086,0.797095983990672,0.8990101101112221,59,6,8,65,14,22,46,86,10.144927536231885,15.942028985507246,33.333333333333336,62.31884057971015
Australian Credit Approval,R5_F3,5,3,MinCost_FN2_FP1,0.23177703700354407,0.23177703700354407,0.8115942028985508,0.7473684210526316,0.9726027397260274,0.6307692307692307,0.8452380952380952,0.801685985247629,0.6502902000763054,0.783254672492308,41,24,2,71,26,28,34,44,18.840579710144926,20.28985507246377,24.63768115942029,31.884057971014492
Australian Credit Approval,R5_F4,5,4,Fixed0.50,0.5,0.5,0.8985507246376812,0.9230769230769231,0.9,0.896551724137931,0.9113924050632911,0.8982758620689655,0.7931403520418913,0.8982742074245136,52,6,8,72,14,22,46,86,10.144927536231885,15.942028985507246,33.333333333333336,62.31884057971015
Australian Credit Approval,R5_F4,5,4,MinCost_FN2_FP1,0.33782393730682825,0.33782393730682825,0.8695652173913043,0.8604651162790697,0.925,0.7931034482758621,0.891566265060241,0.8590517241379311,0.7314676185145957,0.856516602089634,46,12,6,74,18,24,42,72,13.043478260869565,17.391304347826086,30.434782608695652,52.17391304347826
Australian Credit Approval,R5_F5,5,5,Fixed0.50,0.5,0.5,0.8478260869565217,0.9104477611940298,0.8026315789473685,0.9032258064516129,0.8531468531468531,0.8529286926994907,0.7025108373018846,0.8514443934739768,56,6,15,61,21,36,81,156,15.217391304347826,26.08695652173913,58.69565217391305,113.04347826086956
Australian Credit Approval,R5_F5,5,5,MinCost_FN2_FP1,0.2998474091673757,0.2998474091673757,0.8768115942028986,0.8641975308641975,0.9210526315789473,0.8225806451612904,0.89171974522293,0.8718166383701189,0.7512448699339501,0.8704252224698654,51,11,6,70,17,23,41,71,12.318840579710145,16.666666666666668,29.71014492753623,51.44927536231884
Taiwan Credit Card Default,R1_F1,1,1,Fixed0.50,0.5,0.5,0.8229704950825137,0.6759941089837997,0.3528055342044581,0.9531715623669647,0.4636363636363636,0.6529885482857114,0.39800943787769566,0.5799001657607755,4478,220,842,459,1062,1904,4430,8640,17.702950491748624,31.738623103850642,73.8456409401567,144.02400400066676
