dataset,run_id,repeat,fold,calibration_method,selected_source_features,brier_score,log_loss,ece_10bin,calibration_intercept,calibration_slope,mean_predicted_probability,observed_adverse_rate,roc_auc,pr_auc,accuracy,precision_adverse,recall_adverse,specificity,f1_adverse,balanced_accuracy,mcc,gmean,ks_statistic,tn,fp,fn,tp
Australian Credit Approval,R3_F4,3,4,Sigmoid,11,0.08688336985916942,0.30460496729390096,0.08206253911543279,-0.13574652773597223,1.0447596449675463,0.5478427184983999,0.5362318840579711,0.9353885135135135,0.9439048198838522,0.8840579710144928,0.881578947368421,0.9054054054054054,0.859375,0.8933333333333333,0.8823902027027026,0.7667255897395466,0.8820900012301864,0.8158783783783784,55,9,7,67
Australian Credit Approval,R3_F5,3,5,Uncalibrated,11,0.08726162428013981,0.2908501766519438,0.061640823589581915,0.27026925148199443,1.1473385751612242,0.5907146267841306,0.6159420289855072,0.9405105438401775,0.9532197915661125,0.855072463768116,0.9113924050632911,0.8470588235294118,0.8679245283018868,0.8780487804878049,0.8574916759156492,0.7029165611684973,0.8574282068230062,0.7786903440621532,46,7,13,72
Australian Credit Approval,R3_F5,3,5,Sigmoid,11,0.08687795174320101,0.2920607755992126,0.09144628607130295,0.1823268250268895,1.2201158423767415,0.5972061041237544,0.6159420289855072,0.9405105438401775,0.9532197915661125,0.855072463768116,0.9012345679012346,0.8588235294117647,0.8490566037735849,0.8795180722891566,0.8539400665926749,0.6992414815334496,0.8539261028468426,0.7786903440621532,45,8,12,73
Australian Credit Approval,R4_F1,4,1,Uncalibrated,11,0.09652248743975175,0.31596743003211203,0.04816910628083641,-0.05977794198145902,1.033078710272893,0.5418500025372036,0.5362318840579711,0.9353885135135136,0.9360190652058926,0.8623188405797102,0.8873239436619719,0.8513513513513513,0.875,0.8689655172413793,0.8631756756756757,0.7247463219391427,0.8630946833531258,0.7753378378378378,56,8,11,63
Australian Credit Approval,R4_F1,4,1,Sigmoid,11,0.09672866619022491,0.317057808501481,0.0671387564504365,-0.15056534308281136,1.0531052108481729,0.5504403940945202,0.5362318840579711,0.9353885135135136,0.9360190652058926,0.855072463768116,0.8648648648648649,0.8648648648648649,0.84375,0.8648648648648649,0.8543074324324325,0.7086148648648649,0.8542421961772492,0.7753378378378378,54,10,10,64
Australian Credit Approval,R4_F2,4,2,Uncalibrated,11,0.11511036129850309,0.36775810460607816,0.0522375060761976,0.10269324708636716,0.9035950170004748,0.5156154712228436,0.5289855072463768,0.9140147523709167,0.9319164366691512,0.8188405797101449,0.875,0.7671232876712328,0.8769230769230769,0.8175182481751825,0.8220231822971549,0.644658026978921,0.8201878527532606,0.7072708113804005,57,8,17,56
Australian Credit Approval,R4_F2,4,2,Sigmoid,11,0.11503266962067574,0.3669110978042195,0.05083645762930266,0.02543952617901643,0.9055516205893207,0.5244856828653457,0.5289855072463768,0.9140147523709167,0.9319164366691512,0.8188405797101449,0.8636363636363636,0.7808219178082192,0.8615384615384616,0.8201438848920863,0.8211801896733404,0.6418870860183381,0.8201878527532606,0.7072708113804005,56,9,16,57
Australian Credit Approval,R4_F3,4,3,Uncalibrated,11,0.10339301312858203,0.3549212192784523,0.04636524528778724,-0.02820560685100527,0.8740158500815786,0.5152245838401237,0.5144927536231884,0.9194870716838344,0.8982153267591431,0.8695652173913043,0.8955223880597015,0.8450704225352113,0.8955223880597015,0.8695652173913043,0.8702964052974564,0.7405928105949128,0.8699307345227857,0.7687618246794198,60,7,11,60
Australian Credit Approval,R4_F3,4,3,Sigmoid,11,0.10293343296645917,0.35516399713995694,0.06799895333312045,-0.11590365982757214,0.8804999759378023,0.5248220402547866,0.5144927536231884,0.9194870716838344,0.8982153267591431,0.8768115942028986,0.8970588235294118,0.8591549295774648,0.8955223880597015,0.8776978417266187,0.8773386588185832,0.7544394616715052,0.8771502005064331,0.7687618246794198,60,7,10,61
Australian Credit Approval,R4_F4,4,4,Uncalibrated,11,0.08850832401027071,0.3066108097274658,0.08637595727107153,0.5658770705819894,1.0153063383217567,0.6006021055244343,0.6521739130434783,0.9446759259259259,0.9743329005422932,0.8768115942028986,0.9294117647058824,0.8777777777777778,0.875,0.9028571428571428,0.8763888888888889,0.7371591589346116,0.8763877883423271,0.8138888888888889,42,6,11,79
Australian Credit Approval,R4_F4,4,4,Sigmoid,11,0.08819512179703953,0.3043441662211878,0.06471281783596738,0.5200175795461107,1.011424802759786,0.605018517975643,0.6521739130434783,0.9446759259259259,0.9743329005422932,0.8768115942028986,0.9294117647058824,0.8777777777777778,0.875,0.9028571428571428,0.8763888888888889,0.7371591589346116,0.8763877883423271,0.8138888888888889,42,6,11,79
Australian Credit Approval,R4_F5,4,5,Uncalibrated,11,0.08071381984543761,0.28834890303979427,0.055933867422270245,-0.1291317710010748,1.049107466885101,0.5544949658090821,0.5434782608695652,0.9451851851851851,0.9398944422223259,0.9130434782608695,0.9315068493150684,0.9066666666666666,0.9206349206349206,0.918918918918919,0.9136507936507936,0.825556223358918,0.9136240992382998,0.8673015873015872,58,5,7,68
