dataset,run_id,repeat,fold,feature_regime,training_regime,ensemble_type,selected_source_features,feature_selection_runtime_seconds,lr_runtime_seconds,rf_runtime_seconds,xgb_runtime_seconds,accuracy,precision_adverse,recall_adverse,specificity,f1_adverse,balanced_accuracy,mcc,roc_auc,pr_auc,gmean,ks_statistic,tn,fp,fn,tp,cost_FN1_FP1_per100,cost_FN2_FP1_per100,cost_FN5_FP1_per100,cost_FN10_FP1_per100
Australian Credit Approval,R5_F1,5,1,FrozenChi2Top75,Balanced,SoftVote,11,0.037390499957837164,0.02476189995650202,0.6094199000508524,0.21015399997122586,0.8333333333333334,0.8513513513513513,0.84,0.8253968253968254,0.8456375838926175,0.8326984126984127,0.6646236391557118,0.9316402116402116,0.950574465316831,0.8326663997864531,0.7257142857142858,52,11,12,63,16.666666666666668,25.36231884057971,51.44927536231884,94.92753623188406
Australian Credit Approval,R5_F2,5,2,FrozenChi2Top75,Balanced,SoftVote,11,0.03924760001245886,0.03652279998641461,0.6163283999776468,0.20868979999795556,0.8695652173913043,0.9066666666666666,0.8607594936708861,0.8813559322033898,0.8831168831168831,0.871057712937138,0.7370723235746327,0.9156833297575627,0.9272774075412258,0.8709968346367406,0.7590645784166488,52,7,11,68,13.043478260869565,21.014492753623188,44.927536231884055,84.78260869565217
Australian Credit Approval,R5_F3,5,3,FrozenChi2Top75,Balanced,SoftVote,11,0.039451399992685765,0.04336609999882057,0.6133763000252657,0.21063549997052178,0.8985507246376812,0.9154929577464789,0.8904109589041096,0.9076923076923077,0.9027777777777778,0.8990516332982086,0.797095983990672,0.9498419388830347,0.9487942025157913,0.8990101101112221,0.8134878819810327,59,6,8,65,10.144927536231885,15.942028985507246,33.333333333333336,62.31884057971015
Australian Credit Approval,R5_F4,5,4,FrozenChi2Top75,Balanced,SoftVote,11,0.03706989996135235,0.03470509999897331,0.6109733000048436,0.2071144999936223,0.8985507246376812,0.9230769230769231,0.9,0.896551724137931,0.9113924050632911,0.8982758620689655,0.7931403520418913,0.9437499999999999,0.9586518963581967,0.8982742074245136,0.8137931034482759,52,6,8,72,10.144927536231885,15.942028985507246,33.333333333333336,62.31884057971015
Australian Credit Approval,R5_F5,5,5,FrozenChi2Top75,Balanced,SoftVote,11,0.039143399975728244,0.03701679996447638,0.6043235000106506,0.21374760003527626,0.8478260869565217,0.9104477611940298,0.8026315789473685,0.9032258064516129,0.8531468531468531,0.8529286926994907,0.7025108373018846,0.9250848896434635,0.9197564748923204,0.8514443934739768,0.7699490662139219,56,6,15,61,15.217391304347826,26.08695652173913,58.69565217391305,113.04347826086956
Taiwan Credit Card Default,R1_F1,1,1,FrozenChi2Top75,Balanced,SoftVote,18,0.10133780003525317,0.12629859999287874,3.9009108999744058,0.6784715999965556,0.8116352725454242,0.575197889182058,0.5026902382782475,0.8971902937420179,0.5365053322395406,0.6999402660101327,0.4204726056063696,0.784021869413743,0.5553924978590703,0.671571889332859,0.42467627318802803,4215,483,647,654,18.836472745457577,29.6216036006001,61.97699616602767,115.90265044174029
Taiwan Credit Card Default,R1_F2,1,2,FrozenChi2Top75,Balanced,SoftVote,18,0.0921416999772191,0.12122179998550564,3.9735044999979436,0.6852118999813683,0.8062364515591129,0.575993091537133,0.49850523168908817,0.8946125778063962,0.5344551282051282,0.6965589047477422,0.41463412316806814,0.7741464917861535,0.5545887351970623,0.6678091421741319,0.41635313107279703,4168,491,671,667,19.376354844088713,30.56528264132066,64.13206603301651,120.07670501917626
Taiwan Credit Card Default,R1_F3,1,3,FrozenChi2Top75,Balanced,SoftVote,18,0.09329180000349879,0.12147910002386197,4.085331699985545,0.7221036999835633,0.8027324225258248,0.5515202702702703,0.5,0.8869250425894378,0.5244979919678715,0.693462521294719,0.40119288524060703,0.7753743859424853,0.5354391469451536,0.6659298170939029,0.42229123348925546,4165,531,653,653,19.726757747417526,30.60646451182939,63.24558480506498,117.64411862712429
Taiwan Credit Card Default,R1_F4,1,4,FrozenChi2Top75,Balanced,SoftVote,18,0.10321540001314133,0.12575780000770465,4.2712968999985605,0.7110904000001028,0.8098333333333333,0.5791245791245792,0.5176824680210684,0.8929565403553843,0.5466825586015097,0.7053195041882263,0.42791410000838875,0.7744813385957798,0.5785209743096404,0.6799028942773594,0.4356485166386131,4171,500,641,688,19.016666666666666,29.7,61.75,115.16666666666667
Taiwan Credit Card Default,R1_F5,1,5,FrozenChi2Top75,Balanced,SoftVote,18,0.10400010005105287,0.12378610001178458,4.3216519999550655,0.717356099979952,0.80973008997001,0.5932203389830508,0.5139500734214391,0.896551724137931,0.5507474429583006,0.705250898779685,0.4326214021941957,0.7815474042989519,0.567036393365205,0.6788098588314754,0.4353549546812497,4160,480,662,700,19.026991002999,30.056647784071977,63.1456181272909,118.29390203265578
Taiwan Credit Card Default,R2_F1,2,1,FrozenChi2Top75,Balanced,SoftVote,18,0.1024609999731183,0.13257150002755225,4.218110900023021,0.7211239000316709,0.8091743119266055,0.5723905723905723,0.5167173252279635,0.8914297926907458,0.5431309904153354,0.7040735589593548,0.4238146061699245,0.7795557626360035,0.5520579114128444,0.6786878650069413,0.4346694569475852,4171,508,636,680,19.08256880733945,29.691409507923268,61.517931609674726,114.56213511259382
