dataset,run_id,repeat,fold,model,selected_source_features,runtime_seconds,accuracy,precision_adverse,recall_adverse,specificity,f1_adverse,balanced_accuracy,mcc,roc_auc,pr_auc,gmean,ks_statistic,tn,fp,fn,tp,cost_FN1_FP1_per100,cost_FN2_FP1_per100,cost_FN5_FP1_per100,cost_FN10_FP1_per100
Australian Credit Approval,R2_F3,2,3,LR,11,0.037156499980483204,0.8768115942028986,0.9104477611940298,0.8472222222222222,0.9090909090909091,0.8776978417266187,0.8781565656565656,0.755915553021812,0.9223484848484849,0.9301845613656989,0.8776115428833079,0.7727272727272727,60,6,11,61,12.318840579710145,20.28985507246377,44.20289855072464,84.05797101449275
Australian Credit Approval,R2_F3,2,3,RF,11,0.6043115999782458,0.8623188405797102,0.8732394366197183,0.8611111111111112,0.8636363636363636,0.8671328671328671,0.8623737373737375,0.7243664898739902,0.9143518518518517,0.9164252028356945,0.8623728130494773,0.7575757575757576,57,9,10,62,13.768115942028986,21.014492753623188,42.7536231884058,78.98550724637681
Australian Credit Approval,R2_F3,2,3,XGB,11,0.2470218999660574,0.8768115942028986,0.8873239436619719,0.875,0.8787878787878788,0.8811188811188811,0.8768939393939394,0.7533916279699863,0.9307659932659933,0.9083699364098504,0.876891894100632,0.8156565656565657,58,8,9,63,12.318840579710145,18.840579710144926,38.405797101449274,71.01449275362319
Australian Credit Approval,R2_F4,2,4,LR,11,0.03587149997474626,0.8623188405797102,0.8888888888888888,0.8533333333333334,0.873015873015873,0.8707482993197279,0.8631746031746033,0.7242827748323657,0.9153439153439153,0.9030782779897308,0.8631184999601996,0.7263492063492064,55,8,11,64,13.768115942028986,21.73913043478261,45.65217391304348,85.5072463768116
Australian Credit Approval,R2_F4,2,4,RF,11,0.6014374999795109,0.8623188405797102,0.85,0.9066666666666666,0.8095238095238095,0.8774193548387097,0.858095238095238,0.7227206397721802,0.9235978835978836,0.9327299608122922,0.8567194721542484,0.7847619047619048,51,12,7,68,13.768115942028986,18.840579710144926,34.05797101449275,59.42028985507246
Australian Credit Approval,R2_F4,2,4,XGB,11,0.23078859999077395,0.855072463768116,0.8767123287671232,0.8533333333333334,0.8571428571428571,0.8648648648648649,0.8552380952380952,0.7089772938899687,0.9161904761904762,0.9046209880113605,0.855235974119758,0.7346031746031746,54,9,11,64,14.492753623188406,22.463768115942027,46.3768115942029,86.23188405797102
Australian Credit Approval,R2_F5,2,5,LR,11,0.028015099989715964,0.9130434782608695,0.9571428571428572,0.881578947368421,0.9516129032258065,0.9178082191780822,0.9165959252971138,0.8289802388691127,0.9605263157894737,0.9613657254553098,0.9159267992192464,0.8344651952461799,59,3,9,67,8.695652173913043,15.217391304347826,34.78260869565217,67.3913043478261
Australian Credit Approval,R2_F5,2,5,RF,11,0.6133289999561384,0.9057971014492754,0.92,0.9078947368421053,0.9032258064516129,0.9139072847682119,0.9055602716468591,0.8100039475334719,0.9781409168081494,0.9833738882605743,0.9055572626054,0.830220713073005,56,6,7,69,9.420289855072463,14.492753623188406,29.71014492753623,55.072463768115945
Australian Credit Approval,R2_F5,2,5,XGB,11,0.2183406000258401,0.9130434782608695,0.9102564102564102,0.9342105263157895,0.8870967741935484,0.922077922077922,0.9106536502546689,0.8241104052471173,0.9781409168081494,0.9826520776896653,0.9103489135009686,0.8756366723259763,55,7,5,71,8.695652173913043,12.318840579710145,23.18840579710145,41.30434782608695
Australian Credit Approval,R3_F1,3,1,LR,11,0.0347745000035502,0.8188405797101449,0.8852459016393442,0.75,0.8939393939393939,0.8120300751879699,0.821969696969697,0.6476985583541531,0.9074074074074074,0.9181565416207645,0.8188128879387191,0.6616161616161615,59,7,18,54,18.115942028985508,31.159420289855074,70.28985507246377,135.5072463768116
Australian Credit Approval,R3_F1,3,1,RF,11,0.6050195999559946,0.8260869565217391,0.8333333333333334,0.8333333333333334,0.8181818181818182,0.8333333333333334,0.8257575757575758,0.6515151515151515,0.8937289562289562,0.8961713689799008,0.8257228238447705,0.6868686868686869,54,12,12,60,17.391304347826086,26.08695652173913,52.17391304347826,95.65217391304348
Australian Credit Approval,R3_F1,3,1,XGB,11,0.20957730000372976,0.8260869565217391,0.8243243243243243,0.8472222222222222,0.803030303030303,0.8356164383561644,0.8251262626262625,0.6513499986498777,0.9154040404040404,0.9348796734986539,0.8248303570099235,0.6982323232323232,53,13,11,61,17.391304347826086,25.36231884057971,49.27536231884058,89.1304347826087
Australian Credit Approval,R3_F2,3,2,LR,11,0.03833449998637661,0.8478260869565217,0.9104477611940298,0.8026315789473685,0.9032258064516129,0.8531468531468531,0.8529286926994907,0.7025108373018846,0.9028013582342954,0.8801001648191328,0.8514443934739768,0.716044142614601,56,6,15,61,15.217391304347826,26.08695652173913,58.69565217391305,113.04347826086956
Australian Credit Approval,R3_F2,3,2,RF,11,0.6128931000130251,0.855072463768116,0.8888888888888888,0.8421052631578947,0.8709677419354839,0.8648648648648649,0.8565365025466893,0.7100655138115137,0.9158531409168081,0.9213903735247142,0.8564149225256517,0.7321731748726655,54,8,12,64,14.492753623188406,23.18840579710145,49.27536231884058,92.7536231884058
Australian Credit Approval,R3_F2,3,2,XGB,11,0.21408860001247376,0.8695652173913043,0.9027777777777778,0.8552631578947368,0.8870967741935484,0.8783783783783784,0.8711799660441426,0.7392289188430581,0.9151103565365025,0.9042372359313138,0.8710345506666245,0.7584889643463497,55,7,11,65,13.043478260869565,21.014492753623188,44.927536231884055,84.78260869565217
Australian Credit Approval,R3_F3,3,3,LR,11,0.03830339998239651,0.8840579710144928,0.9054054054054054,0.881578947368421,0.8870967741935484,0.8933333333333333,0.8843378607809846,0.7667255897395466,0.9371816638370118,0.9459857156156387,0.8843335572098744,0.7716468590831919,55,7,9,67,11.594202898550725,18.115942028985508,37.68115942028985,70.28985507246377
Australian Credit Approval,R3_F3,3,3,RF,11,0.6099263000069186,0.8695652173913043,0.8717948717948718,0.8947368421052632,0.8387096774193549,0.8831168831168831,0.866723259762309,0.7359497572439373,0.9447156196943973,0.9628047044695525,0.8662704244156773,0.7775891341256367,52,10,8,68,13.043478260869565,18.840579710144926,36.231884057971016,65.21739130434783
Australian Credit Approval,R3_F3,3,3,XGB,11,0.21035379997920245,0.8623188405797102,0.88,0.868421052631579,0.8548387096774194,0.8741721854304636,0.8616298811544991,0.7222641164819655,0.9390916808149405,0.9551656950821942,0.8616031175014894,0.767402376910017,53,9,10,66,13.768115942028986,21.014492753623188,42.7536231884058,78.98550724637681
Australian Credit Approval,R3_F4,3,4,LR,11,0.03142020001541823,0.8985507246376812,0.9166666666666666,0.8918918918918919,0.90625,0.9041095890410958,0.8990709459459459,0.796797085727035,0.9353885135135135,0.9494126266524672,0.899042283225337,0.7981418918918919,58,6,8,66,10.144927536231885,15.942028985507246,33.333333333333336,62.31884057971015
Australian Credit Approval,R3_F4,3,4,RF,11,0.5994976999936625,0.8768115942028986,0.8701298701298701,0.9054054054054054,0.84375,0.8874172185430463,0.8745777027027026,0.7522591591553982,0.9296875,0.9219619779813246,0.8740342160412319,0.7960304054054054,54,10,7,67,12.318840579710145,17.391304347826086,32.608695652173914,57.971014492753625
Australian Credit Approval,R3_F4,3,4,XGB,11,0.21087020001141354,0.8985507246376812,0.9054054054054054,0.9054054054054054,0.890625,0.9054054054054054,0.8980152027027026,0.7960304054054054,0.9339104729729729,0.9334488591949502,0.8979847934064302,0.809543918918919,57,7,7,67,10.144927536231885,15.217391304347826,30.434782608695652,55.79710144927536
Australian Credit Approval,R3_F5,3,5,LR,11,0.045434299972839653,0.8840579710144928,0.96,0.8470588235294118,0.9433962264150944,0.9,0.895227524972253,0.7718335803370794,0.9504994450610433,0.9676741728113611,0.8939307007085372,0.7904550499445061,50,3,13,72,11.594202898550725,21.014492753623188,49.27536231884058,96.3768115942029
Australian Credit Approval,R3_F5,3,5,RF,11,0.6058470999705605,0.855072463768116,0.891566265060241,0.8705882352941177,0.8301886792452831,0.8809523809523809,0.8503884572697004,0.6961563570265326,0.9309655937846837,0.9356605158685174,0.8501485148050929,0.7669256381798002,44,9,11,74,14.492753623188406,22.463768115942027,46.3768115942029,86.23188405797102
Australian Credit Approval,R3_F5,3,5,XGB,11,0.21083070000167936,0.8478260869565217,0.8902439024390244,0.8588235294117647,0.8301886792452831,0.874251497005988,0.8445061043285238,0.6824539868586954,0.9207547169811321,0.9144337215519147,0.8443847296032333,0.7362930077691454,44,9,12,73,15.217391304347826,23.91304347826087,50.0,93.47826086956522
Australian Credit Approval,R4_F1,4,1,LR,11,0.03152560000307858,0.8695652173913043,0.9,0.8513513513513513,0.890625,0.875,0.8709881756756757,0.7401034589624639,0.9326435810810811,0.9321457967940129,0.8707667869741572,0.7512668918918919,57,7,11,63,13.043478260869565,21.014492753623188,44.927536231884055,84.78260869565217
Australian Credit Approval,R4_F1,4,1,RF,11,0.6052254000096582,0.8768115942028986,0.88,0.8918918918918919,0.859375,0.8859060402684564,0.8756334459459459,0.7521408740827044,0.933277027027027,0.9283861206117701,0.8754824924546434,0.7554898648648649,55,9,8,66,12.318840579710145,18.115942028985508,35.507246376811594,64.4927536231884
Australian Credit Approval,R4_F1,4,1,XGB,11,0.20753210003022105,0.855072463768116,0.8552631578947368,0.8783783783783784,0.828125,0.8666666666666667,0.8532516891891893,0.7083003377328887,0.9360219594594594,0.9460268459842585,0.8528816416095464,0.7461993243243243,53,11,9,65,14.492753623188406,21.014492753623188,40.57971014492754,73.18840579710145
Australian Credit Approval,R4_F2,4,2,LR,11,0.03515279997373,0.8188405797101449,0.875,0.7671232876712328,0.8769230769230769,0.8175182481751825,0.8220231822971549,0.644658026978921,0.9066385669125395,0.9309423461737162,0.8201878527532606,0.6935721812434141,57,8,17,56,18.115942028985508,30.434782608695652,67.3913043478261,128.9855072463768
Australian Credit Approval,R4_F2,4,2,RF,11,0.603951999975834,0.8333333333333334,0.8676470588235294,0.8082191780821918,0.8615384615384616,0.8368794326241135,0.8348788198103267,0.6687015165358298,0.9145416227608009,0.9308295346411128,0.8344530587581374,0.7329820864067439,56,9,14,59,16.666666666666668,26.81159420289855,57.2463768115942,107.97101449275362
Australian Credit Approval,R4_F2,4,2,XGB,11,0.21190890000434592,0.8188405797101449,0.8636363636363636,0.7808219178082192,0.8615384615384616,0.8201438848920863,0.8211801896733404,0.6418870860183381,0.9135932560590095,0.9322802552408475,0.8201878527532606,0.7072708113804005,56,9,16,57,18.115942028985508,29.71014492753623,64.4927536231884,122.46376811594203
Australian Credit Approval,R4_F3,4,3,LR,11,0.02733399998396635,0.8623188405797102,0.90625,0.8169014084507042,0.9104477611940298,0.8592592592592593,0.863674584822367,0.7289599633457656,0.8986756359049821,0.886169793076238,0.8624071303277782,0.7529955854530166,61,6,13,58,13.768115942028986,23.18840579710145,51.44927536231884,98.55072463768116
Australian Credit Approval,R4_F3,4,3,RF,11,0.6218421999947168,0.8623188405797102,0.8714285714285714,0.8591549295774648,0.8656716417910447,0.8652482269503546,0.8624132856842548,0.7245981236332452,0.9204330460374186,0.8881445159065107,0.8624071303277782,0.756359049821316,58,9,10,61,13.768115942028986,21.014492753623188,42.7536231884058,78.98550724637681
Australian Credit Approval,R4_F3,4,3,XGB,11,0.21059760003117844,0.855072463768116,0.8805970149253731,0.8309859154929577,0.8805970149253731,0.855072463768116,0.8557914652091654,0.7115829304183309,0.9224301030060964,0.9049805422215695,0.855431888947406,0.7389110784107631,59,8,12,59,14.492753623188406,23.18840579710145,49.27536231884058,92.7536231884058
Australian Credit Approval,R4_F4,4,4,LR,11,0.03281760000390932,0.8913043478260869,0.9411764705882353,0.8888888888888888,0.8958333333333334,0.9142857142857143,0.8923611111111112,0.7684408206606191,0.9555555555555556,0.9793752301989248,0.8923543557893895,0.8152777777777778,43,5,10,80,10.869565217391305,18.115942028985508,39.85507246376812,76.08695652173913
