dataset,run_id,repeat,fold,feature_regime,training_regime,ensemble_type,selected_source_features,feature_selection_runtime_seconds,lr_runtime_seconds,rf_runtime_seconds,xgb_runtime_seconds,accuracy,precision_adverse,recall_adverse,specificity,f1_adverse,balanced_accuracy,mcc,roc_auc,pr_auc,gmean,ks_statistic,tn,fp,fn,tp,cost_FN1_FP1_per100,cost_FN2_FP1_per100,cost_FN5_FP1_per100,cost_FN10_FP1_per100,reference_roc_auc,reference_pr_auc,reference_recall_adverse,reference_precision_adverse,reference_f1_adverse,reference_balanced_accuracy,reference_mcc,reference_gmean,reference_ks_statistic,reference_cost_FN2_FP1_per100,reference_cost_FN5_FP1_per100,reference_cost_FN10_FP1_per100,delta_roc_auc,delta_pr_auc,delta_recall_adverse,delta_precision_adverse,delta_f1_adverse,delta_balanced_accuracy,delta_mcc,delta_gmean,delta_ks_statistic,delta_cost_FN2_FP1_per100,delta_cost_FN5_FP1_per100,delta_cost_FN10_FP1_per100,reference_name
Australian Credit Approval,R4_F1,4,1,FrozenChi2Top75,Balanced,SoftVote,11,0.03848799999104813,0.03152560000307858,0.6052254000096582,0.20753210003022105,0.8623188405797102,0.8873239436619719,0.8513513513513513,0.875,0.8689655172413793,0.8631756756756757,0.7247463219391427,0.9353885135135136,0.9360190652058926,0.8630946833531258,0.7753378378378378,56,8,11,63,13.768115942028986,21.73913043478261,45.65217391304348,85.5072463768116,0.9292652027027026,0.9316984323377122,0.8513513513513513,0.875,0.863013698630137,0.8553631756756757,0.7095288334807407,0.8553537674948112,0.7263513513513513,22.463768115942027,46.3768115942029,86.23188405797102,0.006123310810810967,0.004320632868180407,0.0,0.01232394366197187,0.005951818611242277,0.0078125,0.015217488458401984,0.007740915858314601,0.048986486486486513,-0.7246376811594182,-0.7246376811594217,-0.7246376811594217,AllFeatures_Balanced_XGB
Australian Credit Approval,R4_F2,4,2,FrozenChi2Top75,Balanced,SoftVote,11,0.03909220005152747,0.03515279997373,0.603951999975834,0.21190890000434592,0.8188405797101449,0.875,0.7671232876712328,0.8769230769230769,0.8175182481751825,0.8220231822971549,0.644658026978921,0.9140147523709167,0.9319164366691512,0.8201878527532606,0.7072708113804005,57,8,17,56,18.115942028985508,30.434782608695652,67.3913043478261,128.9855072463768,0.9192834562697576,0.9262045450771994,0.7945205479452054,0.8529411764705882,0.8226950354609929,0.8203371970495258,0.6396641316138837,0.819930861409727,0.6868282402528978,28.98550724637681,61.594202898550726,115.94202898550724,-0.005268703898840932,0.005711891591951845,-0.0273972602739726,0.022058823529411797,-0.005176787285810391,0.0016859852476290849,0.00499389536503736,0.00025699134353351916,0.020442571127502696,1.4492753623188435,5.797101449275367,13.043478260869577,AllFeatures_Balanced_XGB
Australian Credit Approval,R4_F3,4,3,FrozenChi2Top75,Balanced,SoftVote,11,0.03829480003332719,0.02733399998396635,0.6218421999947168,0.21059760003117844,0.8695652173913043,0.8955223880597015,0.8450704225352113,0.8955223880597015,0.8695652173913043,0.8702964052974564,0.7405928105949128,0.9194870716838344,0.8982153267591431,0.8699307345227857,0.7687618246794198,60,7,11,60,13.043478260869565,21.014492753623188,44.927536231884055,84.78260869565217,0.937775909186462,0.9177013691318237,0.8732394366197183,0.8985507246376812,0.8857142857142857,0.88438091233971,0.7684388154951274,0.8843107291159588,0.8250998528484339,18.115942028985508,37.68115942028985,70.28985507246377,-0.018288837502627664,-0.01948604237268059,-0.028169014084507005,-0.003028336577979629,-0.016149068322981353,-0.014084507042253502,-0.027846004900214605,-0.014379994593173073,-0.05633802816901412,2.89855072463768,7.246376811594203,14.492753623188406,AllFeatures_Balanced_XGB
Australian Credit Approval,R4_F4,4,4,FrozenChi2Top75,Balanced,SoftVote,11,0.037529799970798194,0.03281760000390932,0.6661127000115812,0.21191740001086146,0.8768115942028986,0.9294117647058824,0.8777777777777778,0.875,0.9028571428571428,0.8763888888888889,0.7371591589346116,0.9446759259259259,0.9743329005422932,0.8763877883423271,0.8138888888888889,42,6,11,79,12.318840579710145,20.28985507246377,44.20289855072464,84.05797101449275,0.9277777777777778,0.9520562898811218,0.8888888888888888,0.9411764705882352,0.9142857142857144,0.8923611111111112,0.7684408206606191,0.8923543557893895,0.7958333333333334,18.115942028985508,39.85507246376812,76.08695652173913,0.01689814814814805,0.02227661066117137,-0.011111111111111072,-0.011764705882352788,-0.011428571428571566,-0.015972222222222276,-0.03128166172600755,-0.015966567447062374,0.01805555555555549,2.1739130434782616,4.347826086956523,7.971014492753625,AllFeatures_Balanced_XGB
Australian Credit Approval,R4_F5,4,5,FrozenChi2Top75,Balanced,SoftVote,11,0.039567200001329184,0.03590680001070723,0.6085937999887392,0.21261959994444624,0.9130434782608695,0.9315068493150684,0.9066666666666666,0.9206349206349206,0.918918918918919,0.9136507936507936,0.825556223358918,0.9451851851851851,0.9398944422223259,0.9136240992382998,0.8673015873015872,58,5,7,68,8.695652173913043,13.768115942028986,28.985507246376812,54.34782608695652,0.939047619047619,0.9303117882371398,0.96,0.9230769230769232,0.9411764705882352,0.9323809523809524,0.8689094676683313,0.931971796017148,0.8647619047619047,8.695652173913043,15.217391304347826,26.08695652173913,0.006137566137566108,0.009582653985186096,-0.053333333333333344,0.008429926238145202,-0.0222575516693162,-0.01873015873015882,-0.04335324430941334,-0.018347696778848177,0.0025396825396825085,5.072463768115943,13.768115942028986,28.260869565217394,AllFeatures_Balanced_XGB
Australian Credit Approval,R5_F1,5,1,FrozenChi2Top75,Balanced,SoftVote,11,0.037390499957837164,0.02476189995650202,0.6094199000508524,0.21015399997122586,0.8333333333333334,0.8513513513513513,0.84,0.8253968253968254,0.8456375838926175,0.8326984126984127,0.6646236391557118,0.9316402116402116,0.950574465316831,0.8326663997864531,0.7257142857142858,52,11,12,63,16.666666666666668,25.36231884057971,51.44927536231884,94.92753623188406,0.9417989417989416,0.9587356594562988,0.8666666666666667,0.8552631578947368,0.8609271523178808,0.846031746031746,0.6930175061314634,0.845780063222062,0.7580952380952382,22.463768115942027,44.20289855072464,80.43478260869566,-0.010158730158730034,-0.008161194139467809,-0.026666666666666727,-0.003911806543385521,-0.0152895684252633,-0.013333333333333308,-0.028393866975751636,-0.013113663435608935,-0.0323809523809524,2.8985507246376834,7.246376811594203,14.492753623188406,AllFeatures_Balanced_XGB
Australian Credit Approval,R5_F2,5,2,FrozenChi2Top75,Balanced,SoftVote,11,0.03924760001245886,0.03652279998641461,0.6163283999776468,0.20868979999795556,0.8695652173913043,0.9066666666666666,0.8607594936708861,0.8813559322033898,0.8831168831168831,0.871057712937138,0.7370723235746327,0.9156833297575627,0.9272774075412258,0.8709968346367406,0.7590645784166488,52,7,11,68,13.043478260869565,21.014492753623188,44.927536231884055,84.78260869565217,0.9330615747693628,0.941242964624476,0.8734177215189873,0.8846153846153846,0.8789808917197452,0.8604376743188157,0.7194105450681291,0.8603397641408037,0.7545591074876636,21.014492753623188,42.7536231884058,78.98550724637681,-0.017378245011800075,-0.013965557083250202,-0.012658227848101222,0.02205128205128204,0.004135991397137828,0.01062003861832228,0.017661778506503634,0.010657070495936893,0.0045054709289851225,0.0,2.173913043478258,5.79710144927536,AllFeatures_Balanced_XGB
Australian Credit Approval,R5_F3,5,3,FrozenChi2Top75,Balanced,SoftVote,11,0.039451399992685765,0.04336609999882057,0.6133763000252657,0.21063549997052178,0.8985507246376812,0.9154929577464789,0.8904109589041096,0.9076923076923077,0.9027777777777778,0.8990516332982086,0.797095983990672,0.9498419388830347,0.9487942025157913,0.8990101101112221,0.8134878819810327,59,6,8,65,10.144927536231885,15.942028985507246,33.333333333333336,62.31884057971015,0.940990516332982,0.9307109225572012,0.8904109589041096,0.9027777777777778,0.896551724137931,0.8913593256059009,0.7821419414278569,0.8913588210957502,0.8014752370916755,16.666666666666668,34.05797101449275,63.04347826086956,0.008851422550052668,0.01808327995859005,0.0,0.012715179968701085,0.00622605363984674,0.007692307692307665,0.014954042562815184,0.007651289015471963,0.012012644889357271,-0.7246376811594217,-0.7246376811594146,-0.7246376811594146,AllFeatures_Balanced_XGB
Australian Credit Approval,R5_F4,5,4,FrozenChi2Top75,Balanced,SoftVote,11,0.03706989996135235,0.03470509999897331,0.6109733000048436,0.2071144999936223,0.8985507246376812,0.9230769230769231,0.9,0.896551724137931,0.9113924050632911,0.8982758620689655,0.7931403520418913,0.9437499999999999,0.9586518963581967,0.8982742074245136,0.8137931034482759,52,6,8,72,10.144927536231885,15.942028985507246,33.333333333333336,62.31884057971015,0.9213362068965518,0.9352990983477724,0.9,0.9113924050632912,0.9056603773584906,0.8896551724137931,0.7775527828800183,0.8895950260342217,0.7965517241379311,16.666666666666668,34.05797101449275,63.04347826086956,0.022413793103448043,0.023352798010424336,0.0,0.011684518013631906,0.005732027704800524,0.008620689655172376,0.015587569161872983,0.00867918139029189,0.017241379310344862,-0.7246376811594217,-0.7246376811594146,-0.7246376811594146,AllFeatures_Balanced_XGB
Australian Credit Approval,R5_F5,5,5,FrozenChi2Top75,Balanced,SoftVote,11,0.039143399975728244,0.03701679996447638,0.6043235000106506,0.21374760003527626,0.8478260869565217,0.9104477611940298,0.8026315789473685,0.9032258064516129,0.8531468531468531,0.8529286926994907,0.7025108373018846,0.9250848896434635,0.9197564748923204,0.8514443934739768,0.7699490662139219,56,6,15,61,15.217391304347826,26.08695652173913,58.69565217391305,113.04347826086956,0.9259337860780984,0.8958370226900417,0.881578947368421,0.9178082191780822,0.8993288590604027,0.8924023769100169,0.7820709557963443,0.8923367389543064,0.8213073005093379,17.391304347826086,36.95652173913044,69.56521739130434,-0.000848896434634927,0.023919452202278646,-0.07894736842105254,-0.007360457984052382,-0.046182005913549595,-0.039473684210526216,-0.07956011849445976,-0.040892345480329606,-0.05135823429541597,8.695652173913043,21.73913043478261,43.47826086956522,AllFeatures_Balanced_XGB
