attribute,group,run_id,records,observed_adverse_rate,predicted_adverse_rate,recall_tpr,false_positive_rate,specificity,precision,f1,brier,mean_calibrated_probability
sex,female,R2_F1,3646,0.21009325287986835,0.19171695008228196,0.5065274151436031,0.10798611111111112,0.8920138888888889,0.5550786838340487,0.5296928327645052,0.13100838683402596,0.21183765523076625
sex,male,R2_F1,2349,0.23414218816517668,0.227330779054917,0.5454545454545454,0.13007226236798222,0.8699277376320178,0.5617977528089888,0.5535055350553506,0.139421369278559,0.23881914076615787
sex,female,R2_F2,3639,0.20719978015938445,0.19400934322616104,0.519893899204244,0.10883882149046793,0.891161178509532,0.5552407932011332,0.536986301369863,0.12589953914929314,0.2092736621225792
sex,male,R2_F2,2362,0.23497036409822183,0.2502116850127011,0.5891891891891892,0.14609850581073602,0.853901494189264,0.5532994923857868,0.5706806282722513,0.13320154927356084,0.2409221377256904
sex,female,R2_F3,3587,0.20574296069138556,0.17953721773069417,0.48509485094850946,0.10038610038610038,0.8996138996138996,0.5559006211180124,0.5180897250361794,0.13094566706942704,0.20492004692840837
sex,male,R2_F3,2415,0.24265010351966873,0.24099378881987576,0.5494880546075085,0.14215418261344998,0.8578458173865501,0.5532646048109966,0.5513698630136986,0.14537716786627572,0.24848149074262585
sex,female,R2_F4,3636,0.21122112211221122,0.1848184818481848,0.5234375,0.09414225941422594,0.9058577405857741,0.5982142857142857,0.5583333333333333,0.12502416520686027,0.2104918513284657
sex,male,R2_F4,2367,0.2458808618504436,0.23236163920574568,0.5240549828178694,0.13725490196078433,0.8627450980392157,0.5545454545454546,0.5388692579505301,0.1511415125590567,0.23957743201458997
sex,female,R2_F5,3604,0.20449500554938957,0.1711986681465039,0.46675712347354137,0.0952214858737356,0.9047785141262644,0.5575364667747164,0.5081240768094535,0.12960900199752104,0.2018493875428376
sex,male,R2_F5,2395,0.25052192066805845,0.24384133611691022,0.54,0.14484679665738162,0.8551532033426184,0.5547945205479452,0.5472972972972973,0.14929457739602087,0.2461805426302049
sex,female,R3_F1,3569,0.20509946763799383,0.17035584197254133,0.4781420765027322,0.09094113500176243,0.9090588649982376,0.5756578947368421,0.5223880597014926,0.12840236417800802,0.20664868274995832
sex,male,R3_F1,2430,0.2522633744855967,0.22263374485596707,0.48450244698205547,0.13428728673637866,0.8657127132636213,0.5489833641404805,0.5147313691507799,0.15680863523591887,0.23994427342001412
sex,female,R3_F2,3679,0.2144604512095678,0.2027724925251427,0.5272496831432193,0.11418685121107267,0.8858131487889274,0.5576407506702413,0.5420195439739414,0.1301402202012684,0.21311689271847895
sex,male,R3_F2,2323,0.22341799397331039,0.233749461902712,0.5452793834296724,0.14412416851441243,0.8558758314855875,0.5211786372007366,0.5329566854990584,0.13592550505761292,0.2383038516992604
