dataset,run_id,repeat,fold,accuracy,precision_adverse,recall_adverse,specificity,f1_adverse,balanced_accuracy,mcc,roc_auc,pr_auc,gmean,tn,fp,fn,tp,cost_FN1_FP1_per100,cost_FN2_FP1_per100,cost_FN5_FP1_per100,cost_FN10_FP1_per100,stage
German Credit,R5_F3,5,3,0.76,0.6571428571428571,0.3898305084745763,0.9148936170212766,0.4893617021276595,0.6523620627479264,0.36573490225046,0.8291862002644548,0.6643056771153628,0.5972046918130739,129,12,36,23,24.0,42.0,96.0,186.0,A0_Baseline_XGB
German Credit,R5_F4,5,4,0.75,0.5769230769230769,0.5172413793103449,0.8450704225352113,0.5454545454545454,0.6811559009227781,0.3748073685260835,0.7822972316658572,0.6525096827013921,0.66113946408189,120,22,28,30,25.0,39.0,81.0,151.0,A0_Baseline_XGB
German Credit,R5_F5,5,5,0.765,0.6470588235294118,0.3859649122807017,0.916083916083916,0.4835164835164835,0.6510244141823089,0.3629853517674616,0.8024782235308552,0.6103496393017911,0.5946227781653596,131,12,35,22,23.5,41.0,93.5,181.0,A0_Baseline_XGB
German Credit,R1_F1,1,1,0.785,0.7222222222222222,0.582089552238806,0.8872180451127819,0.6446280991735537,0.734653798675794,0.4989390535052115,0.8350353495679497,0.7150964496777249,0.7186378466361816,118,15,28,39,21.5,35.5,77.5,147.5,A1_FrozenFS_XGB
German Credit,R1_F2,1,2,0.755,0.4897959183673469,0.5,0.8355263157894737,0.4948453608247423,0.6677631578947368,0.333182733684121,0.7543859649122807,0.4912241522463585,0.646346004779744,127,25,24,24,24.5,36.5,72.5,132.5,A1_FrozenFS_XGB
German Credit,R1_F3,1,3,0.755,0.675,0.4285714285714285,0.9051094890510948,0.5242718446601942,0.6668404588112617,0.3875002102323759,0.7654964662263932,0.6343867850751181,0.6228194495487304,124,13,36,27,24.5,42.5,96.5,186.5,A1_FrozenFS_XGB
German Credit,R1_F4,1,4,0.75,0.7142857142857143,0.4411764705882353,0.9090909090909092,0.5454545454545454,0.6751336898395721,0.4073689529040217,0.767602495543672,0.664960658157006,0.6333004963811236,120,12,38,30,25.0,44.0,101.0,196.0,A1_FrozenFS_XGB
German Credit,R1_F5,1,5,0.75,0.5357142857142857,0.5555555555555556,0.821917808219178,0.5454545454545454,0.6887366818873668,0.3732367159792311,0.7773972602739727,0.5529431059288595,0.6757373783994859,120,26,24,30,25.0,37.0,73.0,133.0,A1_FrozenFS_XGB
German Credit,R2_F1,2,1,0.785,0.6923076923076923,0.5714285714285714,0.8832116788321168,0.6260869565217392,0.727320125130344,0.4814663183976856,0.8057003823427181,0.7157601956952307,0.7104170520926892,121,16,27,36,21.5,35.0,75.5,143.0,A1_FrozenFS_XGB
German Credit,R2_F2,2,2,0.795,0.5555555555555556,0.5434782608695652,0.8701298701298701,0.5494505494505495,0.7068040654997176,0.4168273795567536,0.8123941276115189,0.5613014316652942,0.687674827624832,134,20,21,25,20.5,31.0,62.5,115.0,A1_FrozenFS_XGB
German Credit,R2_F3,2,3,0.735,0.6428571428571429,0.4153846153846154,0.8888888888888888,0.5046728971962616,0.6521367521367522,0.3498924006676127,0.7536182336182335,0.6167265083174625,0.6076436202502,120,15,38,27,26.5,45.5,102.5,197.5,A1_FrozenFS_XGB
German Credit,R2_F4,2,4,0.745,0.574468085106383,0.4655172413793103,0.8591549295774648,0.5142857142857142,0.6623360854783875,0.3474630196327308,0.7822972316658572,0.5735068261245262,0.632417135073313,122,20,31,27,25.5,41.0,87.5,165.0,A1_FrozenFS_XGB
German Credit,R2_F5,2,5,0.73,0.6458333333333334,0.4558823529411764,0.8712121212121212,0.5344827586206896,0.6635472370766489,0.3628041253196682,0.7721702317290553,0.628256728164444,0.630214433132926,115,17,37,31,27.0,45.5,101.0,193.5,A1_FrozenFS_XGB
German Credit,R3_F1,3,1,0.775,0.6153846153846154,0.4444444444444444,0.8972602739726028,0.5161290322580645,0.6708523592085236,0.3828944241649665,0.8084728564180619,0.6101329383401108,0.631492156711248,131,15,30,24,22.5,37.5,82.5,157.5,A1_FrozenFS_XGB
German Credit,R3_F2,3,2,0.765,0.6727272727272727,0.5606060606060606,0.8656716417910447,0.6115702479338843,0.7131388511985526,0.4489021003277125,0.788783355947535,0.6657878445519179,0.6966353198646035,116,18,29,37,23.5,38.0,81.5,154.0,A1_FrozenFS_XGB
German Credit,R3_F3,3,3,0.77,0.5348837209302325,0.4693877551020408,0.8675496688741722,0.5,0.6684687119881065,0.3527375635908228,0.7737532098932287,0.5467141550759647,0.6381357155906309,131,20,26,23,23.0,36.0,75.0,140.0,A1_FrozenFS_XGB
German Credit,R3_F4,3,4,0.705,0.6041666666666666,0.4202898550724637,0.8549618320610687,0.4957264957264957,0.6376258435667662,0.3063710818615526,0.7765239517645757,0.5805985895614028,0.5994428951029737,112,19,40,29,29.5,49.5,109.5,209.5,A1_FrozenFS_XGB
German Credit,R3_F5,3,5,0.77,0.7105263157894737,0.4354838709677419,0.9202898550724636,0.54,0.6778868630201028,0.4194304482515135,0.7671809256661991,0.6637992616410326,0.6330650744586205,127,11,35,27,23.0,40.5,93.0,180.5,A1_FrozenFS_XGB
German Credit,R4_F1,4,1,0.78,0.660377358490566,0.5737704918032787,0.8705035971223022,0.6140350877192983,0.7221370444627904,0.4634754132984963,0.8285175138577663,0.6730756736344835,0.7067314037435909,121,18,26,35,22.0,35.0,74.0,139.0,A1_FrozenFS_XGB
German Credit,R4_F2,4,2,0.76,0.5714285714285714,0.4444444444444444,0.8767123287671232,0.5,0.6605783866057838,0.3500557412281659,0.7631912734652461,0.6102275336350981,0.6242194517126963,128,18,30,24,24.0,39.0,84.0,159.0,A1_FrozenFS_XGB
German Credit,R4_F3,4,3,0.77,0.6538461538461539,0.5483870967741935,0.8695652173913043,0.5964912280701754,0.7089761570827489,0.4406863438677154,0.7843618513323983,0.6432761972976861,0.6905493067269257,120,18,28,34,23.0,37.0,79.0,149.0,A1_FrozenFS_XGB
German Credit,R4_F4,4,4,0.765,0.6607142857142857,0.5692307692307692,0.8592592592592593,0.6115702479338843,0.7142450142450143,0.4469809588447313,0.7997720797720799,0.6884618131181103,0.6993688648465909,116,19,28,37,23.5,37.5,79.5,149.5,A1_FrozenFS_XGB
German Credit,R4_F5,4,5,0.765,0.7037037037037037,0.3275862068965517,0.943661971830986,0.4470588235294118,0.6356240893637688,0.3601803918020658,0.7932248664400194,0.5638825188533914,0.5559951851811608,134,8,39,19,23.5,43.0,101.5,199.0,A1_FrozenFS_XGB
German Credit,R5_F1,5,1,0.77,0.5806451612903226,0.6428571428571429,0.8194444444444444,0.6101694915254238,0.7311507936507937,0.4488128225438685,0.8097718253968255,0.6403356463113422,0.7258000511750563,118,26,20,36,23.0,33.0,63.0,113.0,A1_FrozenFS_XGB
German Credit,R5_F2,5,2,0.765,0.7674418604651163,0.4714285714285714,0.9230769230769232,0.584070796460177,0.6972527472527472,0.4580255431784663,0.8068131868131867,0.6859927211169037,0.6596702472939303,120,10,37,33,23.5,42.0,97.5,190.0,A1_FrozenFS_XGB
German Credit,R5_F3,5,3,0.755,0.631578947368421,0.4067796610169492,0.900709219858156,0.4948453608247423,0.6537444404375525,0.357450305364924,0.8129582882558,0.6302375297824038,0.6053017356069131,127,14,35,24,24.5,42.0,94.5,182.0,A1_FrozenFS_XGB
German Credit,R5_F4,5,4,0.75,0.5740740740740741,0.5344827586206896,0.8380281690140845,0.5535714285714286,0.686255463817387,0.3807359435344559,0.7808402136959688,0.6102311424855116,0.6692619872490095,119,23,27,31,25.0,38.5,79.0,146.5,A1_FrozenFS_XGB
