dataset,run_id,repeat,fold,calibration_method,selected_source_features,mean_predicted_probability,observed_adverse_rate,brier_score,log_loss,ece_10bin,calibration_intercept,calibration_slope,roc_auc,pr_auc,accuracy,precision_adverse,recall_adverse,specificity,f1_adverse,balanced_accuracy,mcc,gmean,ks_statistic,tn,fp,fn,tp,reference_brier_score,reference_log_loss,reference_ece_10bin,reference_roc_auc,reference_pr_auc,reference_recall_adverse,reference_f1_adverse,reference_balanced_accuracy,reference_mcc,delta_brier_score,delta_log_loss,delta_ece_10bin,delta_roc_auc,delta_pr_auc,delta_recall_adverse,delta_f1_adverse,delta_balanced_accuracy,delta_mcc
German Credit,R3_F2,3,2,Uncalibrated,15,0.3829230932917473,0.33,0.1703288760118435,0.5169914344746416,0.07753356000898218,-0.34083761046255134,0.894584885872635,0.7946630483943917,0.6546675701688515,0.755,0.6197183098591549,0.6666666666666666,0.7985074626865671,0.6423357664233577,0.7325870646766168,0.45710491484203986,0.7296151783356151,0.48869289914066033,107,27,22,44,0.1703288760118435,0.5169914344746416,0.07753356000898218,0.7946630483943917,0.6546675701688515,0.6666666666666666,0.6423357664233577,0.7325870646766168,0.45710491484203986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
German Credit,R3_F2,3,2,Sigmoid,15,0.3180393393203706,0.33,0.16653698765925967,0.5080992710120759,0.07491803710053813,0.10758423966087109,1.0634978391697956,0.7946630483943917,0.6546675701688515,0.76,0.6875,0.5,0.8880597014925373,0.5789473684210527,0.6940298507462687,0.427248453669066,0.6663556488439702,0.48869289914066033,119,15,33,33,0.1703288760118435,0.5169914344746416,0.07753356000898218,0.7946630483943917,0.6546675701688515,0.6666666666666666,0.6423357664233577,0.7325870646766168,0.45710491484203986,-0.0037918883525838165,-0.008892163462565716,-0.0026155229084440512,0.0,0.0,-0.16666666666666663,-0.063388398002305,-0.038557213930348166,-0.029856461172973858
German Credit,R3_F2,3,2,Isotonic,15,0.31780839773962827,0.33,0.1643538207215667,0.5019469606455128,0.055872857320097585,0.08523931264684309,1.0211115514114864,0.7924016282225238,0.6547391222498763,0.76,0.6956521739130435,0.48484848484848486,0.8955223880597015,0.5714285714285714,0.6901854364540931,0.42500334081510516,0.6589329806578536,0.48869289914066033,120,14,34,32,0.1703288760118435,0.5169914344746416,0.07753356000898218,0.7946630483943917,0.6546675701688515,0.6666666666666666,0.6423357664233577,0.7325870646766168,0.45710491484203986,-0.005975055290276782,-0.015044473829128768,-0.021660702688884592,-0.0022614201718679228,7.155208102482824e-05,-0.18181818181818177,-0.07090719499478626,-0.04240162822252369,-0.0321015740269347
German Credit,R3_F3,3,3,Uncalibrated,15,0.3367673063622448,0.245,0.16035309817878945,0.4895158274717781,0.10671442902715421,-0.629188834518693,0.8647442089929891,0.7780781186646843,0.5352565635656854,0.77,0.5254237288135594,0.6326530612244898,0.8145695364238411,0.5740740740740741,0.7236112988241654,0.4217690343751833,0.717871792730956,0.4962832815245304,123,28,18,31,0.16035309817878945,0.4895158274717781,0.10671442902715421,0.7780781186646843,0.5352565635656854,0.6326530612244898,0.5740740740740741,0.7236112988241654,0.4217690343751833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
German Credit,R3_F3,3,3,Sigmoid,15,0.28493737862526397,0.245,0.15103279433300137,0.4665439495885948,0.07466943715046143,-0.2894231772712664,0.9505914496653579,0.7780781186646843,0.5352565635656854,0.76,0.5135135135135135,0.3877551020408163,0.8807947019867549,0.4418604651162791,0.6342749020137857,0.29745186017238257,0.5844079393248217,0.4962832815245304,133,18,30,19,0.16035309817878945,0.4895158274717781,0.10671442902715421,0.7780781186646843,0.5352565635656854,0.6326530612244898,0.5740740740740741,0.7236112988241654,0.4217690343751833,-0.00932030384578808,-0.022971877883183278,-0.03204499187669278,0.0,0.0,-0.24489795918367352,-0.132213608957795,-0.08933639681037975,-0.12431717420280075
German Credit,R3_F3,3,3,Isotonic,15,0.28517149766225947,0.245,0.1548508754841805,0.4890344140946197,0.10145647751987497,-0.44763047706984166,0.6993874194862565,0.7755102040816326,0.5108548239651957,0.76,0.5135135135135135,0.3877551020408163,0.8807947019867549,0.4418604651162791,0.6342749020137857,0.29745186017238257,0.5844079393248217,0.48857953777537505,133,18,30,19,0.16035309817878945,0.4895158274717781,0.10671442902715421,0.7780781186646843,0.5352565635656854,0.6326530612244898,0.5740740740740741,0.7236112988241654,0.4217690343751833,-0.005502222694608955,-0.0004814133771584017,-0.005257951507279243,-0.0025679145830517225,-0.024401739600489747,-0.24489795918367352,-0.132213608957795,-0.08933639681037975,-0.12431717420280075
German Credit,R3_F4,3,4,Uncalibrated,15,0.37870240194344973,0.345,0.18169587972334086,0.5375140260767745,0.07866470142684356,-0.2372278043561754,0.8395893578959333,0.7768558468857175,0.5878243018476528,0.715,0.581081081081081,0.6231884057971014,0.7633587786259542,0.6013986013986014,0.6932735922115278,0.38059368241101865,0.6897219296956788,0.47870339639340637,100,31,26,43,0.18169587972334086,0.5375140260767745,0.07866470142684356,0.7768558468857175,0.5878243018476528,0.6231884057971014,0.6013986013986014,0.6932735922115278,0.38059368241101865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
German Credit,R3_F4,3,4,Sigmoid,15,0.3141563049463004,0.345,0.18205579151314183,0.5366917382090945,0.07715225715600657,0.09250853733470461,0.8494902553915786,0.7768558468857175,0.5878243018476528,0.71,0.6170212765957447,0.42028985507246375,0.8625954198473282,0.5,0.641442637459896,0.3171581606101202,0.6021130325726264,0.47870339639340637,113,18,40,29,0.18169587972334086,0.5375140260767745,0.07866470142684356,0.7768558468857175,0.5878243018476528,0.6231884057971014,0.6013986013986014,0.6932735922115278,0.38059368241101865,0.00035991178980096517,-0.000822287867679905,-0.0015124442708369934,0.0,0.0,-0.2028985507246377,-0.10139860139860135,-0.0518309547516318,-0.06343552180089845
German Credit,R3_F4,3,4,Isotonic,15,0.31279187977064254,0.345,0.18410122478529034,0.5425083340633248,0.07656100209502646,0.04520304613077589,0.7419770732543967,0.771379577386879,0.5691655705656744,0.715,0.625,0.43478260869565216,0.8625954198473282,0.5128205128205128,0.6486890142714902,0.33099898233273856,0.6124063086629192,0.45890032083195037,113,18,39,30,0.18169587972334086,0.5375140260767745,0.07866470142684356,0.7768558468857175,0.5878243018476528,0.6231884057971014,0.6013986013986014,0.6932735922115278,0.38059368241101865,0.0024053450619494765,0.004994307986550317,-0.002103699331817102,-0.005476269498838504,-0.01865873128197837,-0.18840579710144928,-0.08857808857808858,-0.04458457794003767,-0.049594700078280096
German Credit,R3_F5,3,5,Uncalibrated,15,0.35778826407445036,0.31,0.1678301045179289,0.4991782071741865,0.09643351012751862,-0.26997311397963925,1.034321820647084,0.7861150070126226,0.6601117243317391,0.745,0.5932203389830508,0.5645161290322581,0.8260869565217391,0.5785123966942148,0.6953015427769986,0.39612795822631774,0.6828904823906184,0.41654978962131833,114,24,27,35,0.1678301045179289,0.4991782071741865,0.09643351012751862,0.7861150070126226,0.6601117243317391,0.5645161290322581,0.5785123966942148,0.6953015427769986,0.39612795822631774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
