dataset,run_id,repeat,fold,calibration_method,selected_source_features,mean_predicted_probability,observed_adverse_rate,brier_score,log_loss,ece_10bin,calibration_intercept,calibration_slope,roc_auc,pr_auc,accuracy,precision_adverse,recall_adverse,specificity,f1_adverse,balanced_accuracy,mcc,gmean,ks_statistic,tn,fp,fn,tp
German Credit,R3_F5,3,5,Isotonic,15,0.295803649306229,0.31,0.16836358068554003,0.5051371511561422,0.05855986103248539,0.04691823514224862,0.9410654672475017,0.7710378681626928,0.6056264619931447,0.76,0.6842105263157895,0.41935483870967744,0.9130434782608695,0.52,0.6661991584852734,0.391872600140376,0.618780413847279,0.41654978962131833,126,12,36,26
German Credit,R4_F1,4,1,Uncalibrated,15,0.3848163371440419,0.305,0.14913787892860444,0.4553159774045327,0.097010059096659,-0.44575501082251584,1.4476647264324014,0.8559971694775328,0.7191711926537372,0.78,0.6197183098591549,0.7213114754098361,0.8057553956834532,0.6666666666666666,0.7635334355466447,0.5071238168967489,0.7623651443238129,0.5718834768250973,112,27,17,44
German Credit,R4_F1,4,1,Sigmoid,15,0.3207277688756182,0.305,0.1436089461096493,0.4400550258310488,0.05645690717712269,0.11858388823284931,1.5035632121830718,0.8559971694775328,0.7191711926537372,0.79,0.6862745098039216,0.5737704918032787,0.8848920863309353,0.625,0.729331289067107,0.4844928845981213,0.7125482212222062,0.5718834768250973,123,16,26,35
German Credit,R4_F1,4,1,Isotonic,15,0.32166270139631664,0.305,0.14559792862808807,0.44421430814130825,0.05322280342467365,0.010696656690324621,1.2852891859192208,0.8462082792782168,0.6806330522404676,0.78,0.6545454545454545,0.5901639344262295,0.8633093525179856,0.6206896551724138,0.7267366434721075,0.4675829651024319,0.7137885149741309,0.5503007430121476,120,19,25,36
German Credit,R4_F2,4,2,Uncalibrated,15,0.3442518175716724,0.27,0.16107807306542465,0.4961760912572952,0.11007795884364299,-0.5000335871202627,0.8830737479276992,0.7773972602739727,0.6388493046674293,0.765,0.5614035087719298,0.5925925925925926,0.8287671232876712,0.5765765765765766,0.7106798579401319,0.4144010753804058,0.700800441098995,0.480466768138001,121,25,22,32
German Credit,R4_F2,4,2,Sigmoid,15,0.28862533757764913,0.27,0.15237440906972943,0.47902151926159137,0.08313371930902785,-0.1468339085459092,0.9548978334683592,0.7773972602739727,0.6388493046674293,0.805,0.6666666666666666,0.5555555555555556,0.8972602739726028,0.6060606060606061,0.7264079147640792,0.48141852988827566,0.7060296948321504,0.480466768138001,131,15,24,30
German Credit,R4_F2,4,2,Isotonic,15,0.2848405066591038,0.27,0.15585496835244353,0.5898192652255098,0.08913102161794575,-0.5644058805622106,0.30115408820052697,0.7714992389649924,0.6121954018965232,0.815,0.7428571428571429,0.48148148148148145,0.9383561643835616,0.5842696629213483,0.7099188229325215,0.4905448173237259,0.6721615253677331,0.44266869609335363,137,9,28,26
German Credit,R4_F3,4,3,Uncalibrated,15,0.3749571436737643,0.31,0.17718310256762584,0.532574863574247,0.08814946513935219,-0.4199122931084013,0.8305428277776655,0.773141654978962,0.6225828061332398,0.735,0.5652173913043478,0.6290322580645161,0.782608695652174,0.5954198473282443,0.705820476858345,0.40049193101935826,0.701631039084655,0.4698457223001402,108,30,23,39
German Credit,R4_F3,4,3,Sigmoid,15,0.31395108272833494,0.31,0.17032480838205571,0.5178157480727077,0.04872226109049973,-0.0708666969902453,0.9158876654151743,0.773141654978962,0.6225828061332398,0.75,0.6363636363636364,0.45161290322580644,0.8840579710144928,0.5283018867924528,0.6678354371201496,0.3747661957267746,0.631863899039794,0.4698457223001402,122,16,34,28
German Credit,R4_F3,4,3,Isotonic,15,0.31318411951041386,0.31,0.168971509490814,0.5149984470076115,0.05410452984358007,-0.12139444868697821,0.8129287529370698,0.771856007480131,0.5907743976612877,0.755,0.6,0.6290322580645161,0.8115942028985508,0.6141732283464567,0.7203132304815334,0.43509330404934626,0.7145060770079891,0.44086021505376344,112,26,23,39
German Credit,R4_F4,4,4,Uncalibrated,15,0.38621326431941005,0.325,0.16787940623200565,0.5002971626445714,0.09530343156438516,-0.3659225318162776,1.0092355019611057,0.8103703703703704,0.6931642076020218,0.73,0.5774647887323944,0.6307692307692307,0.7777777777777778,0.6029411764705882,0.7042735042735042,0.3998909428852601,0.7004272200580804,0.5190883190883191,105,30,24,41
German Credit,R4_F4,4,4,Sigmoid,15,0.3216784667065744,0.325,0.16299800591477687,0.4906580667670932,0.087964388787277,0.09052140320001814,1.1353887696625706,0.8103703703703704,0.6931642076020218,0.755,0.6538461538461539,0.5230769230769231,0.8666666666666667,0.5811965811965812,0.6948717948717948,0.4161692750607111,0.6733003292241385,0.5190883190883191,117,18,31,34
German Credit,R4_F4,4,4,Isotonic,15,0.31941619693664386,0.325,0.16513909785674677,0.49764985198685674,0.06053401967214372,0.033896753473920106,1.0004325948352744,0.8017094017094017,0.6341942549871342,0.755,0.7,0.4307692307692308,0.9111111111111111,0.5333333333333333,0.670940170940171,0.4003203845127178,0.6264811509364289,0.5042735042735043,123,12,37,28
German Credit,R4_F5,4,5,Uncalibrated,15,0.31835064916640404,0.29,0.16650605325096732,0.4944434169690322,0.058601563674889556,-0.211597118712808,0.9263645139805197,0.7878824672170957,0.5476835808939932,0.73,0.5384615384615384,0.4827586206896552,0.8309859154929577,0.509090909090909,0.6568722680913065,0.3245650939247319,0.6333763607649963,0.4698882952889752,118,24,30,28
German Credit,R4_F5,4,5,Sigmoid,15,0.2650805152111923,0.29,0.16670627017521705,0.4937909499441721,0.05154987247903884,0.2148909451568625,1.0741402465126402,0.7878824672170957,0.5476835808939932,0.745,0.6296296296296297,0.29310344827586204,0.9295774647887324,0.4,0.6113404565322972,0.2956897218285536,0.5219792719726629,0.4698882952889752,132,10,41,17
German Credit,R4_F5,4,5,Isotonic,15,0.2579249902508559,0.29,0.1690162707282017,0.499411161546714,0.07016911078249165,0.19549051594280173,0.9942352794132049,0.7845434677027684,0.512657152733506,0.73,0.6,0.20689655172413793,0.9436619718309859,0.3076923076923077,0.575279261777562,0.2277258154059843,0.4418601678868911,0.44876153472559493,134,8,46,12
German Credit,R5_F1,5,1,Uncalibrated,15,0.4009234115304755,0.28,0.16844896079211844,0.49782852472003136,0.12932815678402348,-0.730200265589611,1.1288343288092346,0.8138640873015873,0.6537856664236311,0.73,0.5131578947368421,0.6964285714285714,0.7430555555555556,0.5909090909090909,0.7197420634920635,0.4065376898328641,0.7193643854456648,0.5158730158730158,107,37,17,39
German Credit,R5_F1,5,1,Sigmoid,15,0.3386449572446964,0.28,0.15466865774852936,0.46671746044199736,0.08607654367846779,-0.2947879577026825,1.1968756086773207,0.8138640873015873,0.6537856664236311,0.765,0.5849056603773585,0.5535714285714286,0.8472222222222222,0.5688073394495413,0.7003968253968254,0.4077551832698003,0.6848342981137961,0.5158730158730158,122,22,25,31
German Credit,R5_F1,5,1,Isotonic,15,0.33892110645785123,0.28,0.15703516636342463,0.47058695811195816,0.06777359113109946,-0.35755524116896525,1.0390510232007395,0.8079117063492063,0.585947695901487,0.77,0.5833333333333334,0.625,0.8263888888888888,0.603448275862069,0.7256944444444444,0.44226898133585163,0.7186745129441808,0.4742063492063492,119,25,21,35
German Credit,R5_F2,5,2,Uncalibrated,15,0.3593862697764933,0.35,0.16578199425704854,0.5027519782818051,0.051488246325532,-0.05454940344103491,1.0035362323969863,0.8056043956043957,0.6971858037057643,0.755,0.6779661016949152,0.5714285714285714,0.8538461538461538,0.6201550387596899,0.7126373626373625,0.444789684618333,0.6985070421349293,0.5065934065934066,111,19,30,40
German Credit,R5_F2,5,2,Sigmoid,15,0.2923080333441935,0.35,0.16951984832799052,0.5128890391430382,0.07397413548782758,0.37893135522817895,1.0334973310514184,0.8056043956043957,0.6971858037057643,0.735,0.6976744186046512,0.42857142857142855,0.9,0.5309734513274337,0.6642857142857143,0.38147531312078387,0.6210590034081188,0.5065934065934066,117,13,40,30
German Credit,R5_F2,5,2,Isotonic,15,0.29747950386833755,0.35,0.1697133865432465,0.5638843861613584,0.06321427775354883,0.08385135815915219,0.6725634014699704,0.8017032967032967,0.6748038058894261,0.75,0.8333333333333334,0.35714285714285715,0.9615384615384616,0.5,0.6593406593406593,0.4256887899825743,0.5860090386731193,0.49230769230769234,125,5,45,25
German Credit,R5_F3,5,3,Uncalibrated,15,0.33786453302242253,0.295,0.15425800902035244,0.4692547768353464,0.08661379139660264,-0.17684964051729957,1.2146842059567668,0.8224546219497536,0.6409557613964563,0.78,0.6363636363636364,0.5932203389830508,0.8581560283687943,0.6140350877192983,0.7256881836759226,0.4610086065885724,0.7134953469009344,0.57915614857555,121,20,24,35
German Credit,R5_F3,5,3,Sigmoid,15,0.2807009404193831,0.295,0.15493482422521399,0.4689386210401693,0.06780510419317069,0.3495575978469781,1.3681400953706566,0.8224546219497536,0.6409557613964563,0.765,0.6875,0.3728813559322034,0.9290780141843972,0.4835164835164835,0.6509796850583003,0.3756249598221446,0.5885880305407823,0.57915614857555,131,10,37,22
German Credit,R5_F3,5,3,Isotonic,15,0.2783374751291113,0.295,0.15882118560345723,0.4796606821194422,0.04798334142739614,0.20070150632225883,1.1285028206990888,0.7960091357134271,0.5863020767915273,0.775,0.64,0.5423728813559322,0.8723404255319149,0.5871559633027523,0.7073566534439235,0.43677010104677455,0.6878472142263896,0.46520014424810674,123,18,27,32
German Credit,R5_F4,5,4,Uncalibrated,15,0.3860360456204316,0.29,0.17831082541328422,0.5321737298045321,0.0982244340123104,-0.6094339905124792,0.8128620093944511,0.7722195240407965,0.5914130538005384,0.73,0.5303030303030303,0.603448275862069,0.7816901408450704,0.5645161290322581,0.6925692083535697,0.3716641250136264,0.6868111587265713,0.4409907722195241,111,31,23,35
German Credit,R5_F4,5,4,Sigmoid,15,0.32429647518328963,0.29,0.16645489308002476,0.5044320184430842,0.062936253676708,-0.2441728688299629,0.9256436485484192,0.7722195240407965,0.5914130538005384,0.745,0.5686274509803921,0.5,0.8450704225352113,0.5321100917431193,0.6725352112676056,0.3592424771219879,0.6500270850261592,0.4409907722195241,120,22,29,29
German Credit,R5_F4,5,4,Isotonic,15,0.32886736588695525,0.29,0.17138467092893936,0.5747415490203251,0.07578228199410222,-0.565087563163337,0.4606779598844603,0.7671199611461873,0.5600117519973214,0.76,0.6086956521739131,0.4827586206896552,0.8732394366197183,0.5384615384615384,0.6779990286546868,0.3838543978674098,0.6492794975619873,0.430791646430306,124,18,30,28
